	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2025-05-27	9195.977189959089	16315.527110763422	20654.070126867096	9721.834633606824	19659.50872941187	127912.68045606623	3776.7878248701722	8584.183452987001	25534.65546948158	10242.061764970076	15642.344314854536	37001.00995064119	36213.99016531489	113131.23581934138	7908.22919919081	11686.2394071274	23555.05499148901	13564.63406016277	10469.628465135314	33564.5705926283	20728.881266963625	13060.20789631537	8342.092738847623	3566.80074331772	3234.692943111382	11946.891201963208	21086.967128595767	29676.08205887932	8829.134027390017	13366.74865942849	7432.423085059649	117271.06755372713	14515.588967475147	7237.01597309362	18003.260110824573	12510.38572434787	12224.583390842818	11503.230901967772	45455.02000631788	7322.3720373091855	24196.59510571054	12057.376627918726	11269.162164774425	9150.30132238708	11291.106460216592	24518.798125822173	3854.6340907274293	12363.115728695411	83629.89992359011	11142.978126943293	56032.865431479295	19735.780370153032	7751.982056147861	6410.1014984107405	17927.62660036758	19106.64583809107	19850.839336983485	81056.14807737245	22461.727513842085	9994.46704441074	5624.412464678762	9620.140193766172	5350.136373339775	6178.1332633168795	11123.465713808193	7499.330835030563	20669.66740158272	11138.41409907123	7519.586010085408	14634.088698746862	5506.30233646725	6701.108603673043	20205.010157925564	24598.27595867723	116204.4765780406	13885.933959548149	94978.13800610664	115851.37115084658	12122.67606024698	10052.65617533911	25071.47271086101	13809.239903129224	16877.90365368112	40511.68509364771	10135.085840935331	11638.078677394598	10830.613188823412	16814.27540766006	15593.794474988654	7196.6397656139925	13241.153670733784	11243.320045179673	9108.56428806901	53453.16920732317	56619.543708053316	11471.753353398504	10969.195973405727	8250.55129620511	1039930.4371553287	12996.981563535464	12575.034591524958	13649.78364774353	15588.1257712424	47070.51590007667	14739.483047284368	10224.467087807614	10074.769244998133	7423.467303154001	10925.39054813652	8766.677548204978	103884.82929018384	7792.3645341012525
2025-05-28	9233.988594979544	16498.26355538171	20627.53506343355	9742.417316803412	19596.254364705936	128912.3402280331	3828.3939124350863	8541.591726493501	25958.32773474079	10228.030882485038	15884.172157427267	37008.0049753206	36402.49508265745	113259.11790967069	7994.114599595405	11738.1197035637	23527.527495744507	13489.817030081385	10449.814232567656	33812.28529631415	20722.940633481812	13142.603948157684	8338.546369423811	3575.90037165886	3237.346471555691	11998.445600981604	21260.483564297883	29826.54102943966	8824.067013695008	13310.874329714245	7443.211542529824	117362.53377686357	14511.794483737573	7268.007986546811	18056.630055412286	12627.692862173935	12297.791695421409	11492.115450983885	45895.01000315894	7346.186018654593	24324.79755285527	12091.688313959363	11642.081082387213	9435.15066119354	11323.553230108297	24669.899062911085	3852.817045363715	12390.557864347706	84226.94996179506	11182.489063471647	56038.93271573965	19863.390185076518	7743.4910280739305	6447.05074920537	18044.813300183792	19259.822919045535	19702.91966849174	81397.07403868623	22706.36375692104	10013.73352220537	5629.206232339381	9726.070096883086	5337.568186669887	6209.566631658439	11171.232856904096	7459.665417515282	20612.333700791358	11227.707049535615	7497.793005042704	14798.044349373431	5529.651168233625	6645.5543018365215	20451.005078962782	24968.137979338615	116291.7382890203	13940.966979774075	95083.56900305333	115926.1855754233	12168.83803012349	10085.328087669555	25322.236355430505	13862.119951564611	16963.95182684056	40438.34254682386	10156.542920467666	11674.0393386973	10864.806594411706	16882.13770383003	15755.397237494326	7215.819882806996	13202.076835366892	11269.660022589836	9142.282144034505	53456.584603661584	56748.77185402666	11493.376676699252	11015.097986702864	8277.775648102555	1040014.2185776643	13021.490781767732	12589.017295762478	13741.891823871765	15645.562885621199	47318.257950038336	14790.741523642184	10246.233543903807	10123.384622499067	7474.733651577	11027.195274068261	8808.838774102489	103889.91464509192	7856.182267050626
2025-05-29	9352.994297489771	16880.631777690855	20714.767531716774	10299.208658401705	19470.127182352968	130378.17011401655	3939.196956217543	8693.79586324675	26378.663867370393	10248.015441242518	16219.086078713633	37139.0024876603	36845.747541328725	113113.05895483535	8097.057299797702	11858.55985178185	23678.763747872254	13442.408515040694	10444.907116283828	34038.642648157074	20804.470316740906	13193.801974078842	8419.273184711907	3585.4501858294298	3236.1732357778455	12106.722800490803	21287.241782148943	30012.27051471983	8824.033506847503	13480.437164857121	7439.105771264913	117297.26688843178	14514.897241868786	7271.503993273405	18198.315027706143	12806.346431086968	12431.395847710704	11527.057725491943	46547.50500157947	7328.093009327296	24577.398776427635	12083.844156979681	11901.040541193606	9657.57533059677	11317.776615054148	24829.449531455542	3853.9085226818574	12406.778932173853	84288.47498089753	11239.244531735823	56046.966357869824	20033.19509253826	7828.245514036966	6555.025374602685	18200.906650091896	19484.411459522766	19986.45983424587	81306.53701934312	23034.18187846052	10169.366761102685	5626.60311616969	9826.035048441543	5328.7840933349435	6232.28331582922	11216.11642845205	7374.832708757641	20511.16685039568	11317.353524767808	7539.396502521352	14897.522174686716	5583.825584116812	6617.77715091826	20714.002539481393	25298.068989669307	116208.86914451016	14017.483489887038	94966.28450152666	115907.59278771165	12403.419015061745	10128.664043834779	25652.618177715252	13968.559975782306	17142.97591342028	40921.67127341193	10183.771460233833	11757.01966934865	10948.403297205852	16931.068851915014	15927.198618747163	7198.409941403498	13187.538417683445	11282.830011294918	9154.141072017253	53468.29230183079	56818.385927013325	11506.688338349626	11055.048993351433	8302.387824051279	1040165.6092888322	13046.245390883865	12644.508647881239	13899.445911935883	15817.7814428106	47266.628975019164	14927.870761821092	10236.116771951904	10142.692311249533	7480.3668257885	11168.59763703413	8796.419387051244	103904.95732254596	7937.591133525313
2025-05-30	9436.497148744886	16822.315888845427	20616.383765858387	10460.104329200853	19451.563591176484	130038.58505700828	3937.098478108772	8767.397931623374	26375.331933685196	10283.007720621259	16200.043039356817	37412.00124383015	36960.37377066436	112873.02947741767	8073.528649898852	11911.279925890925	23766.881873936127	13493.704257520347	10419.953558141915	34024.32132407854	20847.73515837045	13129.400987039422	8372.136592355953	3597.725092914715	3243.086617888923	12140.861400245401	21343.12089107447	30039.135257359914	8819.016753423752	13337.71858242856	7439.552885632456	117146.6334442159	14476.448620934392	7280.251996636703	18204.15751385307	12845.673215543484	12351.197923855352	11539.52886274597	46681.252500789735	7384.046504663648	24458.19938821382	12134.92207848984	12003.020270596804	9743.787665298385	11371.888307527075	24837.72476572777	3847.4542613409285	12442.389466086926	85059.73749044877	11277.12226586791	56055.98317893491	20009.597546269128	7793.622757018483	6589.012687301342	18176.45332504595	19428.705729761383	20128.229917122935	80937.26850967156	22913.09093923026	10143.183380551342	5590.301558084845	9781.517524220772	5307.392046667472	6199.64165791461	11212.558214226025	7409.91635437882	20538.083425197838	11304.676762383904	7542.6982512606755	14690.261087343359	5545.912792058406	6553.88857545913	20610.501269740696	25103.034494834654	116016.93457225508	13994.74174494352	95244.64225076334	115888.29639385582	12439.209507530872	10130.33202191739	25597.809088857626	13922.779987891154	17059.487956710138	40848.33563670596	10165.885730116916	11716.009834674325	11002.201648602926	17014.534425957507	15904.599309373581	7247.204970701749	13202.769208841723	11296.91500564746	9152.570536008627	53479.146150915396	56943.19296350666	11533.344169174812	11051.524496675716	8301.19391202564	1040278.8046444161	13053.622695441933	12599.754323940619	13894.222955967942	15723.3907214053	47741.81448750958	14842.935380910545	10280.058385975952	10173.346155624768	7546.18341289425	11168.798818517065	8873.209693525623	103919.97866127298	7945.795566762657
2025-06-02	9380.748574372443	16700.657944422714	20423.191882929194	10496.552164600427	19591.781795588242	129198.79252850414	3958.549239054386	8823.698965811687	26408.6659668426	10288.00386031063	16058.521519678408	37628.500621915075	37169.68688533218	112782.01473870884	8081.764324949426	11883.139962945463	23543.440936968065	13481.852128760172	10297.476779070957	33972.16066203927	20734.867579185226	13077.200493519711	8391.068296177977	3683.3625464573574	3274.0433089444614	12227.9307001227	21229.060445537238	29944.567628679957	8746.508376711876	13448.859291214281	7449.276442816228	117132.81672210795	14439.724310467196	7287.125998318352	18107.078756926538	12860.336607771742	12256.098961927677	11483.264431372985	46715.62625039487	7387.023252331825	24331.59969410691	12137.961039244921	11979.010135298402	9744.393832649192	11368.944153763538	24689.362382863885	3852.2271306704642	12430.194733043463	85034.36874522438	11289.061132933955	56062.991589467456	19903.798773134564	7697.811378509241	6534.006343650672	18083.726662522975	19297.85286488069	20319.11495856147	80612.13425483578	22535.04546961513	9999.09169027567	5542.150779042422	9794.258762110385	5252.196023333736	6237.320828957305	11171.779107113012	7457.45817718941	20639.04171259892	11091.838381191952	7496.849125630338	14669.13054367168	5497.4563960292035	6496.944287729565	20506.750634870346	24898.017247417327	115910.96728612753	13924.37087247176	95307.32112538167	115928.64819692791	12420.604753765436	10092.166010958696	25311.904544428813	13864.889993945577	16965.24397835507	41206.66781835298	10130.442865058458	11723.004917337163	10953.100824301462	16982.267212978753	15795.79965468679	7246.102485350874	13153.384604420862	11293.95750282373	9156.785268004314	53491.573075457694	56853.09648175333	11519.172084587406	11005.762248337858	8271.09695601282	1040411.902322208	13049.811347720966	12630.87716197031	13821.61147798397	15701.19536070265	47670.90724375479	14728.467690455273	10276.529192987975	10165.173077812384	7549.091706447125	11098.399409258533	8859.604846762812	103932.48933063648	7947.897783381328
2025-06-04	9590.374287186221	16722.828972211355	20632.0959414646	10918.776082300214	19706.39089779412	129984.39626425208	4039.274619527193	8963.349482905844	26916.3329834213	10347.501930155315	16150.260759839204	37636.750310957534	37915.34344266609	112294.00736935443	8065.8821624747125	11890.06998147273	23891.720468484033	13520.926064380086	10343.73838953548	34036.080331019635	20840.433789592615	13128.600246759856	8470.534148088987	3748.681273228679	3294.5216544722307	12321.46535006135	21291.53022276862	30049.28381433998	8668.254188355939	13589.42964560714	7558.138221408114	116766.40836105397	14558.362155233597	7303.062999159176	18153.53937846327	13035.168303885872	12371.049480963839	11503.132215686492	47395.313125197434	7376.011626165912	24531.299847053455	12119.48051962246	12097.005067649201	9812.196916324596	11347.972076881768	24767.68119143194	3864.613565335232	12416.597366521732	84980.18437261219	11292.530566466978	56073.995794733724	19983.399386567282	7745.4056892546205	6720.003171825336	18159.863331261487	19421.926432440345	20679.557479280735	79052.06712741789	22854.522734807564	10023.545845137836	5533.075389521211	9972.629381055192	5244.098011666868	6287.6604144786525	11195.389553556506	7396.229088594705	20704.52085629946	11062.419190595976	7531.424562815169	14833.06527183584	5555.228198014602	6525.972143864783	20714.375317435173	25340.008623708665	115519.48364306377	13928.685436235879	95424.66056269084	115767.82409846396	12685.802376882719	10117.083005479348	25684.952272214407	13954.944996972788	17104.121989177533	41900.833909176494	10173.22143252923	11716.502458668581	10977.550412150731	17055.133606489377	15798.899827343395	7238.551242675438	13072.692302210431	11254.978751411865	9158.892634002157	53505.28653772885	56755.54824087667	11497.086042293704	11031.38112416893	8283.04847800641	1040619.951161104	13060.405673860483	12699.438580985156	13944.305738991985	15714.097680351326	47534.953621877394	14785.233845227636	10260.764596493987	10131.586538906191	7539.0458532235625	11144.699704629267	8834.302423381407	103953.74466531824	8043.448891690664
2025-06-05	9685.68714359311	16911.914486105677	20693.5479707323	11168.888041150107	19796.19544889706	129980.19813212604	4127.137309763597	9097.674741452922	27468.66649171065	10382.250965077657	16290.130379919603	37520.87515547877	38310.67172133304	112084.00368467721	8165.441081237356	11893.534990736365	23988.360234242016	13585.463032190044	10451.86919476774	33908.04016550982	20798.716894796307	13021.800123379928	8635.267074044494	3771.3406366143395	3304.7608272361153	12400.732675030675	21195.76511138431	30020.64190716999	8596.62709417797	13612.21482280357	7612.569110704057	116617.70418052698	14585.681077616799	7301.031499579588	18104.269689231634	13255.084151942936	12388.52474048192	11472.066107843246	48155.15656259871	7423.005813082957	24638.649923526726	12097.740259811231	12276.002533824601	9981.098458162298	11317.486038440884	24732.84059571597	3863.306782667616	12347.798683260866	85129.5921863061	11311.26528323349	56081.99789736686	19940.19969328364	7786.702844627311	6731.001585912668	18119.431665630742	19424.963216220174	20982.278739640366	78615.03356370894	23026.761367403782	10005.772922568918	5531.0376947606055	10201.814690527597	5237.549005833434	6310.330207239326	11145.694776778253	7363.114544297352	20699.76042814973	10970.709595297987	7558.712281407585	14827.53263591792	5561.614099007301	6537.9860719323915	20703.187658717587	25504.004311854333	115264.24182153188	13916.34271811794	95660.83028134542	115732.41204923198	12939.40118844136	10068.541502739674	25913.4761361072	13997.472498486393	17191.060994588766	42675.41695458825	10170.610716264615	11630.751229334292	10959.775206075366	16922.06680324469	15695.949913671699	7279.275621337719	13002.346151105216	11203.989375705933	9172.446317001079	53514.64326886443	56484.274120438335	11443.543021146852	10981.690562084465	8250.024239003205	1040763.975580552	13021.202836930242	12571.719290492578	13945.652869495992	15654.048840175663	47613.47681093869	14776.616922613819	10223.882298246994	10102.793269453095	7552.522926611781	11139.349852314634	8845.151211690703	103971.87233265911	8169.2244458453315
2025-06-09	9940.843571796555	17353.95724305284	20863.273985366148	11487.444020575054	19694.09772444853	129904.09906606302	4171.0686548817985	9194.837370726462	27878.833245855327	10488.125482538828	16608.5651899598	37840.43757773939	38805.33586066652	112119.0018423386	8432.720540618679	11926.267495368182	24214.18011712101	13595.231516095022	10548.43459738387	33944.02008275491	20904.358447398154	13103.400061689965	8645.133537022248	3815.1703183071695	3352.380413618058	12522.866337515337	20978.382555692155	29946.820953584996	8560.813547088985	13796.107411401785	7698.784555352028	116668.85209026349	14626.3405388084	7262.515749789794	18034.634844615815	13480.042075971469	12516.76237024096	11466.533053921623	48960.07828129936	7396.502906541478	24707.324961763363	12024.870129905616	12280.5012669123	9990.549229081149	11245.743019220441	24740.420297857985	3862.653391333808	12320.899341630433	84672.29609315304	11332.632641616745	56085.99894868343	19938.09984664182	7896.351422313655	6880.500792956334	18120.71583281537	19418.981608110087	21243.639369820183	78370.01678185447	23115.380683701893	9999.386461284459	5500.018847380303	10366.407345263799	5244.274502916717	6292.665103619664	11142.847388389127	7344.057272148676	20532.380214074867	10792.854797648994	7549.856140703792	14917.26631795896	5577.30704950365	6508.993035966196	20662.593829358793	25396.002155927166	115211.12091076594	13927.17135905897	95503.4151406727	115745.706024616	13210.70059422068	10068.270751369837	26114.2380680536	14033.736249243197	17234.530497294385	42602.70847729412	10204.805358132307	11548.375614667146	10978.387603037683	16885.033401622342	15518.97495683585	7262.137810668859	13085.173075552608	11178.494687852966	9164.22315850054	53521.82163443221	56321.13706021917	11411.771510573426	10985.345281042231	8240.012119501604	1040875.4877902761	12994.101418465121	12488.359645246288	13983.826434747996	15730.024420087831	47280.73840546935	14804.30846130691	10156.941149123497	10074.396634726549	7525.761463305891	11139.174926157317	8795.075605845352	103978.43616632956	8279.612222922666
2025-06-10	10098.421785898277	17486.978621526418	21010.636992683074	11637.222010287527	19658.048862224263	130566.0495330315	4243.034327440899	9403.91868536323	28111.416622927663	10529.062741269414	16710.7825949799	38362.71878886969	39339.167930333264	112064.0009211693	8551.360270309338	11962.63374768409	24464.590058560505	13570.115758047512	10606.717298691936	34052.010041377456	21054.179223699077	13119.200030844982	8795.066768511124	3869.5851591535848	3373.690206809029	12673.933168757669	20907.191277846076	30074.9104767925	8585.406773544491	14000.553705700891	7746.892277676014	116644.92604513175	14681.6702694042	7283.257874894897	18119.817422307908	13630.021037985734	12628.381185120481	11461.266526960811	49467.53914064968	7413.251453270739	24801.16248088168	12030.435064952808	12347.750633456151	10032.774614540574	11254.37150961022	24943.710148928993	3859.826695666904	12336.949670815216	85002.64804657652	11350.316320808372	56090.49947434172	20030.549923320912	7931.675711156828	7044.750396478167	18199.857916407687	19514.490804055044	21471.819684910093	78252.00839092724	23495.190341850946	10125.19323064223	5534.509423690151	10423.703672631898	5250.137251458358	6344.832551809832	11211.423694194564	7319.528636074338	20521.190107037433	10870.427398824497	7535.428070351896	14909.633158979479	5635.153524751825	6496.996517983098	20797.2969146794	25676.501077963585	115159.56045538298	13978.585679529486	95525.20757033635	115792.353012308	13346.35029711034	10127.135375684918	26517.1190340268	14079.368124621598	17295.265248647192	44023.854238647065	10247.902679066154	11517.187807333572	10995.193801518843	16864.01670081117	15531.487478417925	7276.5689053344295	13161.586537776304	11181.247343926483	9188.61157925027	53527.91081721611	56414.56853010958	11420.885755286712	11045.172640521116	8283.506059750802	1040970.243895138	13010.05070923256	12434.179822623144	14089.413217373998	15825.012210043915	47437.86920273467	14964.654230653454	10169.470574561748	10097.198317363274	7553.3807316529455	11209.587463078658	8816.037802922676	103989.21808316477	8352.306111461334
2025-06-11	10118.710892949139	17785.48931076321	21301.818496341537	11898.111005143764	19672.52443111213	131599.52476651577	4296.517163720449	9572.959342681615	28547.70831146383	10601.031370634708	16948.39129748995	38861.35939443485	39888.08396516663	112007.50046058465	8660.68013515467	12014.816873842046	24849.795029280252	13555.057879023756	10663.358649345968	34101.005020688724	21296.089611849537	13312.100015422491	8867.533384255563	3974.2925795767924	3386.8451034045147	12914.466584378835	20893.595638923038	30261.95523839625	8597.703386772246	14052.776852850446	7778.446138838007	116600.96302256588	14724.3351347021	7323.628937447449	18219.908711153956	13792.510518992867	12704.19059256024	11548.133263480406	50041.26957032484	7409.12572663537	24872.581240440843	12068.217532476403	12491.375316728076	10126.387307270288	11283.18575480511	25217.855074464496	3857.413347833452	12387.474835407607	85345.82402328827	11406.658160404186	56092.74973717086	20173.774961660456	8055.837855578414	7121.875198239084	18329.928958203844	19661.24540202752	21960.909842455047	78307.00419546361	23945.095170925473	10260.096615321116	5621.754711845076	10654.85183631595	5312.068625729179	6410.416275904916	11330.211847097282	7292.264318037169	20595.595053518715	11009.213699412248	7560.714035175948	14938.31657948974	5738.576762375913	6580.998258991549	20904.1484573397	25801.750538981792	115086.78022769149	14036.292839764743	95506.60378516818	115717.176506154	13545.17514855517	10243.06768784246	27040.5595170134	14121.1840623108	17350.632624323596	44711.92711932353	10328.951339533076	11523.593903666786	11062.096900759421	16894.508350405587	15676.743739208963	7270.284452667214	13263.293268888152	11243.623671963242	9209.305789625134	53533.45540860805	56638.78426505479	11472.942877643356	11171.586320260558	8369.7530298754	1041059.6219475691	13030.52535461628	12432.089911311572	14192.206608687	15960.006105021957	47610.434601367335	15205.827115326727	10197.735287280873	10157.099158681638	7589.690365826473	11293.293731539328	8843.518901461339	103997.10904158239	8453.653055730667
