	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-07-30	5741.0	20199.0	17036.0	6729.0	12343.0	74506.0	3185.0	3647.0	36282.0	11230.0	16843.0	42576.0	23472.0	109654.0	18715.0	12526.0	31370.0	12255.0	12260.0	20930.0	21365.0	6710.0	6955.0	3629.0	5151.0	14513.0	21055.0	18822.0	7764.0	11060.0	8894.0	108056.0	13484.0	7580.0	17615.0	13885.0	14410.0	12754.0	50540.0	12680.0	18698.0	11927.0	20037.0	20631.0	11638.0	16761.0	4103.0	9291.0	96896.0	12328.0	50312.0	11938.0	8439.0	12005.0	10775.0	11073.0	10547.0	91900.0	9831.0	10464.0	10839.0																																																			
2021-08-02	5711.0	20317.0	17263.333333333332	6742.333333333333	12247.0	75177.33333333333	3179.0	3633.6666666666665	36436.666666666664	11344.666666666666	16902.333333333332	43314.0	23344.666666666668	109514.0	18699.0	12596.0	31246.666666666668	12278.333333333334	12329.333333333334	20900.0	21521.0	6700.0	6914.333333333333	3623.0	5125.666666666667	14645.0	21174.333333333332	18960.0	7757.333333333333	11070.0	8913.333333333334	108059.33333333333	13324.0	7625.333333333333	17851.666666666668	13958.333333333334	14490.0	12952.0	50726.666666666664	12666.666666666666	18860.0	11937.0	20043.666666666668	20710.333333333332	11657.333333333334	16864.333333333332	4103.0	9300.333333333334	97087.33333333333	12380.666666666666	50318.666666666664	12011.333333333334	8533.666666666666	12289.666666666666	10843.666666666666	11175.666666666666	10491.666666666666	91704.66666666667	9967.0	10592.666666666666	10932.333333333334																																																			
2021-08-03	5713.857142857143	20479.285714285714	17274.0	6743.285714285715	12222.42857142857	75128.0	3161.285714285714	3588.714285714286	36830.57142857143	11354.0	17003.285714285714	43542.0	23259.714285714286	109541.42857142857	18565.285714285714	12586.285714285714	31237.14285714286	12290.714285714286	12357.714285714286	20800.0	21554.14285714286	6668.571428571428	6878.714285714285	3601.285714285714	5140.142857142857	14671.285714285714	21265.571428571428	18965.714285714286	7789.142857142857	10901.42857142857	8913.714285714286	108105.42857142857	13301.142857142857	7640.571428571428	17985.0	14030.714285714286	14430.0	13044.0	51014.28571428572	12731.42857142857	18866.85714285714	11934.142857142857	19954.14285714286	20601.0	11668.57142857143	16893.85714285714	4091.5714285714284	9292.714285714286	96980.85714285714	12417.42857142857	50320.57142857143	11986.0	8499.57142857143	12612.142857142857	10818.142857142857	11167.857142857143	10454.142857142857	91796.85714285714	10053.285714285714	10595.714285714286	10844.714285714286																																																			
2021-08-04	5767.8	20640.2	17376.4	6799.133333333333	12225.933333333332	75166.93333333333	3161.6666666666665	3611.8	37136.933333333334	11455.333333333334	17163.133333333335	43919.6	23343.6	109615.86666666667	18673.933333333334	12577.066666666668	31260.0	12293.0	12451.733333333334	20768.0	21699.133333333335	6658.666666666667	6956.733333333334	3624.0666666666666	5223.8	14776.2	21434.866666666665	18942.4	7839.2	10783.333333333334	8972.0	108152.66666666667	13372.0	7663.733333333334	18014.333333333332	14166.333333333334	14398.0	13105.333333333334	51524.0	12757.333333333334	18927.733333333334	11914.333333333334	19884.2	20507.133333333335	11633.6	16897.666666666668	4100.333333333333	9264.6	97025.2	12440.133333333333	50324.0	11981.2	8553.666666666666	12757.133333333333	10813.266666666666	11175.4	10467.4	92008.13333333333	10102.733333333334	10578.266666666666	10967.0																																																			
2021-08-05	5765.8387096774195	20663.83870967742	17272.967741935485	6819.709677419355	12217.193548387097	75192.25806451614	3169.064516129032	3617.064516129032	37334.645161290326	11510.90322580645	17186.290322580644	44241.87096774193	23407.290322580644	109705.74193548386	18790.612903225807	12540.387096774193	31272.90322580645	12337.90322580645	12470.967741935483	20691.612903225807	21923.58064516129	6610.322580645161	6997.129032258064	3644.6774193548385	5243.5161290322585	14875.193548387097	21503.58064516129	18926.709677419356	7897.935483870968	10541.612903225807	9009.677419354839	108168.83870967742	13331.741935483871	7674.193548387097	17996.612903225807	14227.58064516129	14309.225806451614	13123.741935483871	51707.74193548387	12779.354838709678	18957.8064516129	11895.064516129032	20005.90322580645	20612.354838709678	11617.806451612903	16849.83870967742	4110.4838709677415	9249.322580645161	96810.3870967742	12396.193548387097	50322.967741935485	11958.90322580645	8494.483870967742	12860.806451612903	10793.516129032258	11181.387096774193	10541.516129032258	92047.29032258065	10189.58064516129	10524.451612903225	10991.258064516129																																																			
2021-08-06	5760.841269841269	20658.333333333332	17206.95238095238	6825.444444444444	12177.47619047619	75374.98412698413	3172.5873015873017	3634.809523809524	37301.80952380953	11558.698412698413	17194.777777777777	44615.77777777778	23363.968253968254	109705.36507936507	18799.444444444445	12607.238095238095	31753.968253968254	12354.20634920635	12459.809523809523	20640.0	22282.904761904763	6602.539682539683	7008.746031746032	3654.4920634920636	5275.253968253968	14937.063492063493	21599.79365079365	18931.93650793651	7897.9682539682535	10553.492063492064	9011.873015873016	108149.11111111111	13289.714285714286	7679.174603174603	18044.04761904762	14223.730158730159	14375.650793650793	13076.126984126984	51688.57142857143	12746.666666666666	19024.95238095238	11852.873015873016	20054.714285714286	20659.920634920636	11595.555555555555	16848.396825396827	4113.793650793651	9244.587301587302	96300.22222222222	12480.412698412698	50322.47619047619	11970.63492063492	8458.682539682539	12660.777777777777	10798.84126984127	11207.095238095239	10589.0	92239.6507936508	10211.63492063492	10516.095238095239	11099.317460317461																																																			
2021-08-09	5798.716535433071	20579.55118110236	17244.771653543306	6834.291338582677	11970.11811023622	75275.21259842519	3153.1417322834645	3609.2047244094488	37314.503937007874	11519.543307086615	17102.66929133858	44428.92913385827	23302.0	109587.76377952757	18857.67716535433	12599.055118110236	31827.55905511811	12352.086614173228	12444.28346456693	20697.952755905513	22270.858267716536	6611.3385826771655	6975.110236220473	3637.1102362204724	5262.023622047244	14964.748031496063	21616.527559055117	18911.811023622045	7890.425196850394	10332.51968503937	8980.692913385827	108112.26771653544	13276.75590551181	7656.4094488188975	18052.08661417323	14191.614173228347	14420.677165354331	13144.094488188977	51558.26771653543	12652.598425196851	18990.20472440945	11827.236220472441	20360.24409448819	21009.188976377955	11577.133858267716	16869.866141732284	4110.8740157480315	9247.314960629921	95675.73228346456	12493.811023622047	50322.23622047244	11983.417322834646	8421.047244094489	12545.488188976378	10809.0	11186.889763779527	10737.661417322835	91892.11023622047	10204.763779527559	10507.48031496063	11119.314960629921																																																			
2021-08-10	5802.3725490196075	20415.133333333335	17362.84705882353	6834.64705882353	11835.03137254902	75556.20392156862	3133.9960784313726	3581.9960784313726	37154.12549019608	11541.356862745099	16965.8	44624.7294117647	23237.24705882353	109480.46274509803	18808.145098039215	12593.003921568628	31934.196078431374	12320.921568627451	12429.082352941177	20756.70588235294	22635.854901960785	6593.098039215686	6919.839215686275	3613.4627450980392	5206.294117647059	14921.203921568627	21710.129411764705	18959.090196078432	7871.639215686275	10281.058823529413	8937.176470588236	108103.6	13275.372549019608	7656.705882352941	18071.117647058825	14125.549019607843	14440.41568627451	13212.313725490196	51325.72549019608	12588.549019607843	19013.192156862744	11839.666666666666	20556.38823529412	21278.145098039215	11575.560784313726	16911.596078431372	4109.431372549019	9264.725490196079	95243.67843137255	12476.839215686274	50324.62745098039	12020.854901960784	8496.819607843137	12568.333333333334	10843.635294117646	11229.109803921569	10813.627450980392	91795.17647058824	10208.898039215686	10547.898039215686	11053.901960784313	9341.0	9778.0																																																	
2021-08-11	5836.753424657534	20320.381604696675	17536.262230919765	6855.864970645793	11748.34637964775	75717.41682974559	3109.450097847358	3555.9471624266143	36735.74559686888	11610.81409001957	16886.745596868885	45331.2446183953	23198.54794520548	109433.13894324853	18653.771037181996	12510.340508806263	31944.618395303325	12343.003913894325	12436.555772994128	20861.05675146771	22692.538160469667	6629.119373776908	6913.908023483366	3604.2133072407046	5171.579256360078	14924.608610567515	21898.93346379648	19030.18395303327	7862.301369863014	10340.6457925636	8893.001956947162	108059.71428571429	13309.753424657534	7671.381604696673	18135.68493150685	14030.08806262231	14452.731898238748	13291.311154598825	50984.69667318982	12494.090019569472	18972.0156555773	11860.874755381605	20599.277886497064	21406.82387475538	11589.3072407045	16949.87279843444	4115.727984344423	9299.430528375733	94853.57729941292	12397.264187866927	50325.816046966735	12084.050880626222	8561.536203522504	12502.538160469667	10903.935420743639	11255.105675146771	10863.91193737769	91790.57925636008	10175.383561643835	10657.16242661448	11221.778864970645	9107.0	9902.666666666666																																																	
2021-08-12	5871.41055718475	20381.250244379276	17643.235581622677	6853.930596285435	11782.206256109483	75856.3440860215	3104.7204301075267	3542.960899315738	36388.533724340174	11656.952101661778	16925.41055718475	45578.86412512219	23239.814271749754	109329.46823069404	18615.848484848484	12491.652003910069	31897.26295210166	12386.544477028348	12427.769305962855	21128.28934506354	22440.522971652004	6672.101661779081	6913.4535679374385	3599.6021505376343	5144.2629521016615	14903.783968719452	21985.551319648093	19141.700879765394	7880.168132942326	10410.39100684262	8859.468230694038	108106.90322580645	13396.961876832844	7710.729227761486	18210.415444770282	13952.468230694038	14521.433040078202	13311.174975562073	50684.55522971652	12474.525904203323	18934.47116324536	11898.97458455523	20919.451612903227	21770.266862170087	11633.196480938417	17020.004887585532	4119.868035190616	9338.253176930597	94933.36656891495	12388.623655913978	50326.408602150535	12157.597262952102	8561.768328445747	12320.591397849463	10971.033235581623	11275.572825024437	11058.64613880743	91666.66862170088	10146.663734115347	10756.177908113392	11348.012707722386	8945.285714285714	9935.42857142857																																																	
2021-08-13	5855.697606253053	20297.08402540303	17662.627259404006	6809.443575964827	11819.121152906693	76388.43185148998	3085.350757205667	3504.4616511968734	35976.56570591109	11628.46213971666	16832.659990229604	45504.89594528578	23106.341963849536	109293.21641426478	18440.838788470934	12527.843673668784	32053.70786516854	12390.774303859307	12353.348314606741	21249.203712750368	22426.754763067904	6711.069858329262	6849.1954079140205	3562.2828529555445	5104.612115290669	14817.349780166096	21956.261358085	19279.91792867611	7929.1079628724965	10400.19052271617	8833.72154372252	108113.45481191989	13410.48754274548	7730.374206155349	18305.254030288226	13796.157791890571	14538.224719101123	13318.591108939912	50124.50415241817	12477.264289203713	18960.248168050806	11970.021983390327	21049.28920371275	21963.727894479725	11682.622374206156	17147.064484611627	4116.43234000977	9387.650708353689	95507.96384953591	12414.324377137274	50329.205666829504	12257.847581827064	8487.848070346849	12195.234489496825	11058.059110893992	11356.826086956522	11111.348803126526	91537.7713727406	10108.313141182218	10788.104543234002	11408.5359062042	8791.0	9866.933333333332																																																	
2021-08-17	5830.842735042735	20068.986324786325	17432.75750915751	6752.707936507936	11952.09304029304	76989.36263736263	3026.66105006105	3424.2112332112333	35590.68864468864	11590.721855921856	16610.775824175824	45378.91721611722	22788.093284493283	109458.6485958486	18169.853235653234	12537.924297924297	31714.271062271062	12397.888888888889	12196.635897435897	21414.64224664225	22325.352625152624	6693.030525030525	6765.077167277167	3504.6273504273504	4995.779487179487	14632.629792429792	22203.691086691088	19438.49768009768	8035.579975579975	10292.568986568987	8779.84761904762	108190.74627594628	13362.23199023199	7736.188522588523	18332.6336996337	13643.041514041513	14372.071794871796	13236.77557997558	49564.61538461538	12578.656898656898	18998.133333333335	12073.036141636141	20642.045177045176	21660.789987789987	11783.835897435898	17263.560683760683	4095.210989010989	9450.840781440782	96624.75457875458	12437.167765567765	50330.60317460317	12353.947252747254	8246.36507936508	11933.553357753357	11150.552136752136	11444.434432234431	10839.107936507937	91675.41929181929	10146.165811965811	10707.5326007326	11141.202686202687	8677.451612903225	9619.741935483871																																																	
2021-08-18	5829.4211939934075	19964.480405322916	17346.36820900989	6753.354047124893	12018.554633133928	76784.65633011842	3022.830057380051	3406.6034672201195	35589.34415822244	11586.860456598706	16504.37492369674	45343.4542790868	22756.542790868025	109601.34171651813	18170.926748870712	12519.959956049322	31614.62336711024	12348.938469051398	12128.309608106458	21402.319619094127	22485.695885728237	6654.010499328531	6801.042973995849	3473.309852276889	4982.388108900012	14666.819069710658	22299.857282383102	19423.24697839092	8130.801611524845	10221.27579050177	8780.423879868147	108224.37724331583	13263.103894518374	7756.09669149066	18221.303259675253	13599.01538273715	14261.522402637042	13199.883286534001	49407.28848736418	12611.832499084361	18959.561958246857	12082.01916737883	20674.02649249176	21703.90025637895	11777.417165181296	17304.785374191186	4099.105969967037	9443.919545842999	96985.42131607862	12446.084971309974	50328.80136735441	12335.471371016969	8128.168111341716	11820.262849468929	11138.274569649615	11411.713221828837	10786.54755219143	91881.23476986936	10060.572457575388	10560.748382370895	10917.57404468319	8656.904761904761	9477.142857142857																																																	
2021-08-19	5729.704510773363	19543.214490630533	17148.67203808826	6628.1693828969055	12001.776292498322	76278.2972593542	2960.91124946591	3312.2959775376917	35140.14466214979	11468.92302997009	16163.666666666666	44871.69834584631	22350.746627601784	109710.67753158761	18247.468046145394	12470.976988341574	31402.29872428737	12319.467435756576	12011.647683574436	21306.15394005982	22426.844350851494	6529.497650003052	6679.514069462248	3384.64951474089	4888.688335469694	14502.89953000061	22243.425196850392	19322.617347250198	8101.399011170115	9978.123054385644	8671.205273759384	108265.69114325826	13096.54178111457	7710.54556552524	18093.143807605444	13431.997497405848	14016.746261368491	13170.439846182018	48823.60861869011	12663.419398156626	18771.769517182445	12131.512604529085	20598.50863700177	21553.44094488189	11823.711408167002	17229.388085210277	4070.0512116218033	9471.461453946164	97555.24543734359	12409.540255142525	50327.90062870048	12259.731062686931	7990.575657693951	11801.130256973693	11070.633156320577	11338.852163828358	10625.263932124764	91909.11908685832	9960.280107428433	10462.868217054263	10933.28798144418	8547.598425196851	9472.031496062993																																																	
2021-08-20	5632.349284340953	19132.094698934903	16921.829096346934	6524.08151493881	12028.388958403271	76501.65544602802	2899.453749198889	3245.645954771569	34768.56099124119	11329.457258827479	15844.323587755975	44162.3275246437	21932.860560930203	109797.34141056551	18158.731315042573	12437.987487411116	30981.136509292886	12232.231055635242	11853.319009979552	21218.074282052065	22185.91482284005	6409.745170445875	6571.753746147038	3302.822260200812	4817.842005676443	14260.442365794854	22145.209601123082	19280.807397686698	8101.699514755699	9846.557512131107	8589.10013122959	108345.34800256355	12800.761864070559	7700.272469252602	17989.06872768334	13295.994598223822	13899.369548631244	13050.716269417402	48311.78868984039	12729.211706900234	18786.885219885862	12170.757499923704	20461.250129703665	21421.216437269202	11858.85677663503	17217.69368572039	4049.524979400006	9503.731711783197	97915.63371684928	12423.270546586506	50327.45030060732	12261.865596484267	7811.282357249672	11463.554826502273	11080.816888943144	11378.927304910429	10450.126621295816	92275.07071138646	9945.139591662342	10341.930417798394	10841.141178624835	8459.454901960784	9479.545098039216																																																	
2021-08-23	5619.174441138323	19074.546471351186	16839.91329823758	6566.541405355917	12034.194567788205	77011.33550011444	2876.2265201800565	3246.822995345998	34661.27885862516	11405.229785610742	15826.661524376288	44652.67124437323	21866.929274433507	109724.16958876936	18263.36725413901	12465.494163424124	31145.570763714048	12201.115053025102	11839.159288929579	21216.537117570762	22254.958464942396	6374.872053101396	6557.876661326009	3299.411078049897	4859.42163729305	14371.722880903335	21804.59960326543	19346.904707408255	8106.849835965515	9750.777294575417	8582.049958037689	108333.67382314794	12682.879133287557	7736.636789501793	18027.034943160143	13285.497138933395	14035.186846723125	13033.357869840544	48278.39383535516	12742.106050202183	18928.444769970243	12155.87852292668	20320.62291905089	21236.605401693752	11827.42790875105	17279.34778362707	4044.2624093995573	9496.865751125353	98095.81960784314	12422.635263599603	50339.72533760586	12309.933531700617	7802.141039139391	11376.776089112687	11124.909117265583	11452.964782177462	10474.563683527886	92129.03312733654	9952.56990920882	10325.964965285726	10917.571755550469	8449.708414872799	9683.17025440313																																																	
2021-08-24	5693.087784483219	19239.77449626538	16870.456882147842	6664.271448299013	12099.097779066307	77522.67165124246	2907.113495738951	3310.4119828184726	34734.63998901359	11481.615475581937	15980.831938415058	44955.33793135019	22064.466144303467	109481.08293978072	18449.685048561467	12475.747159936218	31700.289614025987	12278.058113541516	11902.08012451267	21205.76847662717	22484.48098358905	6434.936484805945	6652.439052116792	3358.2059875945097	4995.711858458393	14560.862883475369	21442.297037483502	19427.952972053314	8099.424861334696	9895.38975059319	8684.025757032448	108214.33600109864	12731.43993713331	7754.818533466594	18113.518131394434	13402.749464030945	14175.594494586903	13061.179147179773	48701.70014724844	12733.55295984619	19128.223909178996	12103.438861380473	20059.309465862014	20973.80069580609	11772.21353312327	17295.674016372806	4059.13131814055	9460.432597599774	97871.9080956123	12407.317514934653	50345.86271562741	12340.967002616902	7948.571636746497	11492.388926612293	11158.954818380878	11526.98295580258	10481.78189683454	91554.01217660657	10082.785948073944	10387.482951987853	11043.286836905188	8560.462365591398	9794.69403714565																																																	
2021-08-25	5770.544187714339	19346.387654829618	16953.228756823566	6743.636026901348	12106.548917956992	77908.3372968189	2951.0569155003186	3354.7061603781144	34781.320172577565	11499.30780528185	16078.416341462484	45101.669523885816	22299.23396771991	109340.0409318578	18555.342927333553	12458.873515600264	31992.645922263804	12279.029060474626	12043.54060188523	21202.88422731105	22599.240929568976	6479.96841418615	6730.719824675845	3382.6030868648027	5097.356316972035	14695.431955077953	21415.648417085333	19465.976631075406	8115.712492799731	10065.195523054212	8718.513010074654	108122.66765086232	12810.720270997128	7765.409307133893	18251.759593046543	13488.87506055855	14300.297722998515	13117.089786872051	49000.85121479498	12711.7763968521	19243.11239285428	12082.219349744224	20102.154896373355	21079.400750735287	11769.106754710216	17316.33708700976	4071.065704596346	9451.216263642364	97538.45277577505	12422.15881408239	50338.93133137257	12356.483560499422	8093.286370416147	11532.694617060155	11178.477483663497	11581.491685835594	10622.891486707636	91136.00449373052	10157.893260548632	10470.241791693847	11093.64361054844	8570.736199316072	9956.425989252564																																																	
2021-08-26	5830.772208733003	19474.69407213988	16882.11424277161	6783.318089138201	12070.774390744002	78108.66903051191	2957.028469139994	3341.8530556737055	34704.65994007099	11494.653893764293	16148.708304802522	45129.83481566394	22470.61731074774	109301.02039150313	18290.67095884506	12447.936736939882	32346.323635718603	12284.514540700036	12111.770431080688	21321.442339787176	22654.62057041277	6539.984321564334	6788.86002323155	3394.801566699155	5148.178255421172	14791.716161186525	21494.324358605114	19504.48838899305	8118.856252396111	10202.598023601577	8706.256481659855	108101.33378474004	12907.36031982483	7759.204641732486	18298.37988544442	13479.43751227858	14375.149004266746	13086.544835176153	48970.425549365136	12650.888082290807	19275.556258308905	12069.109649867343	20027.077304987535	20991.200207138456	11765.053369623889	17346.168600403977	4085.032878938444	9456.608142105373	97334.72599930954	12409.579383047834	50337.96566384442	12392.241848453232	8089.14317730556	11426.347105688297	11205.73879382857	11608.745894901074	10702.945896045487	91109.00219536247	10233.946775334884	10524.120998613354	11131.321877139811	8601.37557997558	10116.252014652015																																																	
2021-08-27	5881.38615263572	19527.847086760605	16896.557135159623	6836.6590954390485	12117.387239825477	78146.83455165343	2964.514241708986	3357.926543165725	34610.82988055218	11543.82699377727	16206.354207376678	45315.41758481749	22630.808808144386	109240.51013804448	18031.335232100708	12451.468371837971	32498.161962663617	12302.25728727082	12143.38524569058	21365.72121212121	22664.810294924064	6557.492177478959	6836.430056982094	3418.400805855566	5210.089186753451	14815.358103139975	21406.662095701307	19490.244180912192	8102.928111007796	10313.799117850416	8720.628254535917	108063.66685644804	12893.680146865985	7750.602312662423	18314.18995779987	13467.218744486565	14402.57452828839	13066.272398254774	48937.71274348521	12640.44403118518	19296.778149393223	12050.054806761558	19999.53862623084	20937.600052452137	11748.526669050854	17351.08430488997	4104.516458050211	9456.80407123954	97560.86321531603	12394.789677419354	50347.4828409985	12392.120924111294	8102.071600982285	11333.17346398684	11209.369400376701	11617.372955677944	10793.47303435615	90992.50098657703	10291.973443005983	10528.560503540519	11147.660954152063	8621.190208765718	10198.636063972654																																																	
2021-08-30	5829.693051668669	19645.92359968357	16862.278551234507	6859.329558529644	12175.693647715401	78364.4173795783	3022.2571483884567	3380.963282567636	34551.914912183245	11578.91351361919	16324.1771598707	45443.20885334437	22769.904470398174	109362.7551273132	17984.66759379749	12529.234223000632	32879.081162968236	12363.628672899567	12213.692656370476	21387.860616617498	22694.405161573963	6633.746125100195	6904.715061051875	3435.200410938459	5291.544632217709	14901.679092731043	21385.331037679214	19541.122114716585	8117.46406243518	10356.899579477109	8744.31413856227	108128.83345929788	12998.840123577176	7757.801159763889	18379.595010087494	13476.109376482666	14595.787356275252	13028.63618118104	48978.85639136142	12662.722026215566	19371.889110512308	12048.027402414036	19878.769255528096	20873.79999580383	11730.263325816786	17375.542164107403	4114.258233670346	9444.402029706016	97578.43161603528	12453.39486665481	50344.74141919204	12419.060474901426	8113.535805957702	11269.586701672888	11233.184711544376	11648.68649277043	10861.236549490237	91052.25052177931	10399.486772769344	10629.78030003562	11190.830497660874	8617.094854422267	10414.831227491912																																																	
2021-08-31	5837.346527659065	19849.461848369087	16928.63929143889	6897.164788285443	12214.846833192547	78809.20879583569	3078.1285875150174	3397.4816452221025	34990.457560648334	11676.956780184932	16461.088612577583	45849.104523445254	22939.452275622432	109430.37757977904	18103.33382519098	12633.617136387142	32942.040596494815	12419.314349726283	12303.846349679554	21361.43030200727	22627.702564883843	6644.373065083758	6979.357548322093	3453.6002098560834	5317.772322362023	14998.339569411175	21407.165524045355	19581.06106688048	8149.732038910875	10435.949808585598	8794.657081283827	108180.91674206656	13043.920072536486	7789.900587535045	18429.797517012958	13605.554719103508	14682.393698786187	12989.318081216355	49544.42833052357	12693.861020531898	19555.944599138402	12017.513693931984	20118.884685012028	21177.400070285814	11698.631655366815	17375.77108210828	4123.629119069366	9410.701006818057	97551.7158016481	12550.69745652615	50340.87070867317	12437.03024173504	8212.267926518423	11182.793330143291	11252.092360280123	11715.843262396636	11003.118308572366	91339.62532940514	10470.243403254366	10670.390159699955	11217.415255168737	8678.049287392803	10478.417554246651																																																	
2021-09-01	5858.173266312273	20017.23094418418	17159.319673218688	6940.082399258899	12231.92341863196	78879.10440625004	3129.5642998891235	3413.240824489692	35263.22881284104	11766.478400764274	16607.044323688067	46129.052295095	23019.726147380607	109383.6887843238	18125.166915198195	12720.808578587601	33118.52031928543	12427.15717579808	12398.923186173819	21308.215144659895	22596.851278764163	6594.6865266187815	7004.6787771795725	3462.8001060247548	5345.386164472838	15096.669796427464	21408.08276213202	19520.030526164832	8185.866023762944	10462.974907514443	8835.32854549033	108179.95837091903	13073.960039849286	7799.950294965541	18412.398756432383	13692.777369949505	14755.69685813151	13011.659043271427	49809.71419688632	12654.430505565466	19618.472307023087	11974.756841868977	20121.942342870516	21090.20002474785	11677.815825201968	17319.885534392062	4139.314561404533	9386.850500565826	97200.35785893892	12608.848735195248	50341.4353544039	12434.515120567694	8362.633981184243	11206.896667944988	11245.04617930009	11721.921631922916	11005.559154577155	91313.31266156585	10456.121699943746	10666.195079349885	11123.207616353942	8744.025650415808	10352.706858930342																																																	
2021-09-02	5854.086632912555	19954.615468359916	17295.659844735852	6976.541201802564	12232.961709377867	79009.55221090032	3133.782150195965	3403.620411671425	34972.61438909855	11768.239200487089	16594.522161097655	46172.02615010894	22941.863069049305	109347.3443899956	18122.08345741531	12848.404296899098	33606.760188744076	12441.07858872882	12483.961598155594	21254.107569104883	22695.425645257572	6517.343258699373	6951.839385440313	3459.900052839521	5342.193082046097	15128.33490010112	21388.541379901253	19546.015264631227	8203.933012958349	10428.987451731411	8842.164273152606	108184.47918572898	13068.98001962781	7804.975147782275	18566.199387383425	13663.888683252851	14782.348430654312	13031.329522808166	49694.85709159714	12657.215252948716	19642.236154927978	11985.878421597386	19837.971154509254	20787.099994307755	11689.90791332173	17337.942768272325	4139.1572806928925	9381.925249989346	96998.67891744846	12719.424374188446	50341.717677218774	12433.257560208891	8494.31699844104	11158.94833111455	11239.023089291042	11739.960817036677	10923.779572414134	91201.65632412769	10432.060848537734	10679.097540443989	11023.60380224012	8739.01278696279	10358.85347636014																																																	
2021-09-03	5852.043316395381	20045.307736882798	17330.329923401176	6976.270600893217	12228.480854555393	78929.27610305774	3145.3910754439557	3403.8102058413688	35266.8072033169	11754.119599822749	16663.261082597408	46283.01307836214	22989.931535957203	109263.67219250418	18184.541730569057	12932.20215094692	33945.8801044786	12538.039297254065	12526.480800344967	21304.553786055858	22821.712826392435	6558.671630581368	6917.91969170927	3458.4500263765462	5357.596541482107	15191.667451938018	21408.770690553505	19579.007633298865	8217.466506882503	10531.993728935531	8832.082136275832	108186.73959293186	13128.990011602342	7817.987574278938	18703.09969777166	13699.444342686067	14878.174218182987	13036.664761563085	49812.42854930247	12668.607626813877	19654.118077818097	11968.939210293865	19882.48557858126	20786.049997122587	11673.453956170499	17332.471383973105	4144.578640508015	9369.96262463816	96727.33945063768	12846.712190887696	50349.35883883711	12441.628780353927	8501.158499424413	11169.974165885871	11245.511544838891	11728.980408191097	10931.389786433869	91491.82817071164	10403.530423418593	10695.048770697378	10921.301898071226	8760.006473565954	10299.926513391545																																																	
