	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2025-06-05	9781.0	17101.0	20755.0	11419.0	19886.0	129976.0	4215.0	9232.0	28021.0	10417.0	16430.0	37405.0	38706.0	111874.0	8265.0	11897.0	24085.0	13650.0	10560.0	33780.0	20757.0	12915.0	8800.0	3794.0	3315.0	12480.0	21100.0	29992.0	8525.0	13635.0	7667.0	116469.0	14613.0	7299.0	18055.0	13475.0	12406.0	11441.0	48915.0	7470.0	24746.0	12076.0	12455.0	10150.0	11287.0	24698.0	3862.0	12279.0	85279.0	11330.0	56090.0	19897.0	7828.0	6742.0	18079.0	19428.0	21285.0	78178.0	23199.0	9988.0	5529.0	10431.0	5231.0	6333.0	11096.0	7330.0	20695.0	10879.0	7586.0	14822.0	5568.0	6550.0	20692.0	25668.0	115009.0	13904.0	95897.0	115697.0	13193.0	10020.0	26142.0	14040.0	17278.0	43450.0	10168.0	11545.0	10942.0	16789.0	15593.0	7320.0	12932.0	11153.0	9186.0	53524.0	56213.0	11390.0	10932.0	8217.0	1040908.0	12982.0	12444.0	13947.0	15594.0	47692.0	14768.0	10187.0	10074.0	7566.0	11134.0	8856.0	103990.0	8295.0
2025-06-09	10196.0	17796.0	21033.0	11806.0	19592.0	129828.0	4215.0	9292.0	28289.0	10594.0	16927.0	38160.0	39300.0	112154.0	8700.0	11959.0	24440.0	13605.0	10645.0	33980.0	21010.0	13185.0	8655.0	3859.0	3400.0	12645.0	20761.0	29873.0	8525.0	13980.0	7785.0	116720.0	14667.0	7224.0	17965.0	13705.0	12645.0	11461.0	49765.0	7370.0	24776.0	11952.0	12285.0	10000.0	11174.0	24748.0	3862.0	12294.0	84215.0	11354.0	56090.0	19936.0	8006.0	7030.0	18122.0	19413.0	21505.0	78125.0	23204.0	9993.0	5469.0	10531.0	5251.0	6275.0	11140.0	7325.0	20365.0	10615.0	7541.0	15007.0	5593.0	6480.0	20622.0	25288.0	115158.0	13938.0	95346.0	115759.0	13482.0	10068.0	26315.0	14070.0	17278.0	42530.0	10239.0	11466.0	10997.0	16848.0	15342.0	7245.0	13168.0	11153.0	9156.0	53529.0	56158.0	11380.0	10989.0	8230.0	1040987.0	12967.0	12405.0	14022.0	15806.0	46948.0	14832.0	10090.0	10046.0	7499.0	11139.0	8745.0	103985.0	8390.0
2025-06-10	10256.0	17620.0	21158.0	11787.0	19622.0	131228.0	4315.0	9613.0	28344.0	10570.0	16813.0	38885.0	39873.0	112009.0	8670.0	11999.0	24715.0	13545.0	10665.0	34160.0	21204.0	13135.0	8945.0	3924.0	3395.0	12825.0	20836.0	30203.0	8610.0	14205.0	7795.0	116621.0	14737.0	7304.0	18205.0	13780.0	12740.0	11456.0	49975.0	7430.0	24895.0	12036.0	12415.0	10075.0	11263.0	25147.0	3857.0	12353.0	85333.0	11368.0	56095.0	20123.0	7967.0	7209.0	18279.0	19610.0	21700.0	78134.0	23875.0	10251.0	5569.0	10481.0	5256.0	6397.0	11280.0	7295.0	20510.0	10948.0	7521.0	14902.0	5693.0	6485.0	20932.0	25957.0	115108.0	14030.0	95547.0	115839.0	13482.0	10186.0	26920.0	14125.0	17356.0	45445.0	10291.0	11486.0	11012.0	16843.0	15544.0	7291.0	13238.0	11184.0	9213.0	53534.0	56508.0	11430.0	11105.0	8327.0	1041065.0	13026.0	12380.0	14195.0	15920.0	47595.0	15125.0	10182.0	10120.0	7581.0	11280.0	8837.0	104000.0	8425.0
2025-06-11	10139.0	18084.0	21593.0	12159.0	19687.0	132633.0	4350.0	9742.0	28984.0	10673.0	17186.0	39360.0	40437.0	111951.0	8770.0	12067.0	25235.0	13540.0	10720.0	34150.0	21538.0	13505.0	8940.0	4079.0	3400.0	13155.0	20880.0	30449.0	8610.0	14105.0	7810.0	116557.0	14767.0	7364.0	18320.0	13955.0	12780.0	11635.0	50615.0	7405.0	24944.0	12106.0	12635.0	10220.0	11312.0	25492.0	3855.0	12438.0	85689.0	11463.0	56095.0	20317.0	8180.0	7199.0	18460.0	19808.0	22450.0	78362.0	24395.0	10395.0	5709.0	10886.0	5374.0	6476.0	11449.0	7265.0	20670.0	11148.0	7586.0	14967.0	5842.0	6665.0	21011.0	25927.0	115014.0	14094.0	95488.0	115642.0	13744.0	10359.0	27564.0	14163.0	17406.0	45400.0	10410.0	11530.0	11129.0	16925.0	15822.0	7264.0	13365.0	11306.0	9230.0	53539.0	56863.0	11525.0	11298.0	8456.0	1041149.0	13051.0	12430.0	14295.0	16095.0	47783.0	15447.0	10226.0	10217.0	7626.0	11377.0	8871.0	104005.0	8555.0
2025-06-12	10134.0	18113.0	21172.0	12154.0	19911.0	130667.0	4520.0	10070.0	29123.0	10663.0	17366.0	39645.0	40507.0	111971.0	8750.0	12004.0	24630.0	13575.0	10735.0	33805.0	21189.0	13555.0	9195.0	3989.0	3470.0	13170.0	20831.0	30036.0	8610.0	14670.0	7770.0	116602.0	14937.0	7340.0	18250.0	13985.0	12645.0	11518.0	50705.0	7450.0	24855.0	12031.0	12845.0	10340.0	11253.0	25098.0	3872.0	12289.0	85304.0	11403.0	56105.0	20036.0	7938.0	7392.0	18206.0	19526.0	22810.0	78091.0	24108.0	10300.0	5649.0	10876.0	5296.0	6446.0	11304.0	7300.0	20700.0	11028.0	7466.0	14882.0	5792.0	6590.0	20897.0	25827.0	115098.0	13977.0	95864.0	115735.0	13916.0	10224.0	27181.0	14125.0	17351.0	47160.0	10380.0	11433.0	11037.0	16619.0	15583.0	7310.0	13163.0	11165.0	9225.0	53554.0	56283.0	11415.0	11148.0	8346.0	1041370.0	13017.0	12400.0	14220.0	15940.0	47580.0	15189.0	10148.0	10103.0	7581.0	11211.0	8828.0	104025.0	8524.0
2025-06-13	10095.0	17703.0	20985.0	12076.0	20244.0	130035.0	4480.0	10138.0	28464.0	10550.0	16977.0	38305.0	40178.0	111985.0	8765.0	11808.0	24390.0	13565.0	10555.0	33750.0	21155.0	14355.0	9230.0	3859.0	3435.0	12790.0	20541.0	30125.0	8500.0	15825.0	7677.0	116612.0	14952.0	7340.0	18165.0	13860.0	12376.0	11533.0	50250.0	7570.0	24607.0	12191.0	12490.0	10075.0	11411.0	24969.0	3827.0	12383.0	86926.0	11301.0	56115.0	20011.0	7778.0	7353.0	18167.0	19433.0	22500.0	78768.0	23940.0	10058.0	5504.0	10721.0	5276.0	6437.0	11425.0	7380.0	21225.0	10844.0	7471.0	14673.0	5777.0	6475.0	20737.0	25373.0	115108.0	13962.0	96335.0	115642.0	13836.0	10314.0	27211.0	13980.0	17124.0	49060.0	10390.0	11433.0	10987.0	16699.0	15362.0	7411.0	12917.0	11266.0	9225.0	53559.0	56743.0	11480.0	11251.0	8424.0	1041452.0	13081.0	12415.0	14166.0	15801.0	48662.0	15125.0	10268.0	10190.0	7678.0	11202.0	8979.0	104035.0	8443.0
2025-06-16	10334.0	17923.0	21114.0	12595.0	20159.0	130608.0	4685.0	10659.0	29431.0	10633.0	17027.0	38400.0	41804.0	111990.0	9070.0	11959.0	24515.0	13520.0	10650.0	33610.0	21339.0	14050.0	9510.0	3899.0	3435.0	12885.0	20576.0	30051.0	8470.0	15850.0	7795.0	116695.0	15172.0	7280.0	17970.0	14090.0	12510.0	11481.0	51195.0	7435.0	24805.0	12056.0	12315.0	9875.0	11282.0	24921.0	3799.0	12353.0	85313.0	11373.0	56115.0	20063.0	7818.0	7189.0	18231.0	19521.0	23545.0	78314.0	23905.0	10097.0	5489.0	10891.0	5291.0	6534.0	11405.0	7315.0	21070.0	10859.0	7426.0	14787.0	5772.0	6415.0	21081.0	25947.0	115049.0	13987.0	95602.0	115657.0	14288.0	10284.0	27742.0	14105.0	17278.0	51250.0	10400.0	11394.0	11124.0	16528.0	15476.0	7291.0	13026.0	11201.0	9203.0	53559.0	56493.0	11445.0	11226.0	8438.0	1041532.0	13066.0	12487.0	14235.0	15816.0	47562.0	15239.0	10167.0	10120.0	7595.0	11258.0	8828.0	104035.0	8581.0
2025-06-17	10291.0	18026.0	20965.0	12634.0	20000.0	131466.0	4620.0	10787.0	29601.0	10584.0	17142.0	38225.0	41535.0	111980.0	8920.0	11865.0	24230.0	13525.0	10655.0	33755.0	21135.0	13865.0	9395.0	3879.0	3445.0	12815.0	20910.0	30198.0	8465.0	15575.0	7770.0	116626.0	15207.0	7263.0	18215.0	14150.0	12495.0	11441.0	51340.0	7405.0	24910.0	12056.0	12280.0	9910.0	11277.0	25033.0	3799.0	12349.0	85086.0	11335.0	56115.0	20113.0	7818.0	6970.0	18283.0	19644.0	23145.0	78657.0	24301.0	10157.0	5504.0	10936.0	5340.0	6471.0	11342.0	7285.0	20940.0	10968.0	7346.0	15052.0	5902.0	6480.0	21311.0	26617.0	115039.0	13991.0	95740.0	115779.0	14254.0	10261.0	27598.0	14139.0	17406.0	51870.0	10395.0	11370.0	11042.0	16552.0	15495.0	7264.0	12982.0	11211.0	9213.0	53563.0	56403.0	11440.0	11187.0	8410.0	1041614.0	13081.0	12341.0	14305.0	15886.0	47384.0	15184.0	10182.0	10129.0	7576.0	11314.0	8804.0	104045.0	8597.0
2025-06-18	10223.0	18265.0	20931.0	12767.0	19975.0	131595.0	4560.0	10827.0	29749.0	10608.0	17326.0	38190.0	41844.0	111889.0	9710.0	11930.0	24145.0	13565.0	10695.0	33725.0	20961.0	14010.0	9390.0	3929.0	3510.0	12850.0	21100.0	30169.0	8485.0	16085.0	7839.0	116641.0	15157.0	7258.0	18175.0	14265.0	12471.0	11523.0	51755.0	7450.0	24875.0	12141.0	12550.0	9990.0	11361.0	24979.0	3799.0	12398.0	86031.0	11344.0	56120.0	20173.0	7778.0	6995.0	18332.0	19669.0	22950.0	78575.0	24415.0	10142.0	5494.0	11075.0	5315.0	6300.0	11371.0	7300.0	21050.0	10859.0	7446.0	15226.0	5703.0	6485.0	21431.0	26697.0	115123.0	14001.0	95877.0	115612.0	14304.0	10266.0	27628.0	14095.0	17332.0	51780.0	10315.0	11404.0	10997.0	16679.0	15456.0	7315.0	12997.0	11271.0	9213.0	53563.0	56763.0	11490.0	11201.0	8415.0	1041695.0	13086.0	12380.0	14360.0	16025.0	47955.0	15214.0	10259.0	10181.0	7661.0	11361.0	8904.0	104060.0	8671.0
2025-06-19	10204.0	18197.0	20601.0	12634.0	19751.0	131605.0	4575.0	10876.0	29719.0	10565.0	17211.0	38245.0	41949.0	111990.0	9995.0	11897.0	24230.0	13345.0	10565.0	33800.0	21140.0	14055.0	9425.0	3929.0	3585.0	12895.0	21170.0	30266.0	8411.0	16335.0	7820.0	116715.0	15082.0	7249.0	18230.0	14290.0	12461.0	11504.0	51855.0	7465.0	24667.0	12230.0	12565.0	10025.0	11460.0	24969.0	3804.0	12502.0	86655.0	11349.0	56130.0	20198.0	7647.0	6876.0	18352.0	19669.0	23245.0	78410.0	24450.0	10147.0	5459.0	11110.0	5286.0	6313.0	11367.0	7375.0	20960.0	10924.0	7426.0	15271.0	5747.0	6505.0	21890.0	27926.0	115098.0	14030.0	95784.0	115677.0	14339.0	10256.0	27648.0	14010.0	17204.0	53100.0	10261.0	11471.0	10972.0	16709.0	15471.0	7320.0	13021.0	11350.0	9186.0	53578.0	57222.0	11585.0	11196.0	8428.0	1041919.0	13126.0	12435.0	14340.0	16050.0	48411.0	15174.0	10354.0	10265.0	7747.0	11396.0	8984.0	104080.0	8685.0
