	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2026-05-04	15518.0	32530.0	23227.0	29454.0	26065.0	179796.0	9800.0	20286.0	124171.0	13538.0	27805.0	46550.0	92390.0	106320.0	9250.0	13399.0	40965.0	15575.0	14480.0	43570.0	30915.0	19880.0	16605.0	3995.0	3390.0	20580.0	31450.0	38878.0	6435.0	26440.0	10168.0	112105.0	20545.0	7448.0	27400.0	38070.0	16040.0	16698.0	138000.0	7475.0	30805.0	13195.0	27780.0	22260.0	12350.0	29675.0	4430.0	13685.0	96124.0	12341.0	57440.0	26275.0	7993.0	8560.0	23841.0	26863.0	61110.0	61120.0	51314.0	18460.0	14205.0	42175.0	8980.0	11641.0	14944.0	5870.0	30255.0	13515.0	13985.0	12125.0	11348.0	12775.0	32965.0	49145.0	113415.0	17782.0	98059.0	114830.0	31663.0	13474.0	71852.0	16785.0	21679.0	81560.0	12447.0	12901.0	12821.0	18545.0	18652.0	7368.0	12413.0	12462.0	9453.0	54905.0	62745.0	12725.0	14734.0	10868.0	1066301.0	14975.0	15671.0	20505.0	19781.0	52316.0	21300.0	11481.0	11518.0	8769.0	15699.0	9746.0	106470.0	20522.0
2026-05-06	15478.0	32625.0	23019.0	33271.0	26435.0	181573.0	10080.0	20315.0	134118.0	13288.0	27935.0	45955.0	96450.0	106225.0	9180.0	13429.0	41840.0	15650.0	14905.0	43290.0	31345.0	19865.0	16975.0	3925.0	3330.0	20660.0	31380.0	38723.0	6540.0	26190.0	9870.0	112105.0	20760.0	7364.0	27535.0	40985.0	16240.0	16593.0	148295.0	7495.0	31190.0	13115.0	28310.0	22790.0	12285.0	29460.0	4244.0	13630.0	95917.0	12296.0	57440.0	26220.0	7889.0	8410.0	23817.0	27128.0	61465.0	60645.0	52798.0	18520.0	14260.0	45470.0	9025.0	11537.0	14834.0	5780.0	30110.0	13830.0	14595.0	12365.0	11518.0	12850.0	33000.0	50925.0	113310.0	17877.0	98133.0	114880.0	33901.0	13350.0	74548.0	16910.0	22009.0	80810.0	12422.0	12801.0	12776.0	18280.0	18498.0	7388.0	12214.0	12383.0	9429.0	54905.0	62415.0	12640.0	14576.0	10746.0	1066384.0	14970.0	15442.0	21370.0	19462.0	52146.0	21225.0	11394.0	11428.0	8687.0	15527.0	9711.0	106480.0	21848.0
2026-05-07	15645.0	33445.0	23311.0	31863.0	26730.0	183820.0	10770.0	20812.0	136145.0	13288.0	28605.0	45650.0	95895.0	106575.0	9100.0	13623.0	42825.0	15975.0	15220.0	44295.0	31750.0	19145.0	16430.0	3885.0	3410.0	20445.0	31995.0	39430.0	6590.0	24860.0	9889.0	112310.0	20815.0	7335.0	27910.0	41845.0	16485.0	16693.0	151450.0	7525.0	31690.0	13155.0	28500.0	22700.0	12300.0	29605.0	4371.0	13620.0	96238.0	12390.0	57455.0	26485.0	8113.0	8510.0	24070.0	27476.0	60425.0	61025.0	54241.0	18950.0	14395.0	46165.0	9085.0	11731.0	14770.0	5710.0	30845.0	14000.0	14720.0	12500.0	11548.0	12720.0	33275.0	51185.0	113720.0	18075.0	98366.0	115110.0	33946.0	13320.0	77752.0	17115.0	22308.0	75600.0	12382.0	12781.0	12706.0	18325.0	18677.0	7428.0	12348.0	12378.0	9438.0	54920.0	62345.0	12635.0	14512.0	10687.0	1066633.0	15040.0	15179.0	21340.0	19646.0	52321.0	21530.0	11379.0	11438.0	8715.0	15709.0	9736.0	106510.0	22274.0
2026-05-08	15581.0	35359.0	23508.0	31268.0	26820.0	186671.0	10600.0	20087.0	135811.0	13468.0	30360.0	45600.0	96810.0	106480.0	9385.0	13523.0	42385.0	15785.0	15155.0	43850.0	31660.0	18970.0	16535.0	3980.0	3380.0	20510.0	32180.0	39893.0	6750.0	24715.0	10218.0	112125.0	20375.0	7315.0	28775.0	41845.0	16270.0	16807.0	151565.0	7500.0	31830.0	13255.0	28020.0	22410.0	12420.0	30208.0	4430.0	13760.0	96802.0	12350.0	57460.0	26754.0	8123.0	8485.0	24324.0	27890.0	59580.0	60865.0	54760.0	19065.0	14430.0	46375.0	9160.0	11552.0	14864.0	5705.0	31150.0	14250.0	14595.0	13460.0	11248.0	12755.0	33200.0	50535.0	113620.0	18110.0	98187.0	115055.0	34249.0	13390.0	78860.0	17085.0	22383.0	73380.0	12312.0	12931.0	12826.0	18525.0	18912.0	7393.0	12458.0	12505.0	9434.0	54930.0	63045.0	12780.0	14586.0	10786.0	1066718.0	15140.0	15179.0	21679.0	19891.0	52688.0	21780.0	11511.0	11543.0	8700.0	15986.0	9806.0	106525.0	22356.0
2026-05-11	15408.0	37034.0	23622.0	30986.0	26465.0	190360.0	10520.0	20142.0	143555.0	13268.0	31940.0	44710.0	98010.0	106170.0	9345.0	13498.0	42385.0	15810.0	15335.0	43955.0	31595.0	19090.0	16270.0	4010.0	3250.0	20460.0	32190.0	39764.0	6510.0	26125.0	10078.0	112025.0	20610.0	7212.0	28970.0	44045.0	16265.0	17129.0	159525.0	7485.0	32410.0	13280.0	27440.0	21960.0	12420.0	30123.0	4338.0	13800.0	97085.0	12301.0	57470.0	26914.0	8213.0	8555.0	24468.0	28449.0	58500.0	60500.0	57078.0	19535.0	14450.0	49400.0	9280.0	11706.0	14889.0	5600.0	30615.0	14530.0	15320.0	13820.0	11483.0	12875.0	33770.0	52315.0	113380.0	18140.0	98049.0	114970.0	35327.0	13410.0	82653.0	17160.0	22783.0	74250.0	12337.0	12951.0	12716.0	18335.0	18937.0	7378.0	12264.0	12540.0	9419.0	54935.0	63185.0	12800.0	14635.0	10796.0	1066797.0	15120.0	15089.0	22314.0	19881.0	52768.0	21740.0	11541.0	11572.0	8794.0	15991.0	9806.0	106525.0	23432.0
2026-05-12	15126.0	36269.0	23795.0	29102.0	26635.0	191928.0	10000.0	19596.0	143091.0	13263.0	31315.0	45155.0	95650.0	105380.0	9125.0	13558.0	42555.0	15690.0	15155.0	44750.0	31820.0	19675.0	15825.0	3985.0	3170.0	19955.0	31920.0	40177.0	6360.0	26015.0	9954.0	111435.0	20945.0	7197.0	29390.0	43185.0	16305.0	17288.0	155765.0	7450.0	32270.0	13385.0	25675.0	20515.0	12530.0	29934.0	4229.0	13920.0	97811.0	12311.0	57470.0	27213.0	8213.0	8680.0	24727.0	28678.0	56940.0	59005.0	57682.0	19870.0	14565.0	47605.0	9435.0	12148.0	15063.0	5615.0	31035.0	14825.0	15435.0	13710.0	11883.0	12820.0	34110.0	54095.0	113105.0	18169.0	98004.0	114820.0	34342.0	13574.0	82224.0	17165.0	22738.0	72475.0	12357.0	12911.0	12741.0	18445.0	18942.0	7348.0	12124.0	12685.0	9409.0	54940.0	63900.0	12935.0	14794.0	10918.0	1066880.0	15175.0	15323.0	22763.0	19781.0	53031.0	21790.0	11659.0	11675.0	8841.0	16005.0	9874.0	106530.0	23164.0
2026-05-13	14874.0	39251.0	23800.0	28715.0	26700.0	192592.0	9800.0	19328.0	148609.0	13089.0	34020.0	44165.0	97500.0	105440.0	9220.0	13573.0	43145.0	15810.0	15080.0	44920.0	32600.0	19720.0	15740.0	3885.0	3165.0	19930.0	32165.0	40426.0	6305.0	26255.0	9671.0	111615.0	21235.0	7177.0	29710.0	44305.0	16240.0	17486.0	160410.0	7400.0	32395.0	13385.0	25300.0	20200.0	12550.0	30098.0	4156.0	13965.0	97663.0	12380.0	57470.0	27343.0	8238.0	8600.0	24866.0	28787.0	56165.0	58880.0	57947.0	19935.0	14540.0	49910.0	9700.0	12108.0	15132.0	5580.0	31220.0	14630.0	15955.0	13695.0	11833.0	12885.0	34410.0	54410.0	112915.0	18249.0	97827.0	114905.0	34999.0	13618.0	84335.0	17224.0	22803.0	71890.0	12377.0	13159.0	13085.0	18734.0	18902.0	7339.0	12090.0	12690.0	9404.0	54945.0	63965.0	12965.0	14874.0	10898.0	1066960.0	15210.0	15477.0	22663.0	20005.0	52931.0	22000.0	11664.0	11690.0	8826.0	16212.0	9860.0	106550.0	23601.0
2026-05-14	15231.0	39525.0	23859.0	28883.0	26590.0	194639.0	10180.0	18842.0	149787.0	13518.0	34395.0	45690.0	98470.0	105205.0	9650.0	13553.0	43560.0	15800.0	15205.0	44670.0	32750.0	19830.0	15740.0	4060.0	3375.0	20295.0	32450.0	40520.0	6295.0	26300.0	10322.0	111445.0	21285.0	7093.0	29945.0	45140.0	16210.0	17382.0	163450.0	7405.0	32735.0	13400.0	25715.0	20605.0	12550.0	29974.0	4244.0	13970.0	97722.0	12256.0	57490.0	27527.0	8317.0	8420.0	25025.0	29092.0	57605.0	58605.0	58561.0	20000.0	14540.0	50065.0	9675.0	12615.0	15172.0	5535.0	31040.0	14865.0	15905.0	13820.0	12493.0	12760.0	34710.0	55010.0	112875.0	18284.0	97876.0	114870.0	35366.0	13673.0	85977.0	17334.0	23032.0	72700.0	12402.0	13214.0	13170.0	18569.0	19012.0	7314.0	12169.0	12705.0	9404.0	54960.0	63985.0	12960.0	14903.0	10927.0	1067204.0	15220.0	15392.0	22973.0	20140.0	52803.0	22320.0	11669.0	11710.0	8826.0	16418.0	9835.0	106570.0	23800.0
2026-05-15	14816.0	38605.0	23538.0	27758.0	25920.0	194020.0	9395.0	17944.0	144205.0	13218.0	33500.0	44095.0	93650.0	104160.0	9350.0	13518.0	42695.0	15600.0	14765.0	44850.0	32245.0	20335.0	14890.0	3840.0	3270.0	19285.0	32570.0	40700.0	6320.0	26920.0	10019.0	110635.0	20935.0	7069.0	29875.0	42310.0	16120.0	17070.0	153520.0	7345.0	32365.0	13430.0	24350.0	19525.0	12575.0	30118.0	4196.0	14090.0	97995.0	12054.0	57495.0	27697.0	8053.0	8280.0	25144.0	28987.0	52410.0	56705.0	57637.0	19810.0	14175.0	46300.0	9335.0	12630.0	15272.0	5590.0	30495.0	14860.0	15240.0	13900.0	12068.0	12395.0	34600.0	53445.0	112120.0	18169.0	97599.0	114465.0	33652.0	13772.0	83192.0	17294.0	22788.0	68875.0	12392.0	13199.0	13150.0	18619.0	18957.0	7256.0	12279.0	12769.0	9395.0	54965.0	64425.0	13040.0	15013.0	10946.0	1067287.0	15165.0	15308.0	23038.0	20115.0	52788.0	22240.0	11702.0	11763.0	8826.0	16458.0	9830.0	106570.0	22538.0
2026-05-18	14637.0	36661.0	23261.0	27307.0	25705.0	191748.0	9210.0	17706.0	142137.0	12834.0	31995.0	42260.0	93690.0	103965.0	9055.0	13330.0	41460.0	15370.0	14630.0	43895.0	31450.0	20870.0	14835.0	3720.0	3150.0	18860.0	32185.0	40127.0	6075.0	28010.0	9715.0	110400.0	20480.0	7054.0	29270.0	42565.0	15790.0	16931.0	154190.0	7290.0	32040.0	13360.0	24150.0	19270.0	12505.0	29774.0	4151.0	14055.0	96990.0	11900.0	57495.0	27293.0	7899.0	8115.0	24811.0	28653.0	52820.0	55910.0	56304.0	19450.0	13835.0	45615.0	9520.0	12347.0	15162.0	5665.0	30295.0	14285.0	15410.0	14330.0	11888.0	12155.0	34045.0	52165.0	112300.0	17936.0	97303.0	114600.0	33598.0	13628.0	82154.0	17095.0	22543.0	68990.0	12327.0	13179.0	12985.0	18535.0	18657.0	7191.0	12119.0	12754.0	9365.0	54970.0	64355.0	13040.0	14918.0	10931.0	1067372.0	15050.0	15064.0	22703.0	19956.0	52231.0	21945.0	11654.0	11695.0	8749.0	16408.0	9731.0	106580.0	22596.0
