	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-07-31	5797.951410084239	20376.012086436334	17156.699426199488	6779.554266878281	12280.929923086314	74865.97607129776	3198.4260774020267	3662.7673055792943	36584.92516176291	11334.122939811989	16981.97643755341	42970.98058845074	23578.097179831522	109628.26797704797	18831.49566597485	12574.776217800025	31509.684409717982	12234.276400927847	12273.94652667562	20897.48382370895	21403.98217555854	6712.411183005738	7007.798437309242	3665.262483213283	5156.005005493835	14647.999023318276	20915.802344036136	18833.135270418752	7763.068489805884	11003.516664631914	8969.082285435234	108081.78134537907	13346.24795507264	7581.573556342327	17625.52435600049	13970.088511781223	14380.41972897082	12809.915883286534	50820.12330606764	12668.235868636308	18793.905383958	11917.452569893785	20063.660358930534	20655.960444390184	11634.952508851178	16812.731290440726	4142.4186302038825	9294.272860456598	97222.15639116103	12398.492003418385	50310.54352337932	11960.965083628373	8473.615065315591	12007.50054938347	10797.11207422781	11128.73043584422	10613.521181784887	91807.21084116714	9789.124893175436	10385.708414872799	10662.796477495107																																																			
2021-08-31	5857.530299167005	19849.462016080764	16928.63937457637	6897.164772304833	12214.846834145477	78809.20794175025	3078.128619390198	3397.4817122149097	34990.458012929215	11676.956723291774	16461.088769871163	45849.103931585276	22939.452453145608	109430.37762081329	18103.334026530636	12652.117133515196	32942.04028838122	12419.314300679678	12303.846345877731	21361.430183668355	22627.70228249147	6644.37308187622	6979.3575676894025	3453.6002689536313	5317.772284996391	14998.339518090148	21407.165373736538	19581.060891259465	8149.731946523519	10435.949930404367	8794.657140760895	108180.91672458337	13043.920111756825	7789.900538253301	18429.79732781531	13605.5548262806	14682.393619755074	12989.318051785365	49544.428701385295	12693.86101161909	19555.944440364077	12017.513667805091	20118.88467820506	21177.399951946303	11698.631639461652	17375.770960235604	4154.615446291026	9410.700979846511	97885.79880153532	12576.197432762954	50340.87070109712	12437.030133735274	8212.2679970661	11182.793527316988	11252.092257102782	11715.843135739377	11003.118231567736	91339.62541873635	10470.243230918903	10670.3900734255	11217.415081443653	8678.049287392803	10478.417554246651																																																	
2021-09-30	5969.601851521109	18849.719593929323	16717.24983718753	6543.389698342843	11693.588386243504	77159.92685357656	3172.948950059165	3258.3531770357363	33690.21729747394	11042.156953729102	15819.295551469364	42195.4933473662	23904.321013359935	106880.90778613591	15831.390175502827	12310.32670806338	32927.118162232	12094.071625355342	12021.452979748432	20825.75843130147	22082.18856373269	7317.071818109668	6637.587889399658	3156.0313179021246	5638.841928047724	14769.171015433347	21907.95849259448	19355.620529290947	8380.428000892538	11394.01141347872	8227.957948030742	106843.3340719542	13063.109481659149	7656.77085857494	18458.091783136995	13209.86106024709	14620.369631564368	13362.125422130684	47980.548743112	12327.611444208169	18829.640825165636	12035.921507861458	23466.531287927017	23303.523819732578	11712.289481414107	17136.398963491367	4220.008431654828	9565.405730630837	97766.82008514176	12160.483728785386	50369.113988629724	12332.358209667462	7985.729113136286	11588.744262301498	11141.410072502627	11464.984893499633	12281.535436855758	85682.61877179226	10272.144157873596	10522.289200573106	10911.469593839802	8368.41998298614	10332.552061868864																																																	
2021-10-31	6064.17554588671	19212.781255187212	17163.121080875084	6619.653925685307	12092.569291283391	79672.30998025293	3010.5424517611505	3371.199063021044	33033.58707850894	10304.209671319873	16095.082876769164	37397.20176600141	22621.314020769147	104499.16125661429	16812.586024074888	13007.396420148292	31955.857481228184	12350.226032393693	12201.442122369728	21245.69859649359	21206.22289312089	7941.573862212788	5947.157309699802	3144.1884441973075	5363.4121357763825	14510.83255800441	22747.99783698748	19771.512938729342	9266.874459129336	12673.954990408733	8045.28510276403	105187.10423533263	13911.52008840462	7768.23265604183	18630.738474067275	12880.726136896248	14820.199391116394	13507.951195002406	46788.394061181534	12441.411404822244	19637.240025788928	11814.568321078315	22508.822056830002	22359.362763450277	11456.62159784218	17252.73897056382	4326.483648316253	9444.56979828974	97409.5712086107	12909.714295356232	50405.55087683485	12663.229601589603	8275.547707994676	10901.639810074354	11440.475355930466	11834.177726716793	11647.261965819238	80257.94079135661	10420.984997070613	11067.50820024338	11940.580542506397	8258.447060432403	11039.527884582638	10170.83464566929	8502.787401574804																																															
2021-11-30	5722.547197860609	17479.714630551636	16281.012223749418	6246.331413424951	12076.090754167864	84674.98479731321	2786.7956341606264	2909.4330938337	33791.36458387067	9813.059128334444	14428.21908738205	36056.13867645306	21201.84021790362	106875.12076643974	16827.719862123973	13203.247840022188	30557.17554470479	11897.569182688243	11697.394741402179	21601.353531050347	20908.934620433545	7716.517845767465	5353.2400980370785	2663.953418299781	4296.164922335657	14678.320107896938	23545.177211999377	20018.308481100306	9244.647565334906	11109.730759609934	7405.338645287777	106386.703516985	13497.02590740206	7699.56001835648	19219.407882866493	12471.411607438597	14598.153225707862	13559.100018012809	45345.5494101987	12707.661593296863	20533.702204284673	12118.193667785721	23759.435786443246	23129.426706400576	11719.530248790168	17325.964189705603	4258.93647682277	9613.583007233094	97475.03431786805	12845.214936188291	50456.91285051128	13073.497001941108	7909.231875788619	11119.044667158081	11806.58783089527	12567.025692982132	11627.044225516787	84387.85026477356	12070.983705278635	11737.48303020196	12566.28640689386	8885.835285770192	10508.260733253452	9942.112985145512	8642.563765258647																																															
2021-12-31	5953.556504141616	18851.871291092546	15589.307464364105	6745.44436701093	12112.036394379318	85454.49110769863	2852.1490573395813	3042.7431977827773	36060.6271119987	9982.140934481413	15692.13832359769	36719.38544896571	22480.15463825231	107321.57688024538	16584.78824728009	13824.126445590935	29648.1984084071	12356.88255323629	11707.97688541287	21902.8868511566	20581.28803084722	7796.4825955671895	5875.964907941841	2750.603932607989	4632.2843375599205	15224.191937284495	23061.89918474608	20584.569812132948	9185.652837192432	11848.03497308034	7645.836992821371	106726.78819720828	14101.662157780149	7927.579113616948	19834.054825164767	13114.356172421361	14498.778141773517	13806.588770413404	47656.42388714538	12569.88399807491	20741.495410371354	12091.486765430847	22879.22513638396	21905.80838475864	11710.047176249087	17833.13079237084	4346.826929077262	9594.604735036613	99315.79241801126	13609.490256599172	50504.3957359583	13485.321215271235	7145.319247539491	9843.550935517469	12180.525270363767	12701.610370642113	11664.080379735047	84323.83889623887	12309.354382987905	11595.40162622524	11383.622902223207	10006.61304922945	10121.50584680098	8912.137945678945	9032.065105334226	9863.342565041581	10106.68376068376																																													
2022-01-31	5963.340384060387	16813.956210967342	16167.831394488778	6159.040028995863	12167.395297085184	74372.02969788657	2563.158579968507	2678.3054015571574	32632.056254984964	8721.589240208563	14326.13268960793	29803.0608142714	21007.82357707466	104282.65871961295	13353.61389616799	12635.549211622663	23251.41637153474	11589.66855991607	11419.540784813771	21034.134414564945	17533.617971694977	9258.488837702365	5317.2401141785695	2427.2533212699245	4170.665004047716	12514.456759635865	23294.03285493773	19205.39231259328	9331.873372700536	13562.125618967984	7064.660171353333	105125.07724646396	14754.06578508583	7683.137098864663	17187.1551838444	11876.413182598279	12692.770287302152	13204.32562788846	43176.85475485219	12105.345306285857	17813.268616195117	11915.950528609052	19147.298896050583	18715.37405186499	11588.329474494149	17042.86087525443	4184.897642924241	9702.987358669981	95335.27826384775	12305.35648869539	50549.39649524282	12423.78373272058	7121.522498435256	8543.250251341758	11224.170830273886	11045.965460405703	9393.732188301448	79305.49546989336	10555.23666511	10542.07156315005	10371.669109938528	9155.702931035088	9515.047791963432	7643.752502572961	8763.890578332048	11389.32269417367	10269.455272410869		9566.457142857143																																											
2022-02-28	6237.014249192749	16206.556072068066	15586.981238675668	6405.8640252686655	12843.10757597083	72275.14022457007	2748.4829107611845	2977.1306469169676	32154.474529480955	9080.536356312714	14035.658558398016	29940.11044334722	21700.571360868747	103846.54041541566	12997.89594121512	12484.669531056257	23412.666097321973	11193.705187486878	11165.922525561466	20261.612354791316	17226.766626808057	9575.110944705344	5798.610432587106	2875.7911653645374	4737.217394504562	12426.730546786344	23327.43673337118	18976.746064728977	9615.468638890734	15210.37854051826	7489.013327255903	104771.1253779497	15425.904850257053	7463.707516239543	16570.86211072992	11975.633779194575	12801.478682595396	13032.444989492904	43610.17479650404	11823.678227788187	17363.28903300711	11811.584842493166	18420.537995524963	17888.386300560196	11496.147954290293	16880.345725482464	4329.209045019695	9671.56172938293	90273.89857970529	12078.367200303988	50606.1054817066	12205.610442290239	6717.570730295175	8458.836945534711	11021.174168284722	10743.910907613603	9838.327208451035	77150.34303854167	10441.755024859105	10286.102813993695	10168.261183430137	8927.46693688557	9859.147461119812	7901.31321240426	8614.66678196174	11525.875241556907	10677.183244534577	10004.364613880743	9383.27174534767	10280.451612903225																																										
2022-03-31	6425.646532065511	16188.950554159199	14702.741298189754	6497.184974128735	12946.835454038417	79942.19816882144	2979.2199203886557	3049.623121323894	32214.617096650378	9373.580640094926	14051.496311501769	31723.358406119558	23351.61367729729	101789.64008500119	13921.84207577512	13510.689467272536	24297.896162350702	11574.100916245074	10865.413566075575	22125.35575466745	18640.15261495906	10862.662248664354	6183.5373085071715	2749.0593875842883	4972.832839592645	13201.284973492882	23122.28387519681	20390.08335578254	10237.927516207046	17198.26298254897	7268.056852347053	103412.04792553204	16958.749543621467	7856.22328744293	17052.693789416364	12139.975018803492	13623.964533080427	12094.307157728666	44170.82844504109	11196.150054301372	18984.321375507847	11529.00319937937	19737.667876976964	19103.174368565702	11223.750680517174	17964.51429049765	4487.444607357524	9779.065226345887	88505.60415310791	13015.607573207475	50662.18066220545	13295.843194298955	6019.6755860189105	8315.511181753609	12013.310771071514	11881.453162627653	10648.24039808617	73580.6440812793	11245.508405091774	10888.861764956862	10508.317925577729	9183.169761403531	9482.432725976687	9198.929013878447	9183.172827561752	10478.883803308125	10922.467788306829	10304.718458966221	8438.319519649383	11444.961319848318	10453.003921568628	9729.56862745098																																								
2022-04-30	6275.655482123629	16845.135571933057	14159.659405108117	6224.161205856788	12765.233726423003	73354.08207569036	2889.6532274341203	3147.6806920161825	30823.04039936881	9501.414077558822	14481.417213199764	30473.599011115268	23346.868086630668	99809.64315969471	12085.170152112043	13481.498099655852	21306.104990432817	10669.542844343621	10058.26151152304	21507.23883168972	17892.779082371053	11206.263233500598	6119.610830563215	2933.223042039579	4750.887592712803	12538.091128962027	22462.048909799516	19562.150941888503	10987.926075900801	17110.691773063176	7570.9621739658605	101928.61231615444	16206.20351970174	7983.285571204799	15268.323215338607	11727.082381236562	12440.972366316095	11306.907046941356	42712.565815843795	10328.805516314533	16779.111908112227	11654.52282095108	20207.743782838763	19600.749624335465	11340.474394202556	17507.947651631493	4732.929836485198	10145.11261227857	84914.19241647919	12945.074145606792	50743.13717755349	12779.506333276364	5724.737472379487	7276.4301893764405	11549.699469237696	10890.971391893941	10389.317603702735	67298.26298553661	9944.521474603847	9840.948155814058	9317.466403159106	8584.164011559373	8240.578318325388	8602.038643803127	9256.335151277937	11748.177787725355	11161.143928750891	8700.823987826565	7055.585933837661	11368.6044645125	8884.20738214293	8250.442971606633																																								
