	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-08-17	5806.0	19841.0	17203.0	6696.0	12085.0	77590.0	2968.0	3344.0	35205.0	11553.0	16389.0	45253.0	22470.0	109624.0	17899.0	12548.0	31375.0	12405.0	12040.0	21580.0	22224.0	6675.0	6681.0	3447.0	4887.0	14448.0	22451.0	19597.0	8142.0	10185.0	8726.0	108268.0	13314.0	7742.0	18360.0	13490.0	14206.0	13155.0	49005.0	12680.0	19036.0	12176.0	20235.0	21358.0	11885.0	17380.0	4074.0	9514.0	97741.0	12460.0	50332.0	12450.0	8005.0	11672.0	11243.0	11532.0	10567.0	89755.0	10184.0	10627.0	10874.0	8571.0	9388.0																																																	
2021-09-17	5746.0	19585.0	16865.0	6839.0	11871.0	79598.0	3267.0	3334.0	34604.0	11361.0	16402.0	44619.0	23964.0	108209.0	16233.0	12610.0	33600.0	12495.0	12304.0	20875.0	22908.0	6805.0	6861.0	3316.0	5464.0	15325.0	21833.0	19621.0	8306.0	10990.0	8470.0	107598.0	13014.0	7734.0	19395.0	13435.0	14465.0	13201.0	48920.0	12750.0	19561.0	12101.0	22228.0	22157.0	11801.0	17220.0	4203.0	9495.0	98909.0	12566.0	50357.0	12459.0	8301.0	11767.0	11247.0	11832.0	12050.0	86884.0	10737.0	10632.0	11194.0	8834.0	10207.0																																																	
2021-10-15	5845.0	19595.0	17111.0	6523.0	12060.0	77850.0	3105.0	3296.0	32642.0	10564.0	16362.0	38335.0	23353.0	105804.0	16203.0	12657.0	32930.0	12085.0	12284.0	21105.0	21480.0	7910.0	6284.0	3211.0	5542.0	14468.0	23089.0	19686.0	9680.0	12540.0	8306.0	106233.0	13913.0	7710.0	18290.0	12890.0	14819.0	13611.0	46910.0	12385.0	18991.0	12006.0	23337.0	23244.0	11672.0	17517.0	4191.0	9546.0	96811.0	12498.0	50407.0	12464.0	8159.0	11245.0	11267.0	11557.0	12207.0	82328.0	10228.0	10791.0	11439.0	8078.0	10444.0																																																	
2021-11-17	5850.0	18513.0	17493.0	6662.0	12488.0	84180.0	2929.0	3296.0	34224.0	10193.0	15484.0	36567.0	21788.0	105925.0	17777.0	13296.0	32180.0	12405.0	12329.0	22140.0	20830.0	7970.0	5718.0	2937.0	4843.0	15200.0	23184.0	20414.0	9262.0	12290.0	7848.0	105958.0	13923.0	7835.0	19985.0	12780.0	15542.0	13526.0	46455.0	12340.0	20539.0	11897.0	24124.0	23925.0	11549.0	17824.0	4279.0	9546.0	97094.0	12800.0	50427.0	13161.0	8611.0	11384.0	11903.0	12497.0	12314.0	81665.0	11933.0	12054.0	12483.0	8613.0	10823.0	10313.0	8758.0																																															
2021-12-17	6026.0	18426.0	15766.0	6787.0	12134.0	81765.0	2933.0	3113.0	34760.0	10221.0	15360.0	37563.0	22393.0	107767.0	16609.0	13342.0	28580.0	12130.0	11650.0	21620.0	20205.0	7585.0	5912.0	2790.0	4560.0	14701.0	22700.0	20072.0	9097.0	11190.0	7771.0	106938.0	13749.0	7911.0	19125.0	13075.0	13957.0	13826.0	47575.0	12730.0	19943.0	12096.0	22552.0	22034.0	11702.0	17380.0	4288.0	9532.0	98804.0	13125.0	50497.0	13073.0	7336.0	10054.0	11811.0	12143.0	11639.0	84207.0	11683.0	11172.0	11429.0	9405.0	10320.0	8948.0	8775.0	10275.0	10060.0																																													
2022-01-17	6132.0	18066.0	16255.0	6556.0	12219.0	81034.0	2814.0	3015.0	35032.0	9140.0	15239.0	32390.0	22620.0	104470.0	14527.0	13436.0	26350.0	12300.0	11995.0	22070.0	19067.0	9075.0	5689.0	2544.0	4498.0	13696.0	23064.0	20423.0	9376.0	13135.0	7231.0	105470.0	15052.0	8016.0	18630.0	12745.0	13991.0	13473.0	46350.0	12045.0	19581.0	11827.0	22030.0	21727.0	11544.0	18015.0	4261.0	9627.0	95018.0	12979.0	50522.0	13191.0	7444.0	9577.0	11922.0	12030.0	11037.0	78823.0	12119.0	11811.0	11349.0	9785.0	9645.0	8243.0	9168.0	10410.0	10205.0		10027.0																																											
2022-02-17	6536.0	16757.0	16670.0	6457.0	12597.0	75792.0	2666.0	2752.0	33055.0	9118.0	14447.0	29794.0	21696.0	103422.0	13261.0	12646.0	24610.0	11901.0	11870.0	21070.0	17996.0	9550.0	5742.0	2853.0	4824.0	12305.0	23294.0	19787.0	9635.0	14350.0	7583.0	104534.0	15681.0	7669.0	17355.0	12285.0	13378.0	13094.0	44725.0	11605.0	18281.0	11688.0	18565.0	18306.0	11386.0	17337.0	4276.0	9637.0	89254.0	12245.0	50592.0	12680.0	7341.0	8460.0	11462.0	11296.0	9467.0	75126.0	11005.0	11023.0	10664.0	9268.0	9487.0	7959.0	8748.0	10975.0	10465.0	10585.0	9158.0																																											
2022-03-17	6190.0	15697.0	14278.0	6465.0	12975.0	74132.0	2929.0	3069.0	31813.0	9361.0	13813.0	32764.0	22493.0	103831.0	14067.0	12881.0	22975.0	11101.0	10555.0	21520.0	17941.0	9975.0	6024.0	2692.0	4974.0	13171.0	22970.0	19467.0	10322.0	15700.0	7183.0	104707.0	16036.0	7664.0	16425.0	12025.0	13199.0	12231.0	43675.0	11400.0	17612.0	11743.0	18048.0	17393.0	11426.0	17154.0	4364.0	9778.0	88534.0	12392.0	50637.0	12600.0	5927.0	7914.0	11382.0	11014.0	10122.0	74744.0	10604.0	10142.0	9960.0	9057.0	10000.0	8943.0	8933.0	11360.0	10925.0	9888.0	8764.0	10527.0																																										
2022-04-15	6243.0	16210.0	14521.0	6433.0	13224.0	75505.0	2838.0	3238.0	31310.0	9278.0	14051.0	30112.0	23535.0	99024.0	13060.0	13499.0	23705.0	11196.0	10605.0	21360.0	19049.0	11660.0	6124.0	2898.0	5012.0	12785.0	23658.0	20077.0	10367.0	17390.0	7360.0	101618.0	17669.0	8044.0	15700.0	11770.0	13054.0	12150.0	42795.0	10345.0	17572.0	11419.0	20528.0	19871.0	11119.0	17584.0	4678.0	9909.0	85061.0	12936.0	50696.0	12949.0	5661.0	7874.0	11670.0	11242.0	10695.0	65514.0	9890.0	10078.0	10060.0	8641.0	8846.0	9094.0	9159.0	11240.0	11275.0	9246.0	7536.0	11669.0	9595.0	8835.0																																								
2022-05-17	6192.0	16721.0	14365.0	5870.0	12249.0	68690.0	2752.0	2986.0	30291.0	8850.0	14384.0	28154.0	23147.0	99414.0	11343.0	11794.0	18980.0	10256.0	9661.0	20735.0	16969.0	12345.0	6234.0	2519.0	4444.0	12261.0	19903.0	18867.0	10028.0	18675.0	7074.0	101687.0	15896.0	7714.0	14640.0	11595.0	11628.0	11293.0	42135.0	9875.0	15518.0	11773.0	19942.0	19239.0	11465.0	16916.0	4553.0	10278.0	83450.0	11500.0	50766.0	12234.0	5852.0	6975.0	11048.0	10201.0	10097.0	65745.0	9768.0	9518.0	9890.0	8513.0	8762.0	8047.0	9244.0	12605.0	10900.0	8598.0	7646.0	9693.0	8300.0	9190.0	10036.0	10081.0																																						
