	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-07-31	5761.0	20199.0	17036.0	6729.0	12343.0	74506.0	3185.0	3647.0	36282.0	11230.0	16843.0	42576.0	23472.0	109654.0	18715.0	12544.0	31370.0	12255.0	12260.0	20930.0	21365.0	6710.0	6955.0	3629.0	5151.0	14513.0	21055.0	18822.0	7764.0	11060.0	8894.0	108056.0	13484.0	7580.0	17615.0	13885.0	14410.0	12754.0	50540.0	12680.0	18698.0	11927.0	20037.0	20631.0	11638.0	16761.0	4134.0	9291.0	97228.0	12353.0	50312.0	11938.0	8439.0	12005.0	10775.0	11073.0	10547.0	91900.0	9831.0	10464.0	10839.0																																																			
2021-08-31	5865.0	20053.0	16995.0	6935.0	12254.0	79254.0	3134.0	3414.0	35429.0	11775.0	16598.0	46255.0	23109.0	109498.0	18222.0	12757.0	33005.0	12475.0	12394.0	21335.0	22561.0	6655.0	7054.0	3472.0	5344.0	15095.0	21429.0	19621.0	8182.0	10515.0	8845.0	108233.0	13089.0	7822.0	18480.0	13735.0	14769.0	12950.0	50110.0	12725.0	19740.0	11987.0	20359.0	21481.0	11667.0	17376.0	4164.0	9377.0	97859.0	12674.0	50337.0	12455.0	8311.0	11096.0	11271.0	11783.0	11145.0	91627.0	10541.0	10711.0	11244.0	8739.0	10542.0																																																	
2021-09-30	6021.0	18752.0	16723.0	6545.0	11642.0	76802.0	3167.0	3258.0	33570.0	11002.0	15751.0	41710.0	23778.0	106767.0	15891.0	12327.0	32505.0	12015.0	12025.0	20880.0	21836.0	7400.0	6558.0	3138.0	5652.0	14731.0	21977.0	19329.0	8445.0	11415.0	8201.0	106765.0	13074.0	7675.0	18225.0	13180.0	14595.0	13361.0	47855.0	12285.0	18713.0	12051.0	23556.0	23515.0	11717.0	17124.0	4226.0	9589.0	97512.0	12146.0	50372.0	12325.0	7947.0	11618.0	11130.0	11409.0	12270.0	85205.0	10127.0	10474.0	10939.0	8319.0	10330.0																																																	
2021-10-31	6008.0	18993.0	17019.0	6576.0	12085.0	79802.0	2990.0	3369.0	32839.0	10148.0	15922.0	36602.0	22375.0	103794.0	16735.0	13059.0	32375.0	12375.0	12120.0	21210.0	21221.0	7945.0	5874.0	3098.0	5311.0	14403.0	22835.0	19758.0	9252.0	12665.0	7948.0	104963.0	13848.0	7763.0	18615.0	12775.0	14864.0	13514.0	46385.0	12465.0	19676.0	11802.0	22407.0	22276.0	11426.0	17220.0	4328.0	9437.0	97586.0	12962.0	50407.0	12669.0	8204.0	10828.0	11442.0	11852.0	11609.0	79586.0	10462.0	11152.0	11998.0	8251.0	11114.0	10372.0	8501.0																																															
2021-11-30	5592.0	17108.0	15983.0	6095.0	12055.0	84663.0	2729.0	2802.0	33283.0	9626.0	14108.0	35749.0	20771.0	107215.0	16619.0	13108.0	30065.0	11761.0	11585.0	21420.0	20845.0	7555.0	5245.0	2564.0	4179.0	14503.0	23433.0	19837.0	9227.0	10650.0	7235.0	106613.0	13434.0	7645.0	19010.0	12275.0	14360.0	13526.0	44645.0	12785.0	20559.0	12126.0	23432.0	22825.0	11746.0	17124.0	4210.0	9602.0	97662.0	12771.0	50457.0	12991.0	7759.0	11027.0	11727.0	12557.0	11462.0	85120.0	12069.0	11583.0	12523.0	8762.0	10493.0	9868.0	8566.0																																															
2021-12-31	5953.0	18740.0	15556.0	6729.0	12075.0	85537.0	2848.0	3050.0	36234.0	9934.0	15627.0	36642.0	22493.0	107023.0	16549.0	13890.0	29470.0	12380.0	11660.0	22000.0	20552.0	7780.0	5897.0	2742.0	4637.0	15205.0	23179.0	20628.0	9192.0	11950.0	7610.0	106627.0	14143.0	7967.0	19870.0	13080.0	14485.0	13846.0	47515.0	12470.0	20747.0	12091.0	23030.0	22009.0	11702.0	17913.0	4358.0	9598.0	99392.0	13641.0	50507.0	13522.0	7094.0	9835.0	12210.0	12720.0	11698.0	83804.0	12329.0	11588.0	11414.0	10113.0	10182.0	8884.0	9070.0	9870.0	10095.0																																													
2022-01-31	5999.0	16943.0	16054.0	6140.0	12060.0	74573.0	2590.0	2684.0	32633.0	8741.0	14447.0	29879.0	20977.0	104332.0	13246.0	12506.0	22670.0	11566.0	11350.0	21035.0	17511.0	9430.0	5343.0	2442.0	4209.0	12512.0	23513.0	19262.0	9386.0	13670.0	7113.0	105071.0	14797.0	7718.0	17120.0	11910.0	12565.0	13122.0	43300.0	12145.0	17825.0	11937.0	18693.0	18311.0	11608.0	17144.0	4184.0	9726.0	95108.0	12236.0	50557.0	12475.0	7031.0	8371.0	11271.0	11078.0	9222.0	78894.0	10452.0	10489.0	10300.0	9245.0	9482.0	7626.0	8807.0	11365.0	10235.0		9543.0																																											
2022-02-28	6212.0	16139.0	15474.0	6416.0	12811.0	72756.0	2776.0	3045.0	32258.0	9168.0	14023.0	30296.0	21870.0	103911.0	13060.0	12601.0	23620.0	11106.0	11100.0	20340.0	17317.0	9770.0	5840.0	2883.0	4752.0	12532.0	23329.0	19034.0	9655.0	15380.0	7501.0	104766.0	15556.0	7489.0	16665.0	12010.0	12830.0	13079.0	43810.0	11905.0	17463.0	11842.0	18648.0	18035.0	11529.0	17003.0	4339.0	9679.0	90470.0	12223.0	50612.0	12277.0	6671.0	8495.0	11086.0	10818.0	10057.0	77078.0	10467.0	10310.0	10290.0	8917.0	10005.0	8125.0	8719.0	11435.0	10675.0	10132.0	9508.0	10462.0																																										
2022-03-31	6452.0	16268.0	14677.0	6527.0	12935.0	80113.0	2985.0	3040.0	32434.0	9386.0	14117.0	31652.0	23444.0	101546.0	13960.0	13573.0	24150.0	11611.0	10890.0	22135.0	18676.0	11030.0	6209.0	2757.0	4988.0	13261.0	23094.0	20418.0	10217.0	16870.0	7274.0	103382.0	16980.0	7870.0	17080.0	12180.0	13593.0	12137.0	44355.0	11240.0	19041.0	11544.0	20092.0	19453.0	11233.0	17955.0	4506.0	9764.0	88502.0	13118.0	50666.0	13314.0	5986.0	8266.0	12025.0	11907.0	10783.0	73594.0	11215.0	10929.0	10599.0	9147.0	9438.0	9251.0	9205.0	10430.0	10910.0	10316.0	8455.0	11440.0	10448.0	9740.0																																								
2022-04-30	6240.0	16842.0	14561.0	6241.0	12836.0	73437.0	2911.0	3133.0	31091.0	9563.0	14484.0	30841.0	23303.0	99602.0	12105.0	13515.0	21040.0	10676.0	10195.0	21585.0	17620.0	11405.0	6158.0	2972.0	4778.0	12657.0	22616.0	19582.0	11053.0	17505.0	7610.0	101850.0	16356.0	7994.0	15190.0	11820.0	12466.0	11410.0	43110.0	10310.0	16858.0	11613.0	20305.0	19695.0	11292.0	17560.0	4749.0	10117.0	84696.0	12925.0	50751.0	12789.0	6001.0	7402.0	11562.0	10903.0	10455.0	66891.0	10055.0	9884.0	9406.0	8643.0	8338.0	8565.0	9249.0	11695.0	11185.0	8768.0	7187.0	11315.0	8882.0	8445.0																																								
2022-05-31	6359.0	17144.0	14691.0	6113.0	12383.0	68741.0	2776.0	3055.0	30187.0	9241.0	14761.0	30158.0	23307.0	99182.0	11858.0	12072.0	19435.0	10876.0	10135.0	20605.0	17227.0	13135.0	6513.0	2599.0	4593.0	12711.0	20556.0	18970.0	10083.0	19955.0	7164.0	101855.0	17284.0	7668.0	15125.0	11890.0	12251.0	11382.0	42960.0	10015.0	15994.0	11444.0	20992.0	20051.0	11159.0	16871.0	4659.0	9976.0	84281.0	12043.0	50806.0	12272.0	6006.0	6891.0	11101.0	10226.0	10863.0	67719.0	10055.0	9979.0	10475.0	8381.0	9186.0	8888.0	9259.0	12200.0	10715.0	8837.0	7706.0	10028.0	9268.0	9420.0	10076.0	10131.0	95839.0																																					
2022-06-30	5116.0	15625.0	16179.0	5139.0	12124.0	65390.0	2410.0	3040.0	25851.0	8782.0	13436.0	28194.0	20269.0	96746.0	9791.0	11009.0	21200.0	9786.0	9516.0	19645.0	17747.0	11115.0	5821.0	2127.0	3761.0	10616.0	20372.0	18062.0	9963.0	18725.0	6571.0	99520.0	14692.0	7200.0	13805.0	10280.0	10990.0	13177.0	37355.0	9730.0	14382.0	11842.0	17649.0	17238.0	11549.0	16170.0	4158.0	10471.0	83896.0	10949.0	50881.0	11709.0	6808.0	8405.0	10596.0	9705.0	10161.0	61691.0	8774.0	9028.0	10580.0	6875.0	10552.0	8781.0	8810.0	13385.0	10980.0	9768.0	8729.0	9813.0	8792.0	12150.0	9462.0	9416.0	96849.0	9455.0																																				
2022-07-31	5052.0	17005.0	14730.0	5371.0	11761.0	73194.0	2415.0	2922.0	27553.0	9130.0	14321.0	30452.0	20388.0	101139.0	10384.0	12047.0	23430.0	10131.0	9481.0	21390.0	18949.0	11480.0	5987.0	2239.0	3770.0	11582.0	19878.0	19495.0	10058.0	17035.0	6787.0	102130.0	14503.0	7532.0	15500.0	10820.0	12087.0	12204.0	39375.0	10045.0	16133.0	12215.0	18733.0	18565.0	11880.0	17617.0	4041.0	10471.0	87563.0	12071.0	50961.0	12714.0	6110.0	7904.0	11505.0	10868.0	10780.0	69264.0	10142.0	9929.0	10729.0	7255.0	10646.0	10206.0	9152.0	11890.0	10605.0	10087.0	8499.0	10078.0	10393.0	11340.0	10296.0	10540.0	98406.0	10009.0																																				
2022-08-31	5043.0	16932.0	15096.0	5208.0	11438.0	72811.0	2708.0	3279.0	27503.0	8918.0	14239.0	29704.0	21555.0	96388.0	10099.0	11474.0	24275.0	9746.0	9486.0	21990.0	19014.0	12670.0	6177.0	2190.0	4050.0	11562.0	21364.0	19359.0	10834.0	16405.0	6651.0	99476.0	15347.0	7267.0	15150.0	10770.0	12022.0	12072.0	39350.0	9655.0	15513.0	12156.0	19818.0	19848.0	11830.0	17710.0	4087.0	10811.0	87132.0	11402.0	51081.0	12825.0	6228.0	7859.0	11596.0	10818.0	11875.0	60626.0	9745.0	10390.0	11279.0	7026.0	9980.0	10744.0	9351.0	12290.0	10685.0	10062.0	8130.0	11025.0	11350.0	10320.0	10520.0	10610.0	97306.0	9938.0	91748.0	97565.0																																		
