	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-07-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																			
2021-08-20	-0.24902606717387243	-139.2710700049647	-110.33758326506722	-24.482786929477697	-17.199282038211095	189.9865580483165	-25.490115007464738	-34.80782370930456	-145.61394705493876	-24.21397820708262	-110.5352083284015	15.180883293804072	-95.015432834909	10.237599430882256	-31.13064199081782	-6.222772179975436	-109.59433380871997	26.821809370941992	-55.89373768612313	50.10194679663982	59.10252923299049	-3.210471394309934	-35.03840534672054	-35.75110905845577	-13.892114392123403	-46.94920578924939	108.42367946097147	65.7955544723336	26.140451767709237	-23.006990435085754	-61.25587630530936	22.682462524840957	2.05606651420203	10.870455842093179	48.58583065426137	-50.17523576154235	-25.257172560943218	-51.39631295822619	-186.9161054874421	-1.6585018710411532	18.976854631957394	13.86036309964038	50.91364727855034	94.46562647305473	11.315662354007145	50.39067370472549	-5.6815983442438664	15.05502360927494	84.65788753413653	4.4091180516115855	1.6313187502746587	35.965820165782134	-115.64532395679998	-138.27922682477583	33.64858328627088	29.110545064515463	-18.735781004123055	57.83907128297142	32.71721446190895	15.151063548210004	25.617245475554228	0.0	0.0																																																	
2021-09-17	8.86333863710297	-208.35597621085253	-197.3497915236294	-19.465800078389293	-35.16415180626245	561.0463784624008	-17.30855458974247	-50.91745577545089	-266.95151731799706	-41.665888921856094	-149.08664736154606	44.71252949531481	-11.41289560471705	-97.22751509600494	-203.28549708963692	1.0914233299299667	-2.0066032547438226	68.93750135697519	-64.77339944088817	58.90808112284867	154.76550322258117	21.660000868003408	-40.80316252072771	-61.90435576705886	26.11957852210344	-4.34408863911267	162.15508792945184	140.59995370764227	63.05139609253456	46.19247448990791	-116.99059717281489	-15.083748472476145	23.2062255229157	22.220148431626512	189.70722361483786	-76.54264652021811	0.49483190694081713	-76.29528305839449	-281.9114442462087	-0.3126666268253757	92.11135698599537	18.596867486425253	232.2782517883461	230.44692232188754	14.681752683809464	87.36984373364612	1.3202175902042654	24.703648685394	219.68057007349853	18.07895434587408	5.271666683169315	77.30099427071764	-173.15473519109764	-238.97422343373546	71.38921935980215	84.06235573741287	95.56155610658243	-143.47798470256384	116.61736760303393	50.42787934067201	76.58058599658762	25.560889741260326	63.1624846652976																																																	
2021-10-21	34.625467532502626	-274.07229623257444	-214.07255339512267	-27.28622747992813	-47.5000513718187	793.7182534028107	-27.135567743045158	-75.71133414985616	-532.7446174271463	-119.68908541248311	-188.9681636220048	-432.64405517213163	-6.444751450799231	-404.8565103588626	-299.74841025962087	22.80071714208316	-37.80286548687582	81.51517287679962	-61.47502282388632	104.7167154234121	97.2207000826711	144.0543111285524	-97.14987019853743	-91.89568084063922	54.178124069332625	-32.47153063858241	289.31754413847375	207.02732603949335	194.12363901360368	237.59980444716166	-173.28924266515423	-165.65138453013788	120.66285262601923	30.74386902723745	236.6372074232495	-140.17412805087042	42.05252711567118	-67.58374647486744	-514.496237411593	-42.47538805392105	127.96694170494084	4.896698030664993	439.02244297689685	383.23454571577895	-1.3350550966242736	138.5410262318037	10.493456247999347	34.97306904420839	156.0866346727853	36.620448529616624	11.012158644407464	120.43348209478609	-194.82865873076662	-338.1719600854776	110.6886664978847	117.88872507428096	182.06714409394954	-704.1253334145003	150.853425963287	96.39899112041167	149.22849571121515	-16.86781720842373	143.15595376434248	0.0	0.0																																															
2021-11-19	46.34245465371259	-403.4468609603864	-248.441887615405	-37.28486491169406	-12.894009255722267	1460.85193303891	-44.168066519349395	-92.30388073131417	-564.4355010620857	-205.60771147470223	-289.39793658558847	-917.7125247722142	-94.65946827019434	-605.6732983606053	-283.15147798210455	85.28711789294357	-74.70376232683702	103.87329162782589	-76.20031182723142	193.54200869661508	26.567000645020016	222.23612372802927	-178.18728543431644	-135.08847994899315	28.61664791243402	11.568817883997326	404.3016159479557	317.31173671646684	267.8735411440175	352.3414459001997	-256.17861583177364	-293.2664250417438	178.3345755626342	44.234563757577234	384.9383566613833	-198.86357866873914	132.51408874057597	-64.62098106187113	-720.9233162035816	-56.25012852611326	269.83301570324693	-0.9934997493146511	703.7041967608784	599.3567733147102	-12.505350220435503	202.74994855825935	20.58548461261853	44.86656679548105	183.28524046998064	68.90176797940694	19.499542117780948	202.62581580306505	-215.92114943884735	-415.7250720443499	185.11471036749754	215.95224085436348	276.7162313425015	-1193.7779508638923	316.5058114712738	223.55837910512673	269.7396390867325	12.727934253616695	213.89691956338356	35.2163548706867	14.05280768873672																																															
2021-12-21	60.03520494102304	-520.6284748569415	-394.60615256435267	-36.121503606675105	-24.0808692648352	1747.4188008141937	-58.90480789835965	-119.43300390362947	-586.7726810749155	-279.5564239831765	-382.2812790977878	-1250.392144018886	-149.51282075607378	-585.0442716585239	-379.0208378460229	129.3997506374053	-265.42452606642473	83.6798714973902	-139.15828645484544	196.41439295915916	-38.9640888857939	256.6655176088161	-231.12979640135381	-182.76432768228005	-18.59670927001298	2.9120004970427544	472.6633356288403	359.5327521304207	311.3283082627031	329.967903717612	-325.7962386155141	-298.8207741022634	196.31379738710166	53.85690053629696	432.5101623902847	-228.86592541235586	83.09691572402153	-37.1881234648572	-831.6060171326244	-40.517804854376664	313.1740097242582	9.680664266745225	724.6093126898377	551.8813338040272	-4.508603056343418	210.96521293932892	29.37279726766792	56.23727352547576	327.4319827652653	116.08269142491736	28.9431139947701	250.47302116413812	-319.0767334611937	-567.8098005356969	228.39244905059422	258.3999405964605	276.9305070867231	-1294.530380560347	413.5225968810719	243.86278459462665	259.69862806765195	94.60663554430721	212.5085003919321	-46.70646870855853	27.3095396054523	0.0	0.0																																													
2022-01-21	83.69286529373039	-653.244919788769	-426.9074946432993	-53.99140393024754	-11.35241995600336	1618.1045351430366	-81.82537342801925	-150.92234269289702	-577.1225349667438	-409.54736471938304	-476.0210396672519	-1893.5268626020552	-166.25048197538126	-839.004860252724	-617.1149059272502	143.45185211368153	-825.3690809383697	77.15009618137083	-157.04268532481728	221.7768117776759	-296.5589412595	394.1407236352925	-284.5593094779697	-231.37207533215042	-60.72921233580473	-101.30144502231997	515.2490321074474	382.97991346774506	357.01355375157254	500.0950130062065	-412.8444723769735	-435.25339193141554	329.0454234983008	63.59482757789556	380.2900976038036	-280.6650479278778	-7.777138224702867	-41.1926882527132	-1021.1577831395625	-84.69556678945082	257.6617779771914	-5.5906212691461405	710.3739613819089	521.6779956143037	-20.089032251837125	224.3951879362321	32.323207633138736	66.2751602882363	50.81638292298885	106.1475273264823	40.00337574179139	267.7923327743156	-373.8559450163066	-726.8023612917514	244.71809943038897	239.3144756644706	221.54350865083688	-1861.081547910595	450.1364684197506	273.33558391775114	228.0261733509251	159.43533663219023	162.55413398398377	-172.46745337358516	50.16134526449423	41.05369316467295	17.021380988582678		0.0																																											
2022-02-21	129.47881485047128	-816.775025574665	-461.16669322359303	-69.50125097535056	24.977879534852036	1199.6463890127634	-101.93150914512808	-181.65869298887173	-719.5468817814981	-506.7801374095834	-578.0357734621684	-2559.018237268807	-239.13891681271707	-1149.3329029398737	-885.8063496206996	115.95990541858919	-1304.9232745585032	51.14590731188946	-179.69795380917458	171.6565621218615	-535.622057089724	534.6037624883083	-310.74470424751235	-240.63627474415307	-57.25508026860916	-275.94582807333245	580.6277941574772	369.01128562579834	416.66240503604604	707.3861603320929	-444.0081723946114	-619.3070401481236	482.96228355529274	53.767604199036214	260.34630353749526	-342.37571445145477	-88.64475674394635	-80.72982946658158	-1248.871023023581	-148.52406992022043	139.80930681250175	-27.519099323641058	421.54779521050295	220.31715472049837	-40.587334253001245	208.70882946534766	37.61405178555651	73.65394768825536	-557.8581255669269	66.62854546018207	52.97434539709502	253.53698558376345	-444.6982346205914	-924.3922950976284	231.99351912962447	177.8596606767842	66.97809397721358	-2628.676486146418	434.4120215099356	259.96714583824723	145.96482892921085	180.04701952299183	113.04312619479424	-287.7039347426562	51.68578864734991	103.83612424895546	50.6882108149548	0.0	-59.56250061024912																																											
2022-03-21	138.1135596868735	-1029.4369838329876	-668.3523834399166	-85.19206299658254	78.718812068646	911.5901415923581	-99.62313302478424	-183.54013899277015	-929.4452791375443	-560.4736958025242	-711.1252782476222	-2840.317260797012	-222.6969350020554	-1348.6917720313068	-1027.9194145492274	119.03134878126366	-1680.441341846159	-23.076930043986067	-292.6140458072041	204.57874063877534	-673.2996132675507	708.9983852937739	-305.2219833451536	-262.55166990589396	-50.74962339241665	-354.8612182451652	599.0441836083592	363.7907797940097	497.5322631816125	1080.5639594202858	-501.8839798387244	-740.1569932200364	639.6040790818442	50.442911875135906	130.0634053611975	-410.4892808648219	-141.77051899692015	-179.27911294950172	-1499.8795144456599	-226.21878486971218	32.24229618098616	-41.58559730156594	157.33101829465522	-81.22059823579184	-53.836259638474075	210.04239173743917	48.281194622747535	92.61344530781389	-1168.389793005219	57.86455424572705	66.11279084769922	258.1714357920755	-602.4521105853264	-1099.0515971074692	236.05140687399762	134.69323255401468	0.723374029596016	-3196.609506071254	406.05268942401744	193.90680628617702	59.50939062739417	182.93733008685012	116.36493528520805	-280.5149987626992	68.95607383427523	156.72703515731519	108.94617332027155	-20.99115067280036	-129.39328227474653	0.0																																										
2022-04-21	159.5334534510539	-1092.7957242740304	-833.4766761639603	-95.32089123949572	132.29768500642786	759.07953452121	-104.05763393290135	-169.6768075163427	-1075.1183027197403	-592.8948781098607	-747.8119662639019	-3225.9685131431615	-117.33766117544656	-1853.9695755288121	-1211.1231232911541	184.80631944612105	-2018.1771025610833	-78.34064267533358	-390.281516168081	247.76170662532604	-728.5188665822607	946.3865440895615	-289.236749238592	-255.8238233506454	-43.351415199293115	-428.8488943742468	601.8167172681387	392.4351997143385	582.569795316751	1374.1030971118907	-510.47546988040904	-1077.7734285101324	865.5358627864152	76.30945652329137	-49.429276318729535	-462.3940707443744	-193.63888146311	-291.5076456736624	-1689.2475177097367	-365.9489144087802	-57.99410670085854	-80.48013451439874	153.8340922295356	-110.62386530086587	-90.71054162872679	247.4620996985941	77.76171013410021	119.77488923951205	-1945.2684497584269	109.94497696720464	81.99728322013834	287.8612379586084	-747.4821890111698	-1259.3716914424185	263.44045341400306	111.63603567352584	-8.213859953541032	-4431.027303744835	338.38091652068215	140.18527752845512	-10.223883377007951	167.8038402253169	11.962098809217423	-258.6315355033403	111.23318853084675	192.72015723812183	175.40192469896647	-93.85134501064022	-281.49076158623393	69.20949174785892	0.0	0.0																																								
