	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-06-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																					
2021-07-31	-16.18026502298817	-100.23057500880677	-147.9939958716277	-19.352252495299762	21.254776135549765	227.75268226616316	-1.4674242903965933	-6.506599679809369	-22.75995997460559	-31.61468927306123	-60.89893483261985	-97.17099237400689	-15.701160639725277	120.03272696400526	-5.8309246122371405	28.65002515222586	-139.53374463468208	-0.774133837147383	-57.590451225743166	43.85423858495487	19.936906419179287	-25.17322317701837	-9.061311605150696	-17.995971918182477	-1.4281618525070372	6.576772054878529	-66.09381983029016	41.434764824056764	0.2810957669382333	-0.9332983956934185	-39.791414282296316	73.45702241420513	-12.215088895706867	-4.396915044612979	6.433158613438718	-24.663104344485326	-37.60882143730269	-50.185499276328486	-87.41006178067182	33.10168282006198	34.92061498695985	27.871757161991262	111.71838131131662	116.02754814676591	24.54875994433387	33.09915866800293	-3.561541985833901	9.852834624362004	296.36114386054686	24.582289521938947	1.9993639897962567	33.186373596527844	-108.28858588429867	-80.15164735993895	29.904303147505562	33.46515939785168	28.24510255051864	413.00252208384916	-0.2469224208005471	0.0	0.0																																																			
2021-08-31	-21.60100968913888	-191.8911437296582	-247.37774779952306	-22.80502733118861	29.197612840716317	610.3891422814131	-9.984531327417425	-27.288037093280945	-137.82435067700223	-27.624087470845552	-128.98287842954045	30.904522074932466	-65.43875881017651	176.08097857445944	-55.63817090035009	49.96246909420093	-127.96138401025091	10.591521294129489	-88.63283301139978	98.55171062506619	109.43830026044277	-43.91916979058878	-16.060558026411165	-41.80032553455057	8.079055218718276	32.69670141205948	-72.55093822928319	113.23905662172649	25.117471412322047	-37.68895333461667	-73.86015378723881	121.81143917346839	-38.49798285295488	6.382242596668802	61.439665947085594	-62.037681421396265	-39.85542638531304	-67.35005946866382	-218.83300793702017	53.67565203759965	103.53048637640546	50.20329288426466	179.1625758397841	215.68891207477193	42.65739878046355	88.19915953122253	-4.8248611642541075	22.919867172090743	508.4096027711546	50.02703509635758	5.0786678680230395	82.68174272022355	-187.011026245807	-178.64353352719073	76.35356336551106	90.26343129929533	69.27033340568218	619.4613296971586	43.20451286692056	18.16771838056884	35.39446361381124	0.0	0.0																																																	
2021-09-30	-16.62893938089709	-303.72915731078746	-309.51396863768633	-46.7451748236558	-0.7350456928736548	710.7525566773088	-8.7221700752381	-47.746277061131835	-285.605971190596	-64.41849581421994	-205.42004444379268	-123.45415010628034	-31.422322205071566	38.604369140121605	-228.7897914892406	38.66623066150565	-114.34272509270579	-3.618534831079538	-121.1317294216646	93.15889114293665	124.69082007952244	-10.278913167786083	-41.359313704713884	-73.38305850284952	34.08923308087769	32.63964133997459	-40.51944852983229	137.44637328971956	54.03232592103622	2.4783050019773647	-127.75301280126342	59.92703751812036	-51.613257620634215	4.303291971800092	94.34690042139391	-107.26586760388041	-42.95593687059159	-50.27925534657476	-388.83995215497515	40.18627611969522	94.44002739055617	62.565323788404285	425.01930146452946	401.7761643657192	52.48980658497416	102.4542770713783	-1.167520916226378	39.706732872545544	605.1776353426785	36.592955272810066	8.528772083797724	102.41073061953898	-240.43281167920324	-204.51487635888762	94.0622934912237	104.7467669894172	172.716229999042	353.022381662141	55.4040848067241	19.109650856138032	36.11819401645043	-19.75981885672227	-9.308794955164194																																																	
2021-10-31	-6.448156957049353	-332.8873601647681	-301.7713705561912	-54.08235113339432	5.890989525431904	893.627786559144	-17.79213832725302	-50.619443195686074	-404.25004833794486	-131.36570846901623	-224.0598453910532	-519.5148522263938	-90.07622550710235	-202.3474006284198	-262.04514832268364	73.89919766738775	-160.9260808417869	3.997614254118223	-123.05563991526901	111.15793372106378	71.2331546311529	51.38015034253212	-98.95810263823964	-89.78388432278298	30.934753858517283	14.242391896191318	35.69906504994888	171.5016475139326	125.71303573583418	109.2898357786977	-166.07918097348542	-88.28074195229132	-2.751200224838655	9.873558803388232	120.67487396397554	-150.55349710985718	-29.620325208545005	-27.153083568793633	-549.5096702918488	36.59783750554043	134.79988981245293	52.58703648981238	494.08687270963503	435.424347611547	39.312028555256504	112.99057880690414	8.06637576326423	40.27026032858656	608.0479738064423	73.93677981232159	12.533884259781146	130.11462109925105	-241.4671917686524	-252.80294867244947	119.08451026746422	131.51693714920654	187.4062799550947	-181.8304848301712	69.45250360474802	53.40791657151666	100.19090353982959	-38.082226525192965	30.4833771297129	0.0	0.0																																															
2021-11-30	-21.455523018365398	-444.50703857981114	-335.86600680506103	-79.88464042597084	8.556880246583749	1276.000668492893	-36.736791812316895	-79.18578953346336	-407.00981984705754	-197.50000861418485	-328.96102651069793	-824.4912226344709	-212.2430590899342	-191.43743110325613	-266.92750323339806	104.205085611061	-269.7111594964032	-20.349035063369907	-149.0880312114683	138.5191180559163	14.279100223280281	73.03467274203874	-167.3976997587454	-125.49628374366054	-40.93664894841332	12.457040966586664	132.80106021840956	198.64643491161246	162.16499795136662	70.51622982831877	-221.8307658934237	-100.37149331490862	1.8062558447607096	8.427941692713247	167.77349383969442	-195.12934749151344	-33.537570643708605	-7.472260121229951	-710.6504283688407	49.04882997798872	209.40231643273984	62.51239592252933	588.5296791322617	480.1681967920557	45.407455604227046	117.58446140362034	9.092178762157365	49.0414836180902	577.5536169962928	88.91510749946421	17.600826904023382	166.16489699733137	-251.22409745931407	-254.31019211974598	151.39717199900434	187.57769992067767	184.45627340140413	-246.71624580391858	179.77265992143003	114.65521216950225	174.63800320750323	-7.399738875985552	19.873861072655068	-14.68260748781031	8.95571828755492																																															
2021-12-31	-14.775060044981636	-398.674961372559	-381.2501280745562	-58.81700013824931	11.926964384500458	1490.2045751925534	-42.34416410146992	-83.87099283904102	-239.26179585048135	-216.66187627092177	-294.64458173465493	-926.6007779985866	-195.16409289094685	-145.9373958248274	-269.6310216451304	156.83003803038963	-379.9138368385368	-5.206867114248412	-155.6842344513691	166.5443648881515	-43.85073922362386	87.77920986851348	-167.40137030147253	-134.97735813678952	-62.45798786846034	45.296505872132556	155.88368951649034	240.18915261203526	171.90934744792162	89.30652255968548	-228.16419320918868	-81.13635826320902	43.38994318161914	21.575650371699417	226.69720073217258	-170.57843363433398	-40.158203440245885	21.64752789662363	-622.4658588956864	45.00442404238321	257.1300212260269	63.16916097231879	556.600731289669	401.1945029423832	45.77652564172031	145.8355650932636	14.882044826761572	50.388377022717314	640.123843682201	141.94321665068705	22.780016615211473	205.333475523878	-290.8284109612191	-321.1107820163853	186.76148644963706	220.31359018020328	173.83786202431565	-280.71822514538235	253.92938617919484	137.49809900761323	135.88098586204882	83.89347424947758	-12.593149717723241	-89.17461855106404	39.044121791946814	0.0	0.0																																													
2022-01-31	-8.965719031626868	-477.7515782493314	-348.414915374218	-80.10373153630114	16.773483029303662	825.2385033840596	-61.81492820777002	-105.15312777844318	-337.64509245479985	-297.00091730988606	-342.0322575114326	-1377.8032215982312	-266.7988148342348	-303.23798736738564	-460.915291357552	104.45240510116105	-834.5810188859709	-44.36989446019186	-168.48023763342877	118.45221219265918	-273.1558743675731	185.41836185887615	-193.14458113145008	-153.37780590037113	-102.06016693140882	-109.75183786288136	176.66299744871566	162.84236401493615	177.10761033166364	205.2605964643443	-255.81559354298133	-167.01103666125977	108.95057730033456	12.980408764215888	81.28279281902192	-223.6322695297807	-156.94799029183667	0.3713957565582078	-814.5633070211727	9.877332400532111	84.79168444379044	48.34020618736133	263.8797518082865	122.38497503516771	35.27019298371866	103.77665882334335	7.283855559967209	55.02426744059973	383.4921428844789	83.3285337773518	27.547735171732704	149.35547058321868	-298.94331507606216	-426.1854245510055	135.9654192765533	121.29011784797902	11.321587615802827	-609.1144926232089	173.53556330598587	76.60523801664999	38.78612277592396	82.37085020920568	-71.05028100621912	-212.39501415951986	38.55324216842116	97.38448687338678	10.387697614495119		0.0																																											
2022-02-28	12.922432010144028	-536.715083367444	-342.3675444838036	-72.32669399761738	61.842612752326225	217.25351354983104	-58.54375640176898	-92.86834072082912	-407.97747687198205	-306.50218347800256	-368.72888433964044	-1570.8873870322072	-251.5039850063281	-412.60837903012896	-575.8154562733625	55.23543944441607	-1060.8970288160567	-91.72390026260754	-181.8853738424139	31.04343950988755	-422.19458976128	256.3775011910761	-166.85467972886426	-126.79446522018438	-85.07092145369722	-206.8560963967803	181.82422076617127	88.72728064411956	187.5472429793204	371.3671016964944	-229.76645346484077	-234.25509570071802	187.09470421269927	-7.22566607634081	-55.18061582940126	-236.70172996563508	-214.11692081032322	-23.647938459568522	-856.8803639335813	-31.242437581371867	-58.4828334530867	29.014221702289888	14.225492760434236	-116.51142675125857	20.30267012701526	59.97120327901564	11.34321259268604	52.430968912206126	-129.8263772029344	26.55266792069267	32.49202474024932	90.48877557185858	-310.60557414408015	-471.1748606543417	82.10112176188079	31.447111383575418	-64.64642396771526	-920.7058660453424	105.027626145657	17.13167435105916	-38.27279184010264	62.30274412994972	-81.90878566111948	-261.2429209498938	26.450155720301748	161.81064649036998	42.350535952275386	0.0	-11.690464114563657	0.0																																										
2022-03-31	38.26951794884964	-540.3405854289928	-372.32057355300856	-56.73748156382274	93.11623758012794	301.20605808850223	-38.15829584791399	-74.5292818760914	-421.75177998643073	-274.614389184585	-360.66876467661086	-1483.4293233355224	-120.79582970877414	-588.6977778264742	-553.8387150358606	85.77666348208481	-1083.6023559239375	-91.97499599907249	-197.54748482586206	91.74343196874122	-402.3672178610937	368.27242702570686	-115.10409132514519	-109.83307316879313	-54.4276006396386	-207.05155634252517	161.2872235681889	125.91469276494598	221.9228277699553	581.0286712397019	-212.6222795395032	-349.90765063096705	323.550417414446	5.419441203928503	-108.67455014627419	-219.3292973513894	-184.88013837221033	-97.51990957693404	-793.0205063176686	-95.96357521238116	-43.72958871101443	-3.556769146352238	-64.94417943856047	-187.30079425451152	-8.223640305768853	97.23499525737122	23.361244151556054	54.1891312886907	-565.9500777086035	48.3421113035848	37.173293856264785	116.54773827662382	-342.04304669000817	-478.8313854497343	106.00825769534794	44.3854130091016	-58.924198029049165	-1293.6047024997724	106.00192979575257	16.42835036132412	-63.964129522446655	62.404536757614295	-108.17817716143105	-193.53868591825636	53.69413839774762	126.30202796287455	75.69742417573603	19.16788071200717	-78.68298562409822	74.31628899022762	0.0	0.0																																								
