	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-07-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																			
2021-08-31	4.751817513457354	-41.98031042536604	-18.14497990311429	9.386071325583544	-5.27000510137259	314.5461685065966	-9.594189054352682	-21.15982416937277	-127.17011839307816	27.358098297359902	-41.53745398569299	229.62885156036646	-50.9434878680986	-15.819072697820957	-58.073421249213425	6.165589594276753	114.27385386318565	14.76229192205028	2.403001201842926	37.0037069242062	97.60390932821247	-5.421278644180347	-2.2677194907764715	-16.879189458927158	12.904327072396882	27.95491118235259	39.195234728362266	59.65921368135241	30.844098515516635	-45.27622772890936	-13.902197679355595	7.8943781142588705	-24.115194466086905	16.61875728441919	64.16041214989673	-29.07118552121392	24.08772856862015	14.33352881126848	-101.73568515128136	2.038084702233391	60.78890733255321	7.976836906365861	4.394827285512292	41.58251969833873	5.075716460090916	44.909192890761915	0.9733136249960808	9.28633155395437	52.88515349997033	14.173286818073393	2.4190123333464726	37.97301749512735	-20.813436235195695	-65.75591297910069	36.29141919003814	46.83298771556656	31.076973968045422	-37.38835022861895	54.33639532165216	22.70964797571105	44.24307951726405	0.0	0.0																																																	
2021-09-30	17.36078050951801	-154.14399116319692	-49.017334864689474	-11.588506285817857	-50.9207399251336	425.83432000194443	-9.437653367868279	-48.59546899328052	-329.0785004599966	-2.158565261763215	-124.80486179294167	115.46452793217031	-13.306352605155553	-231.40916978221503	-284.148421196478	-16.33941648452128	201.31201585669987	0.21467426145136415	-18.26879629982068	22.84187076145099	129.4451494827481	44.05563902916401	-31.282257877659504	-53.64896430465069	48.47989015283747	31.257084560049407	109.40639124318113	87.73703923160792	73.06130711382048	-3.806530252326411	-69.84257649610663	-92.71228230584529	-41.20327236127196	18.82973219062569	115.95447607585811	-83.0817744727683	37.73759401321513	55.13977576387697	-305.03770650894876	-25.60484103664021	49.78404310961923	15.604023008465447	274.8367169281264	243.2928648020643	10.084088922641968	60.48747027212812	6.941323831718364	28.797240021993275	84.22553106985288	-8.046151885590007	6.539708609867375	58.94131910292526	-54.95454723998046	-84.14118884311938	55.48194177955702	62.98030647615087	157.05287622208198	-517.5263246982504	80.48565197103017	28.42899316531475	53.99635842401585	-24.699773570902835	-11.635993693955243																																																	
2021-10-31	34.58609431041623	-211.30270832282258	-37.07839882971166	-21.805761135969078	-54.27915524056334	708.5911061220249	-22.162963980659697	-60.534886779641965	-535.8994041568149	-84.12714681495163	-166.6204532215088	-358.0659888418959	-86.01506538239846	-587.678522618924	-379.76251675401	21.821361101365255	189.73066946547988	9.248491479009317	-19.898349389170107	44.985609216080775	83.03922830735246	132.13537418283977	-108.7350363861442	-82.79053891744343	53.82839756854264	12.87985530824335	230.18002121357495	141.91208576627832	176.0185377882044	130.8311138534009	-127.44677460462299	-302.5995128235227	13.557663983861858	29.238933043950965	168.9848379601426	-150.70673948020158	63.94271050514726	98.11493373914891	-555.9443621823884	-37.89255134105406	105.01852682388198	3.74411091762704	407.19088876086244	323.23777610807883	-6.502049734061075	81.28404177302946	20.031761375995302	34.11605701080407	79.32163695180498	34.40483053042044	12.600294112286065	101.09207875977154	-57.95758621810273	-152.3984844829829	93.74203830656188	104.36489554548461	203.36485464358884	-1320.54290912149	111.9290892024037	76.07923802357254	143.1167938323524	-52.54273787067177	35.777022673350075	0.0	0.0																																															
2021-11-30	20.435163180143718	-391.92749999063744	-97.66964382851802	-59.3429474110053	-57.60635361667664	1321.122862920398	-49.72911627527401	-106.035306954504	-631.3819703957561	-186.5689318390523	-330.4523390699669	-831.964549140619	-255.23472986230263	-670.5745102670771	-449.1388094774629	67.09420482838141	66.91902514040339	-19.88850573705895	-61.15721083961398	90.19336934641615	22.019693060319696	181.6847109636392	-215.55627818342327	-142.98812178917842	-27.731135272755637	11.695792435057228	385.7727581290601	202.4270847416483	252.90403994791632	110.0440745693395	-222.17574380906444	-367.89811810785613	23.24196532547103	31.582923492095688	255.56647218440412	-234.62367749711848	66.03200840207501	134.747058390245	-861.286821125359	-25.84851957769206	218.60926731393556	18.630314447987985	606.0108834278981	443.6186590349498	1.5499795960986376	102.49266607965546	24.671141653358973	51.37696953015802	79.79773276075139	62.12682137252523	21.30227445318451	165.69201551314836	-88.87168500978623	-186.79685019434328	151.85516563053352	194.0601817771494	235.71880882840742	-1605.1865667403763	266.91254422132806	165.9903366639337	261.22339430190186	-23.71018494046075	30.135971884456012	-18.24560254890639	11.150251234037569																																															
2021-12-31	27.543464782202136	-419.516449316965	-199.20709984602945	-48.260872583608034	-56.689191830477284	1848.1539693553204	-65.54643697871325	-129.8409804863977	-517.9712212405939	-251.21544062012617	-354.21934943466476	-1140.8629430301662	-282.9317812661793	-692.2649016506039	-517.7542239409013	151.3285528669585	-102.57453071798227	-5.849604985280166	-91.94142173196269	148.638650034256	-52.175621679260075	224.81388978203722	-255.0928072551751	-181.6096841878698	-64.50208502770329	54.1801535831637	464.7275354970079	292.7041036823175	305.5537395095671	151.39993176528696	-274.6766265014994	-387.7361606563354	78.79760640304266	51.249021345555775	369.5203123761021	-246.40776702745097	58.98906406556671	181.6545544378423	-906.3567458270991	-27.108547648860622	321.6896842254355	27.95051800103647	684.6591933938907	435.2681039431409	7.0844015797447355	158.3988367196289	35.03603530802411	62.80104771591323	226.10246843147615	144.10616373033918	31.665112881812092	247.26834747431712	-173.0182491654823	-313.36718539600406	225.48461764388958	272.8588540309356	261.335545248985	-1815.0115749945253	404.31191438992755	223.207748253948	256.43662342195967	88.55639674737176	-5.479326335353107	-114.49591421790137	50.83046663728783	0.0	0.0																																													
2022-01-31	33.579241759874094	-598.9196331089261	-230.33901426751254	-85.80704750256336	-50.90849230258391	1355.937499034655	-100.2453281807675	-176.084440867146	-696.7180676615535	-399.558391024555	-477.7726491619178	-1921.6056675855725	-418.8583673743742	-943.7905612562463	-823.3699046042093	120.78430485564604	-744.4842935972156	-55.98605993195997	-138.0214876158443	123.4330356879691	-352.8302391235047	372.66985387239674	-327.73231862577995	-235.59346777862356	-129.40050149733725	-129.31302668112585	539.8084369202697	250.07844501235377	354.98572644872183	318.8124647757668	-359.04126250012905	-526.6319546137238	173.4697216032655	46.57325043745186	243.4406395733713	-351.5855370211211	-91.27015494868101	168.2915208328268	-1288.683634755529	-64.84403738979745	165.19397390299855	20.93125667361346	440.7723379458512	169.25774386609555	1.6300790442619473	137.3533777448538	29.839971494679048	79.68176216592292	20.618126890578424	102.65929476217025	43.013094010915665	223.68250242589966	-238.8716426728124	-512.6885318227651	204.31150228941988	199.41196504816435	97.3170579969119	-2359.0441872668453	367.4238318777443	181.46619676714727	169.0382910298158	107.6264852594013	-81.69902787540377	-289.78265056852615	59.94685015091636	121.73060859173347	12.984622018118898		0.0																																											
2022-02-28	59.75699083544896	-781.1059604580223	-298.4407942435937	-94.55604470217622	8.103673361743859	787.5723007805791	-111.50496494899244	-186.47050061404798	-866.9197736707501	-482.59417035846855	-592.3006904787981	-2500.46731136983	-465.3183097220135	-1164.8894406409963	-1081.8056177172402	83.4411809855792	-1226.057670507067	-126.21556220725324	-192.7828648998002	40.65271158071846	-608.8431636178284	509.5220752554251	-342.5088640302656	-239.42283239883318	-133.57712711092245	-278.599939574975	595.1455387432106	195.5927901562609	412.2920539581173	577.8275033005139	-387.1957396635198	-657.6874185402849	299.2601678096562	24.874793699611473	92.72303664958599	-422.06806663786665	-199.2826037831892	142.19277952289485	-1538.97479928557	-116.13908504544816	4.805015032499796	6.867834727798254	186.69461767601751	-107.054327453523	-10.015338560133387	106.33531813614172	36.94094535229851	89.49245106920534	-544.3656269193889	50.909362510732535	55.937578499360825	185.25033852257184	-319.9680704555685	-669.7432004913262	169.2010770263605	115.50008525148951	3.1697883042616013	-2930.317861636271	325.2830798965879	126.27555168932122	82.41117845376357	103.13406521263278	-113.03472894558399	-403.2670437846864	54.502268291300425	226.60942983130917	55.53509434396801	0.0	-14.61308014320457	0.0																																										
2022-03-31	94.63322147042982	-916.3474723686122	-418.9335140443145	-93.04824835745512	62.52051510002275	944.9139068091754	-100.64953469798547	-186.6998315101955	-985.5915633491095	-518.7742919809498	-674.017361456923	-2783.242638542375	-364.70869731948915	-1488.9231822929723	-1198.2503666275934	135.08059530422724	-1518.7699387332068	-149.45536412077672	-257.4623468345417	124.00774069956606	-689.7359667894525	713.6466025778263	-319.47627714807277	-249.80423900512778	-116.53163159190808	-330.5998750157887	615.353062439659	263.42047649087544	502.146528072386	932.7522610155083	-422.4677611983516	-861.2876224529464	516.6817730795192	38.90290428647859	12.019486941837386	-459.3696867774797	-216.02530805890638	45.28741123878717	-1672.809183586367	-205.06321787380512	8.402513153589098	-26.770907098971293	90.5734927066369	-225.41198101171904	-40.754803382400496	167.308002339807	54.706186876216634	104.73480878740702	-1121.8736432578007	84.54999391275305	69.89936759990815	239.99868789219727	-435.53134509423126	-796.5927231914975	218.90949190551692	139.18503070818952	-6.019980951894468	-3629.265325477856	352.67697030145973	129.6793152899172	40.7288083908079	118.83699202970092	-166.34866473625334	-384.07017061667466	94.96637140309758	222.6763182945324	107.80633861136266	23.959850890008966	-101.27634805876369	92.89536123778453	0.0	0.0																																								
2022-04-30	108.9143643204743	-959.5179720502929	-551.8852430907718	-112.58622135855512	89.9555608105511	531.8712726865342	-98.1424861079804	-176.92961695468512	-1178.345191360604	-531.0110442010882	-696.0636002763331	-3072.7683008739987	-282.105843583573	-1883.776459027169	-1422.341871888002	171.6707897861197	-1969.4563969125702	-238.1184697702829	-369.5913088635625	138.5927213306495	-804.8728212552705	892.8502669047894	-302.8895958980311	-240.39992999077458	-119.55393677292977	-420.47739750303845	571.5042810597188	247.51399286415835	626.6518099543209	1193.211820736191	-421.12470100450264	-1129.3249519365345	621.1060627864754	59.58627391489608	-193.68971588316344	-516.2969250770766	-321.05073003323014	-93.96423840545503	-1874.9304729479045	-341.58609741777764	-164.78883487031635	-42.80800387947966	51.731675118957355	-275.88092586329367	-55.06269406445972	176.75070962868267	87.58425834957143	144.68362913917372	-1848.0466875473649	104.31648304974988	86.49958686485479	238.96840075956243	-544.6368787898427	-969.7879244346368	218.37689838072583	77.14266688259522	-33.80614865665848	-4636.6731942394545	266.33787607488557	47.27400666600079	-87.38916775904181	82.00165274462597	-305.2884399434479	-412.2682035466987	131.42308916431102	318.31141977000516	166.57072251883437	-85.48723059351687	-278.3243072817604	158.526845414528	-125.14616268923055	-117.9929298109455																																								
2022-05-31	123.51484324704506	-978.3847392396019	-624.8838043510186	-138.3455364568972	81.88680955979908	-193.69392750378756	-105.46992121765652	-177.588505959533	-1374.9879927979782	-559.5167733574035	-700.544478998143	-3307.374264122038	-224.13623859566724	-2185.565450098293	-1609.2197149983458	80.01534644658204	-2459.273145007126	-294.97313826989557	-458.8902846079636	73.81067386797804	-939.1687210902528	1162.5821980586388	-258.48787459784944	-259.60644567320287	-136.11705898788114	-479.29441996479363	382.47873089662244	182.8037776200108	643.8488696125805	1576.2248523811013	-451.0886625617486	-1320.954865546606	762.0640289302573	48.555847249659564	-377.27124644325886	-550.8761768064614	-423.2568993913719	-201.77009432596606	-2014.449540449983	-465.1232396110536	-373.88232938258807	-63.70351176559598	65.47932385397507	-289.6536165579528	-73.07534821506306	130.6201491943284	106.42856280332853	165.37827302586265	-2438.1864991758484	38.76390403827281	103.31202775089332	192.53708419091527	-613.1341221914881	-1129.0829857109438	177.01398784756384	-31.06684916987797	-31.598373665297913	-5314.188939281637	198.2104931187805	-13.457299204490482	-103.1986317921237	33.740996192473176	-340.9153843801196	-408.1510254913519	157.14932102616694	437.3669913240137	180.21964318737446	-167.49774113476087	-371.57325492456584	95.29716810011087	-201.17618647547715	-126.62187189026736	0.0	0.0	0.0																																					
2022-06-30	42.05889961966659	-1080.901019767265	-537.7044644402031	-227.80285420200653	54.7665067584112	-944.6913610322081	-138.3614977854122	-177.46745371089446	-1812.1447206813173	-606.0300041633036	-780.2858784394575	-3592.636404567209	-396.68038116847674	-2633.3446117706917	-1877.0777875922213	-66.55805473568034	-2666.027161214446	-409.101187549375	-556.1740072115426	-41.99807252794926	-984.9610760468859	1217.2406648345786	-270.9763218730295	-304.8662256831876	-208.1973315218038	-666.2548356177103	202.61949069911861	68.69197999930111	641.5728783665836	1798.6577343171812	-510.0028324772438	-1653.9696834526258	681.5688440849099	5.57007880891797	-591.0537190513933	-681.9882337895833	-578.8174182567727	-146.46407927590917	-2493.0050536002454	-588.5569333632993	-633.0318095124239	-59.82937751996724	-114.92111410887082	-454.68951969564296	-66.23172647660067	50.500906907913304	83.44483082150691	212.48962301167558	-2932.8872427674796	-84.35374430601951	121.14766137595143	118.93205654082703	-578.1687363447454	-1124.1721406560937	110.74986826026907	-143.00356209144775	-61.351917294976374	-6304.324577391642	60.810267176902926	-115.44223676284491	-84.75640573820237	-112.27399447307107	-262.0581022359511	-396.4733153618654	144.61173318551118	594.6214192632324	205.15125373025694	-138.62840826797947	-357.95755516689496	39.848357180489984	-268.80945482731477	95.38928423426478	-38.1262041970549	-42.93655854748067	56.170441450653016	0.0																																				
