	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-08-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																	
2021-09-14	-2.425071225071588	-35.48262108261988	-27.82450142450107	4.977777777778101	13.976068376068724	127.25242165243253	4.913960113960274	-2.3612535612533976	-24.69743589743739	-20.102564102564067	-17.039316239315667	-104.85242165242671	52.266666666668606	-62.0307692307746	-119.84957264957484	4.65868945869006	72.75213675213453	12.444444444443798	5.743589743587654	-27.441595441594835	19.209116809116676	-1.914529914529703	3.9566951566943316	-10.912820512820327	28.015954415954184	22.080911680910503	-7.913390313391574	10.147008547003498	23.803988603988547	26.165242165241217	-18.698575498574066	-32.99373219374102	-21.37891737891623	0.4467236467236944	52.649572649574836	-7.658119658120268	1.5954415954416619	6.956125356125995	-27.12250712250825	12.444444444445253	30.377207977205398	1.2763532763521652	71.09287749287905	6.317948717949912	0.8934472934473888	-9.253561253560473	4.1481481481481755	1.914529914529703	127.25242165242089	8.36011396011454	1.2763532763579861	3.509971509971365	-2.871794871793827	-32.99373219373083	4.977777777776646	18.826210826210446	52.202849002850414	-135.93162393162493	37.26951566951611	-9.76410256410163	-8.615384615384391	5.87122507122549	34.972079772081635																																																	
2021-10-14	-6.748017954400857	-53.22880431165278	-50.8899142052402	-16.29761316872391	21.652406068131675	70.05437683135969	3.704624475450546	-17.17760602592505	-257.27420264446175	-81.76351815326169	-32.78602478876128	-511.5577386547194	38.89899335232505	-253.55150558843044	-209.53673557844886	3.62240696098248	56.93626512771414	-15.536055713834939	-4.627598801958375	-46.331260298214616	-61.8906249137572	70.06143131955076	-34.176340776455326	-30.302263130980936	44.04331523283035	-7.023797534112237	67.07632827655762	7.017433949394617	118.08729604467575	141.64666845236758	-48.54095145331492	-139.61806673648067	7.233941282943997	-7.21110510466664	1.0827184844302238	-60.54059950812021	7.294486246052547	22.805669434501034	-213.3509955276351	-4.367964545740688	0.5941406319697844	0.09199925325170621	179.34658062840404	73.30325955146283	-1.7224951096167205	-1.911439030526671	6.71267278674597	10.540278082157892	147.14611472309565	11.292053798264824	4.559235720488941	0.22108911453542524	-14.406428519248438	-65.78102969943313	2.847685976574139	10.770094398584334	95.78784068311273	-501.38538485887693	14.30119300979917	-14.392683176273712	-27.90304624150711	-45.461703719937645	52.107104325452816																																																	
2021-11-12	-0.21225236678653125	-116.30624354452267	-51.905996421428156	-21.413436694687114	53.135845501309376	402.90447417291114	-4.73387637495366	-15.563641648948163	-274.2390631711115	-134.4639976157365	-80.58190157491714	-880.6921523897997	-39.117992786857414	-351.03056107561474	-151.46092607168654	45.9048590558166	48.84831710143108	-6.406065174436138	-5.144426308560302	9.200896982767503	-134.33338979733747	114.85648435115849	-81.87163285198307	-50.85594879328929	22.642674103798196	9.529353907498589	115.53274793219403	54.29903295184299	151.26794664869217	209.41124268356222	-81.77849442123703	-210.98869845246523	39.43519588944019	1.8480786952947967	83.77327184809477	-88.44270651871204	74.72827352222004	26.371099473861687	-313.5567799415935	7.641093533693347	77.42381561069993	-9.848015998502554	290.8961135052	170.80608416972646	-12.714945766040822	32.61895802775328	13.559378155600076	11.345291283778439	291.35581596395417	35.33972114954254	9.236374550278764	42.36522867236228	-5.844373074726492	-115.6517268369579	41.0400563776085	59.461284155873464	124.57590150744176	-761.5485834787135	106.82589527913736	65.64909193585703	62.32186896584864	-46.061921961219106	114.67254972395784	0.0	0.0																																															
2021-12-14	5.193109872702358	-169.31646466948587	-130.12585802760418	-15.509411973493666	38.48298413982464	616.0344173986427	-12.91072716800565	-31.52510840033126	-211.09063579830257	-174.3947778485516	-129.63050587661166	-991.8965785082848	-76.89578200944192	-284.73865114591007	-163.71552174505808	79.38560347135991	-199.14309878356238	-26.810430818219483	-45.39463103529038	26.12236611193365	-222.07145812723786	119.58340642035324	-106.96352228036554	-73.30724384161324	-21.976493437224683	8.627599009530503	129.3027001076152	65.41720615374183	150.44824730256707	158.67979237827709	-108.45063327734451	-191.58489938717224	34.26378914650108	7.887249151728414	98.66925215469675	-89.13160851825096	19.967984083063712	57.28124210328859	-318.4587844831101	27.176200649674747	125.10248842183323	-3.800198705732787	242.79622828325847	76.18798625902593	-10.100555302942741	24.550967597315342	16.89284386446683	12.413409418567676	296.6406700305669	67.19682210966673	14.202083040283341	72.3256658909184	-52.89597780537351	-158.09964822006506	68.33148667611032	90.74427004370934	83.9671366090391	-732.4896583691495	171.30202275193358	72.14041212985498	58.7495504648809	21.776292487477548	110.33813857208673	-72.49686609686759	-0.5105413105411571	0.0																																														
2022-01-14	29.378238808226588	-196.1955484036327	-152.33627611759567	-15.799859932974215	43.2011771570095	544.5442683316342	-21.231322550961135	-40.36316709841927	-92.70840562532425	-230.1239170298336	-146.41187749900246	-1245.0307026921837	-49.83581832902124	-386.5947977121382	-304.48815776556	105.73264455509126	-544.7994901603171	-13.541490729236349	-47.70872042477498	68.95094544547668	-341.47713082869967	188.6589583956997	-120.41321750453582	-96.30590196959771	-48.95663514671868	-56.347059545967575	141.88566616975	80.19560206801023	153.73637382850845	223.9181125963202	-148.6352599791099	-225.88761659370135	121.49852871660335	22.484159006180402	73.89620821080986	-94.86072081397819	-29.039262447136103	29.168208526875233	-334.43829477081215	-1.0307325289664213	100.41594742289601	-13.439323063753912	165.45853372723124	6.465101043985584	-18.599895022132902	51.606524182044105	18.89593131312994	14.200328077807551	105.2154949542018	78.32157913415283	19.69415797643586	89.97856153632806	-91.4385766364484	-230.06856066301168	84.01313256039292	80.35999892969394	23.305738963748695	-930.1196941565996	209.19442139583978	99.35465909518122	19.478484397568863	90.35869785340817	34.372713782761224	-173.5765547357584	28.48969602519501	19.464387464386526	0.0		0.0																																											
2022-02-14	50.533851247076576	-338.3464788460137	-140.4184369787834	-27.89885450028471	53.97138233962386	76.99532446055525	-42.048612511385414	-70.2825346698742	-214.50118882739474	-274.7593914649693	-233.01462254219695	-1568.399701882506	-126.64858695172526	-537.7806978228723	-459.41054263899736	54.4466759391519	-828.9241932599348	-43.58533708995694	-70.68750612394538	8.509888394033062	-454.35695418365185	293.37776181347175	-133.56351759749575	-103.2253573807584	-50.719154068438655	-207.72464527980773	147.3809625640744	47.04342826787199	158.1829934163128	373.86819900536915	-159.61658749782657	-329.0004577031749	220.38407785310528	9.081445496063552	-39.385320898627285	-140.5657363070523	-107.6709130055861	-25.08714275409701	-501.2653196996873	-50.02232869424009	-22.74366321071747	-27.907552312190532	-157.22865171384313	-300.1777961363893	-29.42901500700105	26.89932544721001	17.938743059938123	18.41772123729273	-329.8967330737622	28.975485849814987	24.54518195232135	57.62446209570993	-126.43953450539405	-375.78543662642574	53.94348111861653	11.163152456552353	-137.92903212545218	-1317.7892826036536	134.4047801123381	34.583772209381465	-83.86870599018268	81.51409121015209	-49.78347270212518	-265.75337569516387	16.582740136951614	81.33461254372844	12.444444444443798		-68.47635327635217																																											
2022-03-14	39.01885405874448	-477.9627995237086	-330.90383687198033	-41.21306180287343	111.69000289307345	-354.5958716875769	-26.62600441415245	-52.463855406827506	-385.89031043554996	-266.5261864501616	-321.48631329977593	-1563.2460889782662	-115.1733991484083	-598.0962294421242	-506.7558461217278	31.22236643391173	-1020.3651205401477	-140.64781016357026	-170.66593149937773	0.08588984495973406	-519.6898796203346	409.17345162724223	-107.49705625269195	-99.14959095952216	-49.99710693681388	-268.1515662999981	115.64575881416613	3.2212827245409557	209.34899841283942	588.6228791833396	-177.26436653616227	-356.8316766362018	315.4615835087334	-10.020904390164754	-179.777899421421	-178.61626128530702	-169.74304728351132	-90.14631659127923	-649.3681956445422	-96.2764964397473	-168.12248624719	-11.267694996153644	-410.86529829800236	-556.4230610869809	-12.812416013868681	2.69949658718415	24.45278163011607	43.67890408034024	-649.7644290993899	-1.0600642441797206	29.960518754488255	31.867732857665715	-261.4395514510867	-459.73915904988263	31.04887637171339	-50.00427842077077	-183.61588054775646	-1506.982944360153	55.59051430318809	-52.93529742945728	-174.92662025990032	44.32870635392439	-23.186573613052104	-213.4057319944699	19.189286490756842	156.7826280612332	77.31864514086512	0.0	-92.97222717348079	0.0																																										
2022-04-14	47.0443889132565	-471.395289180552	-353.5233055956887	-33.43722619364435	138.69317262340434	-353.1623977344842	-24.336437948751858	-39.17031093159902	-393.6216609992505	-240.2962878288722	-310.92581003053033	-1526.045908967044	-14.940531352326332	-846.0751119631618	-531.3469724906863	57.62060509420337	-1009.8879969979755	-146.991280741887	-194.25627982828308	-3.373192088869761	-431.7196846189877	486.2994421625069	-74.8195912823449	-72.1516753253398	-28.049656528653554	-259.5610433406596	147.87380609052087	21.435480965585697	227.60711480324994	688.1257821833624	-153.72721311518563	-541.7195432943215	412.65998678070605	11.533098882223047	-287.9123158547042	-183.9402603892342	-184.92909811341235	-138.1309465837025	-669.5967119016849	-179.33313673221477	-180.8117320636026	-40.75142792067082	-314.0668306818555	-459.4799202982183	-40.589655520745175	23.85903703261181	40.74075001837481	47.648590749048644	-1054.0743638980416	21.322111231626195	35.951747891743985	42.41143403631777	-302.11091040225773	-478.02554928353186	39.49937675050195	-52.01969909308098	-145.8973907873655	-2091.492122915123	-6.042290868348687	-87.78172059071898	-186.7393844876287	29.072030641336255	-86.84481656978384	-169.03156360225142	39.26380609569319	141.02108320388047	108.61736483018868	3.50997150997282	-194.53474686868424	62.73276353276306	0.0	0.0																																								
2022-05-13	41.390185012701735	-402.4667621262306	-385.46721384566047	-70.40132264610962	81.85243340153471	-883.4349596226456	-28.109344507873374	-39.02091068121115	-484.26735968560297	-232.90604878291742	-268.00544900125226	-1559.7032840028141	14.513867087753411	-926.9926431179406	-627.6911664715778	-49.70327441931177	-1317.18551019271	-221.5270777241932	-271.6094646718627	-51.71367767909419	-518.4941886032876	535.6320092765459	-43.75292085561307	-72.75309724261228	-51.57629341807083	-289.7037942054896	-54.143673382361044	-63.954577203190574	211.06360576126042	756.150779143229	-148.46418137912536	-603.8414558737268	328.24932699275575	-1.490169766820598	-427.89630842830496	-199.9624091108957	-298.42197238398046	-212.02263755909985	-727.066706221643	-253.57164388953493	-354.9544294552686	-31.13569652830418	-325.21740356577527	-443.9941031322966	-30.0599763343399	-30.78017331006204	44.91354274172946	78.28924532186423	-1354.016008778341	-76.1025226725773	41.9717414144105	-9.691698281444985	-321.2986611146317	-502.2444093135248	-7.348030508082672	-131.03300653249113	-171.97185800352122	-2329.709709196352	-78.80558382300089	-161.55184236250312	-225.6316946452214	-9.486692876951295	-142.08181658183543	-216.53723570974535	49.8721488050235	239.30823429052492	102.94344589925925	-63.724210030761895	-242.39665093907033	-37.374532998919896	-116.33960113960202	-11.168091168090177	0.0	0.0																																						
