	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-07-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																			
2021-08-20	-8.37606837606927	-163.77207977207945	-131.94301994302077	-29.91452991453025	-17.470085470087724	261.73219373219763	-31.19088319088314	-36.93447293447298	-187.22507122506795	-43.47578347578383	-135.61253561253397	-68.36467236467433	-125.00284900284896	32.54700854700059	-79.05413105413027	10.609686609686833	-85.75498575498932	22.256410256411982	-69.72079772079815	68.20512820512522	55.760683760683605	-8.774928774929322	-38.13105413105313	-43.47578347578337	-19.943019943019863	-64.77492877492841	160.2621082621081	70.51851851851825	27.760683760683605	-37.49287749287578	-66.37037037037044	34.94017094018636	-19.14529914529703	13.321937321937185	42.67806267806009	-67.80626780626699	-9.971509971510386	-53.52706552706695	-250.48433048432344	-2.393162393162129	29.675213675214763	22.176638176639244	41.96011396011454	85.91452991453116	17.7094017094023	65.73219373219399	-7.498575498576429	19.225071225071588	163.53276353275578	29.037037037036498	1.5954415954402066	48.90028490028271	-129.54985754985864	-158.0284900284896	45.31054131054407	39.965811965810644	-24.091168091168583	101.23076923078042	35.89743589743739	20.10256410256443	52.968660968661425	0.0	0.0																																																	
2021-09-17	2.0686195728912935	-221.2941128724633	-220.2523031468918	-19.586431928312777	-45.63644775610737	692.9955114000768	-21.05051095364479	-53.08616001493465	-315.26494103132427	-63.40153083173027	-170.3561172393056	-28.133408008055994	-26.153196808467328	-75.94233813036408	-286.6315370816774	35.23425946218049	90.54244689572442	67.3603623347226	-74.96961875309353	100.5230477025325	175.63289259016165	25.53274729912937	-35.90175404420279	-69.46420889440788	21.85595896137147	-10.524232757852587	266.9260152109164	155.43737469663392	65.46765042491552	35.269031907209865	-120.56515775034313	-4.0547398154158145	6.676991258189446	27.11750716309143	196.08477203918665	-98.22079366238722	36.814019366725915	-73.31576854084233	-354.53348592949624	-7.830618257967217	113.13385443299921	30.603615230396827	226.2427090689198	221.48956583144536	23.963669126062086	117.59950000406025	0.751812079447518	30.797704564085507	340.4483729839849	61.826316344833685	5.220412171984208	102.21076127628658	-176.20516067239805	-228.9051874578945	92.73833816284241	103.76847590522812	98.90396993530885	-120.95288187595725	127.989188399446	68.4096719994177	129.36326815529173	36.85470085470115	57.43589743589655																																																	
2021-10-20	29.213960620391845	-272.2154309668076	-226.78234208841604	-25.391068184942014	-60.88204273511292	961.6377630042552	-31.85163799337397	-76.3037363883459	-575.7603952552308	-141.46983396437645	-207.44175962792724	-497.1814668966472	-20.841894413344562	-378.9702611610119	-402.76048440147497	61.9431497658461	92.82057849504781	85.17844031818822	-70.25038031682197	159.3986479047453	125.0754164013997	147.04978414006746	-90.30441917223561	-96.61224352273939	50.526316120523916	-26.851758866889213	438.55242646469924	222.75058253194948	203.07319239347362	216.3187440365382	-170.42642811641417	-151.2666529166454	110.11409067678142	37.37765439290524	242.24575775472476	-161.21541313755552	92.91306349934166	-61.260584081082925	-586.7710466238059	-54.67955811491629	161.03867150040242	14.20191787672411	456.9114920280226	398.49576701044134	6.0949194482200255	172.4516687355317	10.238562323432234	38.39680242725626	321.217601209486	87.36975379288197	10.79301974993723	150.5513252600358	-183.22905729920603	-321.87234142728084	136.1790526407076	142.04385675912818	203.4739046291561	-672.8864788185456	167.81048522125457	124.46327879040473	235.12698298065334	2.6883872695834725	150.5217327781411																																																	
2021-11-19	41.85245904085059	-394.6043219983694	-270.4764484717998	-35.87172544372606	-25.306573926811325	1709.666447161304	-49.92258780520251	-92.50777786166418	-579.0458890744776	-228.38409044762375	-304.0137955776627	-979.1401287963017	-98.92743362612964	-578.2431893341854	-402.2830444451756	138.2427857614166	68.41944993616562	107.74042802240729	-91.5985509970451	257.55589993890317	65.93123515491607	225.42296361214176	-168.83295260106843	-140.23406844781084	23.672307443272985	23.921282031918963	581.5012965186397	345.06434271594844	279.53254074612323	338.1517806730608	-254.53509945032783	-281.7914662817784	169.23872309104445	52.16976228643125	395.3092564463295	-222.29421286154502	191.96601188245222	-49.60184316154482	-793.5466734170768	-70.41955876506472	318.2286145418111	13.155551940068108	728.7926012748685	610.9707591932929	-2.071137073715363	247.60420356804389	20.266773342810666	49.89584716418722	370.1368814293528	132.07336143687644	19.822350248330622	243.98565515886912	-211.85200699486086	-397.74264905084965	219.79580554911263	251.78047871863237	304.14295426531135	-1190.1007045847218	348.2652279138838	262.5284889110899	367.56149478991756	47.763914947687226	221.0189344533701	0.0	0.0																																															
2021-12-20	55.66492978006136	-513.8365947781022	-433.2513016385856	-34.42071075538206	-31.28811176729687	1909.0545450375066	-64.30954178535148	-117.55074166142458	-648.1721775189071	-303.3695154365196	-402.93474914993567	-1301.7899051701388	-147.41123291106487	-546.2975554033765	-524.7205710384405	187.9904460341677	-94.26997500239668	88.37172405252022	-157.93573827075852	264.51607290083484	0.9729024386688252	250.7532556359929	-221.65350782193673	-189.56473961762094	-26.753737046805327	5.354048752844392	653.4469776547048	372.42624208841517	318.0629983928284	295.33547854300923	-324.3919205871516	-282.9628560546844	197.67837842311746	59.17588941342183	434.5435160315319	-260.83407916539545	135.68024765973314	-25.303948217046127	-936.9344531164534	-46.45039051358253	336.84491049115604	26.863891426277405	735.6647797300902	553.5768555280811	10.85940140139246	251.2524379403185	28.530850086281134	61.686883956208476	560.6789171408745	179.07392740938667	29.063878698652843	283.3773876419	-323.36170254564604	-553.2451105901018	254.96225520043663	280.6421571345563	308.15268883192766	-1263.7916141783498	431.99170463415976	285.1433573656286	364.7046422782023	115.24173389836506	206.0065547464601	-101.54985754985864	-3.7492877492877597	0.0	0.0																																													
2022-01-20	76.7013107890707	-628.8381008616161	-453.01790965657347	-47.649451831402985	-15.75469427175085	1855.8109801822575	-84.6604653676859	-146.36160228332892	-592.5967946475212	-434.3652812775472	-482.1470660609775	-1946.7401299055346	-145.0277567620942	-809.7213743418833	-759.6933275313022	212.06065911356927	-642.2543395553766	80.88488505557143	-168.22344068439997	310.03169476102994	-239.94855940384514	403.3538746787708	-270.6422219371816	-236.66353053849707	-67.15301706556329	-83.12288955700205	706.3565913350467	415.8644681826445	359.7029524078498	486.57244435515713	-409.8080406164354	-415.86963885618025	341.59345449897955	77.55190480450165	386.94023204806945	-305.6065205240775	63.790486543246516	-12.99871487629025	-1103.2133750676294	-101.72867304574356	301.3238328390362	7.941776876426957	746.8647511154595	547.9311833627107	-9.048118612712642	280.6833630132969	30.851356365794345	71.73756082794898	220.63431358562957	191.8399101239247	39.562923738674726	311.3295724916625	-369.22984917323083	-704.8297159488884	280.80534532383535	272.53501450162366	266.4605698874584	-1802.748405293838	474.3188108436716	324.5009510851032	342.3557733043144	197.1888372483445	155.76031361145579	-249.11684158408025	17.606675270491905	17.948717948718695	15.156695156694695		0.0																																											
2022-02-18	126.61071117175288	-793.1402711451447	-461.66675742386724	-60.7414916849084	23.5578658090526	1451.4428199089743	-104.98485888241885	-173.88735801520988	-738.6206765044408	-532.8449806541048	-582.8274047683626	-2630.6442646138385	-213.86089930335947	-1095.8258322071924	-1034.2880133586877	188.6961746702127	-1110.1366270022372	58.22271906017886	-181.9448777243233	277.14471251746363	-473.3548493442322	547.4329480065453	-292.05910938431316	-244.30316980085263	-64.69486873763253	-258.94815017517976	780.3643332061365	398.7307197586633	420.77467760585387	689.8883298848432	-434.40690342437483	-589.9262961638451	503.82214994874084	67.45274985671949	275.8329271374023	-366.31875782191673	-5.22616944879519	-51.71115354234826	-1329.40668001437	-170.20335396928203	184.54436934704063	-13.754373005949674	458.3534494816013	249.28649795265665	-29.647479095414383	269.7510864976721	36.62552674016206	80.70903061831086	-409.74404320080066	155.22249019800438	51.72527613482089	300.8837962629368	-425.7678005290527	-900.3580567177505	271.0493008869089	212.26263762964845	113.17517105760271	-2545.968131606045	458.5201754141581	317.6557501407042	263.588360025009	219.57829044563914	106.72111826509718	-370.4286741854321	11.402866522223121	72.0914602965895	48.39733443721889	0.0	-58.153846153845734																																											
2022-03-18	138.7435951049465	-992.6802590180523	-646.4182278122134	-71.3436141720149	79.53713235886426	1083.8672775876475	-101.76340241809385	-174.00711127505792	-934.432883925052	-583.2681641468043	-708.0347652397522	-2866.539022409648	-194.7545477410713	-1293.533588857128	-1159.9415362905838	192.81008372832002	-1492.3790274007515	-6.862712634903801	-291.53352637128046	307.65041346604266	-621.2332263705248	721.8831285567221	-280.9406125479145	-267.4475803932869	-57.40492496232946	-326.90300507346547	797.6255060885414	387.7030739021684	504.6710471757342	1071.0630170675322	-494.6777286622264	-710.8775086280948	679.7469438202188	64.91406435795307	144.1581677100985	-426.4628895188325	-51.661143010096566	-147.98202539134218	-1551.3027829781786	-251.8264988071587	69.96736097756366	-32.59033803623424	191.3505385208082	-59.170580336725834	-48.639599369946154	266.0890341108134	48.230639976601196	94.31677440713247	-1100.3852738089772	149.1749675757237	65.05218725847953	298.3649254710508	-578.8073031522299	-1068.97589570512	268.8524079418876	158.3938222726356	50.103417888256445	-3128.525260407856	422.4896755715017	250.598618345055	179.7268440936441	225.2842347974165	110.40014050638092	-372.944455577539	21.48930848272903	124.05980304439072	103.40470328165065	-25.367521367521476	-135.28117466578988	0.0																																										
2022-04-20	159.99022958132355	-1053.5428676476186	-813.0762946086397	-84.34136125824352	122.88798640947425	928.8737070784846	-108.76923108657911	-159.03532694844216	-1092.1155776714004	-617.4029299698959	-741.8236115892469	-3265.185467720781	-88.14125751145548	-1805.1902803765115	-1338.0240225045727	251.91004001341025	-1844.2512325289208	-70.93975783606402	-387.2336525035553	348.7856445401012	-688.8503795806391	960.8183625654729	-267.99090006870847	-260.9943684028208	-48.32699266017062	-402.10520757128324	794.4811201008124	406.5537436852319	580.2061396059726	1349.5210994235713	-503.15569454758406	-1054.564327412023	902.6880564680141	86.5955607408805	-47.201352270953066	-481.4879170361437	-105.72089559504457	-255.2257907956391	-1749.7535441836808	-400.2568658589771	-20.199438867213757	-72.74284239858207	172.07075883903963	-98.18201682742074	-86.97656426458161	300.1533630486192	77.35452482023265	121.5329067270668	-1892.9117619058816	196.74257842635234	79.8575770304742	326.57532669711327	-722.3475709834693	-1221.7679245903237	295.09868944716436	135.60322537158208	27.63861505884779	-4379.799076302064	351.1553560301436	197.19945675763665	113.57064962783079	204.45231957675787	19.16974322526403	-359.8164272599315	57.86484781380568	157.7779085813363	160.87879906253875	-95.44899797891412	-283.7509485749688	79.6125356125358	0.0	0.0																																								
