	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-07-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																			
2021-08-31	6.637037037037226	-9.31737891738012	-2.616524216523976	13.146438746438799	-5.679772079772374	303.00626780625896	-3.2547008547007863	-14.86951566951575	-54.436467236466704	34.78062678062561	-15.63532763532712	234.7851851851854	-23.165811965809553	-9.955555555562023	-31.462108262107357	13.593162393161037	104.3418803418812	14.03988603988546	8.551566951566201	25.846153846153175	76.3259259259241	-3.5099715099706374	6.317948717949184	-10.019373219373302	12.3168091168096	37.141880341879734	23.867806267805282	50.99031339031353	26.675783475784556	-34.78062678062561	-3.1270655270651333	11.295726495725102	-25.20797720797709	15.443874643874732	55.20227920227626	-9.572649572648515	22.910541310541156	12.508262108263443	-27.441595441597748	2.871794871795282	66.49800569800428	3.8290598290608613	20.54928774928849	54.24501424501359	1.8507122507129679	39.247863247862554	1.914529914529703	5.488319088319258	40.268945868941955	20.485470085470297	1.5954415954416619	32.99373219373083	-8.168660968661424	-58.010256410254804	31.653561253560476	45.31054131054261	38.162962962963505	-17.42222222222481	45.31054131054261	15.762962962963503	25.84615384615463	0.0	0.0																																																	
2021-09-30	20.389507228026485	-97.67444355159415	-21.471789352355408	-4.221638460726245	-47.98546505304344	319.8691127507062	-3.010666471863078	-33.33162036022477	-204.21550604296965	5.346865691022829	-78.63354355890013	79.04975836234865	6.2755126987642145	-189.9369673947501	-198.2199183448148	-6.0720598047104435	132.12492755740706	-7.2843045105153585	-10.10497252457426	11.595178610558506	73.72263796559942	42.02620433275864	-21.721241873035908	-37.06635368219388	39.01884692494394	35.1603691528461	72.49417520961491	61.52608241816342	58.72050519070471	2.75797761381895	-46.01457195964292	-75.92654734946322	-40.58621602097497	14.897806348974118	70.50888223309593	-50.46777217717172	24.91292505742487	45.89304567332991	-187.04920901616103	-23.565081452260785	38.999428900734635	10.103917987679887	236.33019082637446	215.08261783589492	6.100350484169321	45.618720627267024	6.966488908369065	22.157420150810502	41.16126589881023	-1.4909333528135909	4.741779693351127	43.57248269088625	-36.071416303440635	-57.88393016290531	40.76363276271848	47.36397918848117	131.79009391157683	-437.2261601772695	44.81127263577538	9.655848897329124	21.167828183214006	-26.803418803418754	-13.529344729344302																																																	
2021-10-31	27.049208862242025	-132.31077118750278	-13.219386944794444	-12.92830136137482	-43.59283743890567	503.7036822912064	-13.981332793321998	-35.96239046992297	-333.4499836715092	-67.97368064061291	-102.86982619350694	-349.40202912975985	-65.09789404778624	-482.06333886539704	-237.96386734585766	28.617855109262454	133.77734429256432	2.6909228874393736	-15.202592085373471	23.02959768683114	28.636430726419313	103.05715458751455	-81.77317476485689	-54.521186196572614	31.83090678117491	10.978246493031385	153.70790386533645	92.02572957766765	127.03350932415327	105.98693572782784	-86.51733543861837	-241.4677072298741	1.4474283964325458	19.321373282041282	101.00894008079601	-99.16374832399626	41.91995591259236	74.04318612261943	-370.6058383521831	-27.365539182477573	80.9353994567159	-2.4151409249424476	285.2766853645325	224.9335879673717	-10.144911304253677	53.15350950711942	16.256924143903102	21.68046605275478	44.09972443048144	36.84476119955973	8.68444595588348	69.69766347708058	-35.16742784717336	-104.9221881723834	64.08280978257075	74.2281373072252	140.99427805750875	-1034.9862350973008	63.322771279351954	48.532294015168326	84.60164336828043	-46.476713663037515	28.763839254551566	0.0	0.0																																															
2021-11-30	3.1340188735250063	-266.83507835309797	-73.3840268027443	-48.39491757856297	-40.24727406670261	900.1726119051116	-36.73487326975514	-71.71888795792083	-367.28708855231355	-143.6156393831714	-227.98397553750328	-653.9864799668223	-208.59748857516027	-420.01738900490034	-256.7371348840447	51.90532400073053	-20.462447089207288	-30.403436534532986	-51.70499610496737	42.253104396878996	-25.526600366682423	110.69618222770731	-155.04570367138376	-96.45049615858947	-46.77413244008149	1.437815959068466	234.14647641480332	110.89357929433997	161.11185832529694	36.37166432737597	-152.5611012932157	-226.57075719624515	1.4435722744985497	13.437444545474808	139.52196614288874	-156.0330886290705	18.01347403658334	88.26962680371552	-575.9369885345062	-7.781857470453414	158.9033649982175	10.515432758042948	365.1781464942636	253.22597097103494	0.6313389903362957	48.64870296560982	13.63999534958992	30.66248473885987	48.193747218203264	46.62492574971396	13.857025552388325	102.63467675997289	-60.9751653489894	-115.70166224622011	93.21641445872385	131.78595763037708	129.28222087204296	-998.8328506603159	173.81119020204758	97.69201718139459	153.13006673699903	-23.593321160881487	14.099047911399392	-32.16410256410454	4.148148148148903																																															
2021-12-31	10.887934650188388	-231.86035469818978	-134.24499914953992	-27.507938517059756	-34.450755366922365	1152.6403814669427	-41.34647434650764	-74.18867706723074	-178.7291666378195	-163.4513479206928	-196.5438318550208	-752.0502551814202	-177.04890869119555	-368.8515555927845	-257.8614914466208	113.48523787295409	-154.83301814798222	-10.001642502921948	-66.93117320174527	88.86716458968417	-77.18444683146258	123.46530095175854	-150.659771120414	-105.86392389340511	-64.4447265599834	39.989596071102774	254.97615648729493	166.66718759892294	170.9407622056777	73.54298315235167	-161.37001344376097	-203.24891569187483	46.755573634526954	29.450567905197193	210.3956638708242	-131.4064681999503	9.816666480889005	112.47784480965878	-488.6400812581519	-15.074539234875598	210.65282808631162	15.784992962571323	368.3928932312922	203.90567650415232	4.548172138629246	93.20161290641174	20.641355464021533	34.24728086342698	158.24201251093746	105.59861859385646	19.497752865299198	151.21856857124322	-116.07332224814606	-191.69641803345615	136.89059641914187	170.6751540928969	129.2217391356013	-1002.1244660369136	249.79843135000647	123.31108123263701	116.63224155024457	78.42480482982009	-15.745805111429538	-113.36111622470838	38.62150469558051	0.0	0.0																																													
2022-01-31	17.95757940227293	-310.78266765575637	-133.01467593236475	-50.38085433477572	-29.576986432714023	543.5156311525001	-58.31033380725074	-94.68048639142208	-278.38884168899153	-242.68673406353065	-240.4225460427627	-1202.4041662791042	-243.67541818733213	-485.8270204967559	-453.5997005204765	57.35027792813948	-665.3417276880725	-48.56690811914838	-92.44089297612541	51.40467015852725	-299.7591236362696	229.43925162214927	-174.44965572440705	-124.66711715693958	-99.39203681848053	-110.08841894164874	274.2958554103343	104.61429660565898	179.2799727306969	202.33328544368496	-189.12465833158103	-275.59957170193104	114.47880964441381	21.841895074150663	66.97578666198393	-182.73111067628088	-118.63342803688693	74.79141188770899	-673.5402634062131	-39.4343292299638	44.303194527565495	8.346260097599224	71.41122167504528	-75.86253866510597	0.7590792475353325	66.5270664166553	12.707916289128733	42.60715665488711	-55.2286633367512	46.88849770999229	25.091770527944966	106.0138416134478	-147.95902194693574	-321.504567940456	96.32833842893899	80.2446964599095	-36.90061704122155	-1257.0435305965145	163.229937191285	62.09657078580442	15.634357981701783	82.90494792988801	-78.329893546848	-238.26219397903	41.3226073501691	95.4074074074073	8.934472934472433		0.0																																											
2022-02-28	34.844354774393196	-392.87692181617916	-161.4235013829264	-44.165481089569795	23.414672223234042	8.794096017798665	-53.65913219492954	-78.78269676004595	-346.96311001125883	-251.0612899524944	-280.4153410098809	-1389.0070648328094	-214.05136231123402	-556.0847516654293	-561.1036780989053	24.632214851966012	-888.7414823227509	-99.36778259204166	-119.01912508908765	-19.677926426096626	-435.42132557694714	304.152777604682	-147.1825208776853	-100.7969086157554	-81.14257617179439	-197.14036192039526	257.9736312638786	44.34901789577077	190.62602658898206	380.69785603155333	-170.38949128093918	-323.65911012003676	199.13874375307807	1.052968402828256	-56.9319577114598	-197.50509654034394	-176.01040189968225	43.57556025384123	-716.2819387483593	-67.70009133745785	-86.75416142560985	-2.9216146438752197	-124.41682664821724	-266.84818222318313	-6.7057734238067095	36.532718182039915	16.79656573000617	42.25651987321177	-482.74983401242935	6.221443509701103	30.62516293567797	58.33350147485109	-182.24071971952668	-376.1619289406359	52.993619148535146	1.512816497199026	-87.01454167843353	-1455.9976185403937	99.6837067798493	8.236143945854138	-50.07736966865514	60.28789778971381	-79.92600662249725	-271.33792847054747	35.10560678211108	154.45529175899603	42.12547625425097	0.0	-2.2336182336177446	0.0																																										
2022-03-31	58.64274435090374	-412.21844449689337	-220.4008496753848	-30.473204394214576	63.72073965905551	134.18124552471863	-34.113746445391044	-64.08770314457988	-356.5045392865246	-227.34831445635456	-282.1793555532351	-1337.423291748522	-81.70456329091047	-716.1717948665936	-537.0837609225855	64.21849337072585	-945.2537191502335	-93.3641090082175	-142.04982997566265	50.844148341239006	-409.395590063837	413.3752935259855	-97.17642587517975	-87.38603316068799	-49.914159444826296	-194.4293308597506	216.32470325416125	91.1363791183291	221.5260329289032	565.8768785897805	-162.3570503107665	-422.09566088796504	331.9611274319109	12.019078857345	-106.46329955946827	-183.6779716584537	-153.64996497988147	-39.41966714857544	-663.814657182815	-123.90050805714574	-64.81676025085775	-28.947167521739495	-151.27004117740563	-283.45952338323605	-29.916350436355245	75.69937692492718	28.933622843742093	44.792303988388426	-850.528894871939	36.92752695289228	35.696868429653485	90.28283813851539	-236.55245669851323	-402.5212883879464	81.80312338834722	20.327214100237825	-68.54737575900148	-1712.5737914744295	100.44973191983851	12.716290701953056	-69.7557298361029	57.34532312388281	-112.59145341598438	-204.49332286167152	60.048508254064025	118.66232033349857	75.6014420887868	11.74245014245098	-70.711426043619	62.41367521367647	0.0	0.0																																								
2022-04-30	56.54640618176636	-361.87546661220404	-251.48409864275877	-38.07847917648296	79.58624213483479	-229.12037398886866	-24.240222776899557	-44.51673472429616	-424.67163659474136	-186.86492070620028	-241.82447253172438	-1274.4974532254805	-1.1720490558132326	-895.6705463764401	-606.4799195903179	81.16999363148864	-1124.3434999932995	-143.7558078866664	-192.2775125724983	56.65609833089701	-436.57786258935334	481.0809526346319	-62.1213273771578	-59.272891497045606	-40.53674329494662	-220.224525491875	144.9840534862036	60.686658390315046	280.0433857160097	689.7658268332958	-125.15455524175036	-555.4303132345674	356.55285055177114	25.885236241306487	-253.6375021332692	-186.05378796285834	-202.7490200691106	-136.70781406996124	-667.1433178832845	-211.29299298365783	-188.00570723926603	-39.37118559343679	-149.02018272945705	-264.30914709709106	-39.05584955056853	70.02670664400188	50.263218244831464	66.00535399073587	-1276.9415113004738	41.24146317286555	42.11031752231793	70.5787127833058	-255.36000763657432	-449.3689965926051	64.66217690942767	-34.32125331869486	-75.17057459697305	-2193.341981738007	19.492228778350153	-52.693253544065215	-155.2448385585626	19.915716320467673	-196.77637609035784	-193.6962137280887	74.93383210526264	169.89690602197382	109.88154703506078	-80.32967524614156	-190.67972075466224	90.14206832736818	-99.93846153846098	-82.643874643874																																								
