	연도	수출액	증감	일평균
0	200207	134.0	17.6	5.6
1	200208	139.6	18.6	5.7
2	200209	139.0	11.7	6.3
3	200210	150.9	24.8	6.1
4	200211	152.0	23.1	6.2
5	200212	150.3	26.1	6.6
6	200301	143.2	25.8	6.0
7	200302	133.4	21.0	6.0
8	200303	153.8	16.1	6.5
9	200304	157.2	19.2	6.5
10	200305	146.8	3.5	6.3
11	200306	156.6	21.4	6.9
12	200307	154.3	15.2	6.2
13	200308	153.8	10.1	6.5
14	200309	170.2	22.4	7.8
15	200310	189.3	25.5	7.6
16	200311	182.4	20.0	7.8
17	200312	197.3	31.3	8.0
18	200401	190.0	32.7	8.8
19	200402	191.4	43.5	8.4
20	200403	211.8	37.7	8.5
21	200404	214.8	36.7	9.4
22	200405	208.3	42.0	9.3
23	200406	216.6	38.3	8.7
24	200407	210.0	36.1	8.8
25	200408	197.9	28.8	8.3
26	200409	208.3	22.4	9.9
27	200410	226.6	19.7	9.6
28	200411	230.7	26.5	9.6
29	200412	232.0	17.6	9.5
30	200501	224.6	18.3	9.8
31	200502	204.0	6.6	10.7
32	200503	239.5		10.0
33	200504	228.7		10.2
34	200505	231.2		10.1
35	200506	237.1		10.3
36	200507			9.9
37	200508			9.7
38	200509			10.9
39	200510			11.3
40	200511			10.8
41	200512			10.5
42	200601			10.3
43	200602			10.8
44	200603			11.2
45	200604			11.4
46	200605			12.2
47	200606			12.2
48	200607			11.5
49	200608			11.4
50	200609			12.6
51	200610			13.7
52	200611			12.8
53	200612			12.8
54	200701			11.7
55	200702			12.8
56	200703			12.9
57	200704			13.0
58	200705			13.2
59	200706			14.2
60	200707			13.1
61	200708	310.0	13.6	12.9
62	200709	293.2		15.0
63	200710	344.3	22.9	14.3
64	200711	358.1	17.0	14.9
65	200712	330.3	14.8	15.4
66	200801	322.8	14.9	13.4
67	200802	311.8	18.9	15.6
68	200803	359.9	18.4	15.6
69	200804	378.5	26.4	16.5
70	200805	393.8	26.9	17.5
71	200806	372.6	16.4	16.9
72	200807	409.6	35.6	16.4
73	200808	366.1	18.1	16.3
74	200809	374.3	27.6	16.6
75	200810	371.1	7.8	15.5
76	200811	288.4		12.8
77	200812	271.2		11.3
78	200901	211.3		9.8
79	200902	253.9		11.5
80	200903	278.9		11.6
81	200904	303.3		12.6
82	200905	278.2		12.6
83	200906	322.1		13.7
84	200907	319.1		12.8
85	200908	289.5		12.6
86	200909	339.2		14.1
87	200910	339.7		14.8
88	200911	339.2	17.9	14.8
89	200912	360.1	32.8	15.1
90	201001	307.4	45.4	13.7
91	201002	330.4	30.1	16.1
92	201003	373.1	33.8	15.5
93	201004	393.0	29.6	16.4
94	201005	388.9	39.8	18.1
95	201006	420.5	30.5	18.3
96	201007	404.2	26.7	16.5
97	201008	364.8	26.0	15.2
98	201009	394.1	16.2	18.8
99	201010	433.4	27.6	18.4
100	201011	412.6	21.4	17.2
101	201012	441.5	22.6	18.0
102	201101	444.7	44.7	19.3
103	201102	384.7	16.4	20.2
104	201103	480.4	28.8	20.0
105	201104	485.4	23.5	20.7
106	201105	474.2	21.9	21.6
107	201106	467.4	11.2	20.3
108	201107	489.5	21.1	20.8
109	201108	457.6	25.4	19.1
110	201109	465.2	18.0	21.1
111	201110	466.4	7.6	20.7
112	201111	460.6	11.6	19.2
113	201112	489.2	10.8	20.0
114	201201	412.1		18.7
115	201202	463.2	20.4	20.1
116	201203	473.3		20.1
117	201204	461.0		21.0
118	201205	469.1		20.9
119	201206	471.7	0.9	21.0
120	201207	446.7		18.6
121	201208	430.5		17.9
122	201209	454.2		20.6
123	201210	470.9	1.0	20.5
124	201211	477.9	3.9	19.9
125	201212	450.3		20.9
126	201301	456.7	10.9	19.0
127	201302	423.4		20.7
128	201303	473.2	0.0	21.0
129	201304	461.7	0.2	19.2
130	201305	483.1	3.1	21.0
131	201306	466.9		21.7
132	201307	458.3	2.6	18.3
133	201308	463.0	7.6	19.7
134	201309	446.6		22.3
135	201310	504.9	7.2	22.0
136	201311	478.8	0.2	20.4
137	201312	480.1	7.0	20.9
138	201401	455.6		20.7
139	201402	429.1	1.4	20.0
140	201403	490.7	3.7	21.3
141	201404	502.7	8.9	20.9
142	201405	475.8		22.1
143	201406	478.3	2.4	22.8
144	201407	482.1	5.2	19.3
145	201408	461.2		20.5
146	201409	474.5	6.3	22.6
147	201410	516.4	2.3	22.5
148	201411	467.6		20.8
149	201412	497.0	3.6	20.7
150	201501	451.1		19.2
151	201502	414.8		21.8
152	201503	468.2		19.5
153	201504	462.2		19.3
154	201505	423.2		20.6
155	201506	465.6		19.8
156	201507	457.0		18.3
157	201508	391.1		17.8
158	201509	434.3		20.2
159	201510	433.5		18.8
160	201511	442.9		19.3
161	201512	423.8		17.7
162	201601	365.1		16.2
163	201602	360.9		18.0
164	201603	430.1		17.9
165	201604	410.4		18.2
166	201605	397.8		18.5
167	201606	452.1		19.7
168	201607	408.8		17.4
169	201608	401.2	2.6	16.7
170	201609	408.5		19.5
171	201610	419.8		18.7
172	201611	453.1	2.3	18.9
173	201612	450.7	6.3	18.4
174	201701	402.8	11.1	18.7
175	201702	431.8	20.2	19.6
176	201703	486.5	13.1	20.3
177	201704	508.7	23.8	22.6
178	201705	450.3	13.3	21.4
179	201706	512.7		22.3
180	201707	488.3		20.8
181	201708	471.1		19.6
182	201709	551.2		23.5
183	201710	447.9		24.9
184	201711	497.1		20.7
185	201712	490.4		21.8
186	201801	492.3		20.5
187	201802	445.7		22.9
188	201803	515.5		21.9
189	201804	500.9		21.8
190	201805	508.4		23.6
191	201806	510.8		23.8
192	201807	518.1	6.1	21.6
193	201808	511.8	8.7	21.3
194	201809	506.5		26.0
195	201810	548.6	22.5	23.9
196	201811	514.8	3.6	21.4
197	201812	482.1		21.4
198	201901	461.8		19.2
199	201902	394.8		20.8
200	201903	470.1		20.9
201	201904	488.1		20.3
202	201905	458.9		20.0
203	201906	440.1		20.5
204	201907	460.8		18.4
205	201908	440.2		18.7
206	201909	446.3		21.8
207	201910	466.5		20.3
208	201911	440.4		18.7
209	201912	456.7		19.9
210	202001	431.1		20.1
211	202002	408.8	3.5	18.2
212	202003	462.7		19.3
213	202004	363.5		16.5
214	202005	349.0		16.2
215	202006	392.0		16.7
216	202007	428.0		17.1
217	202008	395.0		17.9
218	202009	478.0	7.1	20.8
219	202010	448.0		21.3
220	202011	458.0	3.9	19.9
221	202012	513.0	12.4	21.4
222	202101	480.0	11.4	21.3
223	202102	447.0	9.3	22.9
224	202103	537.0	16.3	22.4
225	202104	512.0	41.2	21.3
226	202105	507.0	45.5	24.2
227	202106	548.0		22.8
228	202107	555.0		22.6
229	202108	532.0		23.1
230	202109	559.0		26.6
231	202110	557.0		26.5
232	202111	603.0		25.1
233	202112	607.0		24.8
234	202201	555.0		25.2
235	202202	540.0		27.0
236	202203	638.0		27.7
237	202204	578.0		24.6
238	202205	616.0		26.8
239	202206	577.0		26.2
240	202207	602.0		25.6
241	202208	566.0		23.6
242	202209	572.0		26.6
243	202210	524.0		24.4
244	202211	518.0		21.6
245	202212	548.0		22.4
246	202301	464.0		21.6
247	202302	501.0		22.7
248	202303	551.0		22.9
249	202304	496.0		22.0
250	202305			24.3
