	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2025-01-09	7888.606882515547	17802.299234289538	18431.413135780975	7241.4338293288	16062.678879736235	136865.89718081127	2617.3603714293854	5837.350014753936	27745.48328032891	9824.646492858075	15154.830273140278	38148.137729163616	29284.669508558854	110548.81753983595	7790.85013344239	12083.946884580722	29036.842188468065	11762.630083652137	9627.508087212773	33642.1848832883	23239.472470095578	14941.750039104922	6629.038942731528	2715.107489878609	2936.528942863669	12228.518862599793	21438.59124292729	30882.86142747019	9676.179064181852	15356.243151634277	6294.7510678748795	115119.94868619877	13734.980823300237	7621.649751348005	19453.001473678487	11755.498497534776	13439.350359960208	11902.84046109162	42731.21400270017	7406.819762385401	24451.965643871445	12574.492398047727	15778.477033066602	12868.926358838035	11746.02962984269	27359.001277358693	3692.718176559797	12982.342616369682	90808.48723511028	11167.911256041552	55451.72003956524	21239.14831281024	6961.500206937751	5370.388378569401	19398.804829018147	20506.21844660186	16486.56823563452	78909.42926903373	25232.032707878592	11350.88023739206	6524.16097189833	10316.480398575859	5906.738834942859	6108.930306857857	12448.371390953016	7654.906037961242	18210.540991156027	11710.017366394697	7786.015999021271	14352.75847253298	6823.113155214138	6126.602989769066	22066.833831739357	26927.593761166383	113395.0599218088	14172.290344098445	95223.30680943436	113301.6268158996	11853.671750770241	11245.210404775946	27033.75479704395	14122.005457708976	17064.03585491558	20535.619254230296	10730.510101371301	11782.70012091971	12201.038708347382	17265.12887878294	17486.607207401732	7382.125026539514	13373.767125292576	11938.092924832588	9255.756560319931	52781.77495118604	59304.637731622424	12022.26117449066	12243.050156010902	9529.919049454693	1038512.5769710012	12917.995399296902	12612.271124651137	14908.340264873565	16064.566679825506	50808.16852829165	15864.01097438073	10796.359534762392	10787.932754697358	8187.48336247139	13093.432184549685	9529.338600039511	102795.76235316222	7974.733695260695
2025-01-10	7931.803441257774	18042.14961714477	18316.706567890487	7263.7169146644	16163.339439868118	136675.44859040563	2639.680185714693	5906.175007376968	27725.741640164455	9855.323246429038	15339.91513657014	38166.06886458181	29387.83475427943	110353.40876991797	7767.9250667211945	12017.47344229036	28985.921094234032	11761.815041826068	9601.754043606386	33653.59244164415	23259.23623504779	14990.87501955246	6614.019471365764	2691.0537449393046	2941.2644714318344	12201.259431299895	21386.295621463643	30909.430713735095	9675.589532090926	15413.121575817138	6289.37553393744	115042.97434309938	13661.990411650118	7617.824875674003	19436.500736839243	11772.749248767388	13388.675179980104	11873.92023054581	42813.10700135009	7380.909881192701	24370.482821935722	12589.246199023863	15623.2385165333	12787.963179419017	11751.014814921346	27338.500638679347	3694.3590882798985	13012.671308184841	90692.74361755514	11159.955628020776	55458.860019782616	21237.57415640512	6917.750103468876	5331.194189284701	19403.402414509073	20475.10922330093	16573.28411781726	78693.71463451686	25165.016353939296	11261.440118696031	6498.580485949165	10327.24019928793	5887.369417471429	6067.465153428929	12456.685695476508	7674.953018980621	18302.770495578014	11648.00868319735	7761.007999510635	14362.87923626649	6795.056577607069	6098.301494884533	22030.91691586968	26817.29688058319	113362.0299609044	14181.645172049222	95132.65340471719	113236.8134079498	11895.33587538512	11251.105202387973	27026.877398521974	14090.502728854488	17005.51792745779	20430.309627115148	10717.75505068565	11812.350060459856	12254.519354173692	17286.06443939147	17510.803603700864	7352.562513269757	13352.883562646288	11963.046462416294	9258.878280159966	52790.387475593016	59417.81886581121	12046.13058724533	12258.525078005452	9541.959524727346	1038654.2884855006	12927.497699648451	12649.13556232557	14905.170132436782	16032.283339912752	50705.08426414583	15837.005487190365	10808.679767381196	10810.966377348679	8171.741681235695	13053.216092274843	9514.169300019756	102812.88117658111	7986.366847803694
2025-01-13	7968.401720628886	18106.574808572383	18178.353283945245	7227.3584573322005	16253.16971993406	135737.22429520282	2633.3400928573465	5898.0875036884845	27316.87082008223	9855.661623214519	15369.95756828507	37992.53443229091	29344.417377139715	110079.20438495898	7721.962533360597	11885.73672114518	28570.460547117014	11611.407520913035	9481.377021803193	33514.29622082207	23080.118117523896	15172.937509776231	6606.509735682882	2681.5268724696525	2938.632235715917	12083.129715649948	21248.14781073182	30700.71535686755	9650.294766045463	15809.06078790857	6279.18776696872	114903.4871715497	13697.99520582506	7564.412437837002	19363.25036841962	11711.374624383694	13176.337589990053	11796.460115272905	42571.55350067504	7340.45494059635	24121.74141096786	12569.123099511931	15460.61925826665	12652.981589709509	11726.507407460673	27175.250319339673	3681.679544139949	13052.835654092421	90567.87180877756	11018.977814010388	55464.93000989131	21110.78707820256	6868.875051734438	5324.09709464235	19284.701207254537	20331.054611650463	16565.14205890863	78389.85731725843	24858.008176969648	11162.220059348016	6475.790242974583	10174.120099643966	5833.184708735715	6046.732576714465	12417.842847738255	7754.9765094903105	18436.385247789007	11497.504341598675	7711.003999755318	14293.439618133245	6731.028288803534	6084.150747442267	21870.458457934837	26594.648440291596	113199.5149804522	14098.322586024611	94851.8267023586	113120.4067039749	11896.66793769256	11216.552601193987	26718.938699260987	13965.751364427244	16841.758963728895	20469.654813557572	10654.877525342825	11761.675030229928	12249.259677086846	17141.032219695735	17423.401801850432	7312.781256634878	13258.941781323145	12003.023231208146	9232.939140079983	52799.69373779651	59611.90943290561	12083.065293622665	12218.262539002726	9529.479762363673	1038759.1442427502	12909.748849824226	12643.067781162785	14751.585066218391	15924.641669956376	50627.042132072915	15756.502743595182	10819.339883690598	10807.98318867434	8155.3708406178475	12964.108046137422	9501.584650009878	102821.44058829056	7964.683423740294
2025-01-14	7981.700860314443	18233.28740428619	18347.676641972623	7204.1792286661	16206.08485996703	135396.6121476014	2627.6700464286732	5919.043751844242	27114.935410041115	9831.330811607259	15451.978784142535	37863.267216145454	29412.70868856986	110043.60219247949	7745.981266680299	11902.86836057259	28377.730273558507	11531.203760456518	9431.188510901597	33604.648110411035	23134.559058761948	15298.968754888116	6639.2548678414405	2664.2634362348263	2937.3161178579585	12131.064857824975	21226.573905365913	30683.857678433775	9597.647383022731	16017.030393954285	6264.59388348436	114966.74358577485	13845.49760291253	7567.706218918501	19211.62518420981	11708.187312191847	13172.668794995026	11904.730057636452	42515.77675033752	7342.727470298175	24091.370705483932	12536.561549755967	15614.309629133324	12793.990794854755	11699.253703730337	27266.625159669835	3682.3397720699745	13037.91782704621	90409.43590438878	11011.488907005194	55467.965004945654	21088.89353910128	6956.437525867219	5395.048547321176	19264.850603627267	20284.02730582523	16684.571029454317	78696.42865862921	24752.004088484824	11162.110029674008	6554.395121487291	10082.560049821983	5875.092354367857	5962.866288357232	12461.421423869127	7757.488254745155	18448.1926238945	11444.752170799336	7806.001999877659	14228.719809066622	6674.514144401767	6204.5753737211335	21830.22922896742	26475.824220145798	113232.2574902261	14076.161293012305	94775.9133511793	113141.20335198745	11919.33396884628	11250.776300596994	26603.969349630494	13964.875682213622	16814.379481864446	20773.827406778786	10686.938762671412	11738.837515114963	12337.129838543424	17130.016109847867	17486.700900925214	7312.890628317439	13157.970890661572	11993.011615604073	9233.469570039992	52806.846868898254	59571.454716452805	12074.032646811333	12255.131269501362	9560.239881181837	1038856.0721213751	12910.874424912112	12574.533890581391	14652.292533109196	15892.820834978189	50566.021066036454	15730.75137179759	10815.169941845299	10789.49159433717	8143.185420308924	12927.554023068711	9478.292325004939	102830.72029414529	7945.3417117980935
2025-01-15	8020.850430157221	18269.643702143097	18364.83832098631	7223.58961433305	16217.542429983514	134760.30607380072	2615.3350232143366	6031.521875922121	27009.467705020557	9760.66540580363	15471.989392071268	37503.63360807273	29485.85434428493	109885.80109623974	7747.9906333401495	11936.434180286295	27858.865136779255	11451.10188022826	9396.094255450798	33804.82405520552	22903.279529380976	15424.484377444058	6670.62743392072	2645.631718117413	2951.1580589289792	12097.532428912487	21237.786952682956	30610.42883921689	9526.823691511367	16113.515196977143	6222.79694174218	114929.87179288742	13926.748801456266	7597.853109459251	19123.312592104907	11694.093656095924	13235.334397497514	11923.365028818225	42455.38837516876	7338.863735149087	24011.685352741966	12512.780774877983	15576.154814566662	12789.995397427378	11676.126851865169	27253.312579834917	3686.669886034987	13022.958913523105	90178.21795219439	11061.744453502597	55474.48250247283	21036.44676955064	6980.2187629336095	5388.524273660588	19212.925301813633	20191.013652912618	16788.78551472716	78840.21432931461	24634.002044242414	11157.055014837004	6588.697560743645	10058.780024910991	5881.046177183929	5957.933144178616	12505.210711934564	7788.744127372578	18421.59631194725	11415.876085399668	7863.000999938829	14240.85990453331	6636.257072200884	6207.287686860567	21727.61461448371	26346.4121100729	113137.12874511305	14055.580646506152	94723.95667558965	113082.10167599373	11928.16698442314	11289.388150298497	26517.48467481525	13945.43784110681	16758.689740932223	21032.913703389393	10742.469381335706	11700.418757557482	12300.064919271712	17206.508054923936	17445.850450462607	7302.94531415872	13094.985445330785	11981.005807802037	9233.734785019995	52815.42343444913	59491.2273582264	12062.016323405667	12299.565634750681	9596.119940590917	1038940.0360606876	12896.437212456056	12591.266945290696	14570.146266554599	15795.410417489094	50476.51053301823	15591.375685898794	10803.58497092265	10775.745797168585	8123.592710154462	12811.777011534356	9449.14616250247	102837.86014707264	7937.670855884759
2025-01-16	8045.425215078611	18210.82185107155	18500.919160493155	7274.294807166525	16302.771214991757	135769.65303690036	2631.1675116071683	6102.76093796106	27293.73385251028	9800.832702901815	15484.494696035634	37738.81680403637	29610.927172142467	110190.90054811987	7739.495316670074	11955.717090143147	27884.432568389628	11476.05094011413	9478.5471277254	34007.41202760276	22946.639764690488	15527.24218872203	6683.81371696036	2693.8158590587063	2960.5790294644894	12210.766214456244	21203.89347634148	30780.714419608445	9548.411845755683	16374.257598488572	6241.3984708710905	115162.43589644371	14092.374400728133	7638.426554729625	19151.656296052453	11767.046828047962	13396.667198748757	11915.682514409113	42735.19418758438	7384.4318675745435	24254.842676370983	12528.39038743899	15662.07740728333	12854.997698713689	11694.063425932585	27305.65628991746	3691.3349430174935	12995.979456761554	90626.6089760972	11116.372226751299	55485.24125123641	21177.22338477532	7041.609381466805	5335.2621368302935	19339.96265090682	20345.00682645631	17015.89275736358	79089.1071646573	24866.001022121207	11234.027507418501	6640.848780371823	10163.890012455497	5906.523088591965	6006.966572089308	12577.105355967282	7706.872063686289	18375.798155973625	11592.938042699834	7814.500499969415	14329.429952266655	6666.628536100442	6183.643843430284	21935.807307241856	26736.206055036448	113245.56437255652	14120.790323253077	95041.97833779483	113240.55083799687	12000.58349221157	11347.694075149248	26827.742337407624	14071.718920553405	16917.844870466113	21157.456851694697	10823.734690667854	11661.209378778742	12284.032459635855	17480.754027461968	17626.4252252313	7354.47265707936	13085.492722665393	11955.002903901019	9272.867392509997	52827.21171722456	59383.6136791132	12041.008161702834	12362.78281737534	9640.559970295459	1039115.5180303438	12919.218606228027	12636.133472645348	14706.0731332773	15905.205208744548	50705.25526650911	15623.687842949397	10807.292485461325	10792.872898584294	8162.796355077231	12913.388505767178	9490.073081251234	102851.43007353632	7973.335427975594
2025-01-17	8010.212607539305	18127.910925535776	18563.959580246577	7297.1474035832625	16397.88560749588	135959.82651845017	2646.583755803584	6182.88046898053	27556.86692625514	9798.916351450907	15410.747348017816	37628.90840201818	29877.963586071233	110406.45027405993	7757.247658335037	12068.858545071573	27774.716284194816	11643.525470057066	9514.7735638627	34348.70601380138	22916.319882345244	15661.121094361015	6707.40685848018	2730.407929529353	2982.7895147322447	12274.383107228121	21221.44673817074	30872.85720980422	9556.705922877842	16452.128799244285	6262.699235435545	115276.21794822186	14145.187200364067	7671.713277364813	19335.828148026227	11791.02341402398	13469.833599374379	11943.341257204556	42832.59709379219	7422.215933787272	24291.921338185493	12558.695193719495	15695.038703641665	12892.498849356845	11722.531712966293	27460.32814495873	3687.1674715087465	12987.489728380777	90981.8044880486	11262.68611337565	55493.120625618205	21240.11169238766	7106.804690733403	5346.131068415147	19393.48132545341	20365.003413228154	17307.44637868179	79222.55358232865	25026.500511060603	11275.01375370925	6666.924390185912	10323.445006227748	5926.261544295982	6006.983286044654	12617.05267798364	7703.4360318431445	18360.39907798681	11646.469021349916	7795.250249984707	14456.214976133328	6676.814268050221	6239.321921715142	21980.403653620928	26918.603027518224	113475.28218627826	14168.395161626539	95295.48916889742	113357.27541899844	12023.291746105784	11391.347037574624	26968.371168703812	14124.859460276703	16947.422435233057	21157.72842584735	10868.867345333927	11688.60468938937	12308.016229817928	17625.377013730984	17635.21261261565	7392.7363285396805	13033.746361332696	11949.50145195051	9287.933696254999	52835.60585861228	59337.3068395566	12033.004080851417	12403.89140868767	9668.779985147728	1039247.7590151719	12928.109303114014	12847.566736322675	14694.53656663865	15920.602604372274	50909.12763325455	15629.843921474698	10823.646242730661	10815.936449292147	8199.398177538616	12894.19425288359	9529.536540625617	102865.71503676816	7988.667713994937
2025-01-20	8010.106303769653	17977.955462767888	18748.47979012329	7323.073701791631	16477.442803747937	136681.91325922508	2651.791877901792	6185.940234490265	27700.93346312757	9790.458175725453	15318.373674008908	37563.954201009095	29832.981793035615	110543.22513702996	7751.123829167518	12139.429272535786	27642.358142097408	11677.262735028533	9617.88678193135	34506.85300690069	22888.65994117262	15725.560547180507	6724.2034292400895	2723.7039647646766	2991.3947573661226	12346.19155361406	21257.723369085368	30985.92860490211	9570.85296143892	16366.064399622142	6256.349617717773	115298.60897411093	14191.593600182034	7727.856638682406	19475.41407401311	11795.51170701199	13538.41679968719	11993.170628602278	42856.2985468961	7436.107966893636	24476.960669092747	12538.847596859749	16004.019351820833	13142.249424678423	11707.265856483147	27557.664072479365	3678.0837357543733	12958.244864190388	90930.9022440243	11340.843056687825	55499.5603128091	21321.55584619383	7228.402345366701	5396.065534207573	19463.740662726705	20471.50170661408	17364.223189340897	79100.77679116433	25258.2502555303	11352.506876854626	6734.962195092956	10355.722503113873	5958.630772147992	6033.9916430223275	12647.02633899182	7646.718015921572	18335.199538993405	11772.734510674958	7795.625124992353	14462.107488066664	6699.40713402511	6352.160960857571	22124.701826810466	27272.301513759114	113582.64109313913	14222.19758081327	95389.74458444871	113395.63770949922	11985.145873052892	11436.673518787313	27144.685584351908	14208.429730138352	17079.21121761653	21095.364212923676	10921.933672666964	11702.302344694686	12268.508114908964	17749.188506865492	17698.606306307825	7409.36816426984	13040.373180666349	11922.750725975255	9304.4668481275	52842.30292930614	59186.653419778304	12006.502040425708	12434.445704343834	9682.889992573864	1039346.8795075859	12947.554651557006	12919.783368161337	14780.768283319325	15913.301302186137	50901.56381662728	15662.921960737349	10810.32312136533	10817.468224646072	8202.199088769308	12922.597126441795	9527.768270312808	102880.35751838409	7998.833856999835
2025-01-21	8037.553151884827	17907.977731383944	18878.239895061644	7357.536850895815	16512.22140187397	136605.95662961254	2666.895938950896	6268.970117245132	27780.466731563785	9776.729087862726	15279.686837004454	37611.47710050455	29888.990896517807	110880.11256851497	7748.061914583759	12160.714636267894	27438.679071048704	11719.131367514266	9691.943390965675	34188.42650345035	22745.32997058631	15737.780273590253	6717.601714620045	2740.351982382338	3005.6973786830613	12372.09577680703	21280.861684542684	30982.964302451055	9577.92648071946	16283.03219981107	6255.6748088588865	115366.30448705546	14142.296800091017	7735.928319341203	19597.707037006556	11802.755853505994	13612.708399843596	11996.085314301139	42878.14927344805	7488.053983446818	24603.980334546373	12506.423798429874	15716.009675910416	12944.624712339211	11677.632928241574	27497.832036239684	3687.0418678771866	12894.122432095195	91016.95112201215	11374.921528343912	55502.78015640455	21290.777923096917	7331.201172683351	5411.032767103787	19430.870331363352	20462.75085330704	17227.11159467045	79059.38839558217	25344.12512776515	11395.753438427313	6726.481097546478	10473.861251556937	5950.315386073996	6042.495821511164	12630.01316949591	7605.859007960786	18367.5997694967	11821.367255337478	7808.312562496177	14375.053744033332	6663.703567012555	6351.080480428785	22126.850913405233	27364.150756879557	113814.32054656956	14201.598790406635	95642.87229222435	113480.31885474961	11978.072936526445	11413.836759393656	27289.842792175954	14265.214865069176	17157.605608808262	21395.682106461838	10967.966836333482	11664.651172347343	12204.754057454482	17767.094253432748	17723.303153153913	7460.18408213492	12983.686590333175	11859.375362987626	9315.23342406375	52847.65146465307	58874.32670988915	11945.751020212854	12420.722852171917	9659.944996286933	1039437.939753793	12937.277325778503	12916.391684080669	14764.384141659662	15857.650651093069	50983.78190831364	15651.960980368674	10779.161560682665	10798.734112323036	8193.099544384655	12892.298563220898	9533.884135156404	102887.67875919204	8005.916928500742
2025-01-22	8083.776575942413	17966.988865691972	18728.619947530824	7398.268425447908	16569.610700936984	137173.47831480627	2713.447969475448	6344.985058622566	28197.233365781893	9791.864543931362	15315.343418502227	37740.238550252274	30072.995448258902	110966.05628425749	7727.0309572918795	12303.357318133947	27819.339535524352	11864.565683757133	9696.471695482836	34634.213251725174	23056.664985293155	15638.890136795126	6738.800857310022	2741.175991191169	3029.8486893415306	12455.047888403515	21292.430842271344	31075.48215122553	9558.96324035973	16106.516099905535	6255.337404429443	115353.65224352773	14187.64840004551	7762.4641596706015	19833.853518503278	11873.877926752997	13727.354199921798	12002.04265715057	43144.07463672402	7506.526991723409	24788.990167273187	12470.211899214937	15762.004837955208	12944.812356169605	11645.316464120788	27637.416018119842	3695.0209339385933	12847.061216047598	90942.47556100608	11498.460764171956	55506.890078202276	21354.38896154846	7273.600586341676	5394.016383551893	19482.435165681676	20584.875426653518	17393.055797335226	79081.69419779108	25620.562563882573	11424.876719213657	6682.240548773239	10728.930625778468	5894.157693036997	5997.747910755582	12632.006584747955	7550.429503980393	18441.29988474835	11932.683627668739	7784.656281248088	14439.026872016666	6608.351783506278	6298.040240214393	22245.425456702615	27665.07537843978	113930.16027328478	14247.799395203318	95698.93614611217	113484.6594273748	12031.536468263223	11414.918379696828	27654.42139608798	14360.107432534587	17295.30280440413	21496.34105323092	11014.983418166741	11650.825586173672	12270.877028727242	17844.547126716374	17777.151576576958	7474.09204106746	12837.343295166587	11812.687681493813	9327.616712031875	52852.825732326535	58685.663354944576	11897.875510106427	12428.361426085958	9654.972498143467	1039530.9698768965	12969.63866288925	13031.695842040335	14820.692070829831	15931.325325546535	50884.39095415682	15683.480490184338	10729.580780341334	10766.867056161518	8177.0497721923275	12893.64928161045	9527.442067578202	102893.83937959603	8055.958464253284
