	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-02-18	4899.0	21383.0	21544.0	6473.0	12109.0	66037.0	2638.0	2750.0	38932.0	11632.0	16937.0	46472.0	21022.0	109122.0	17053.0	10582.0	39030.0	11686.0	13834.0	17465.0	21231.0	5865.0	5596.0	3736.0	4444.0	14374.0	16418.0	16575.0	8849.0	9250.0	9160.0	107992.0	12705.0	7240.0	18550.0	13655.0	14655.0	14824.0	49610.0	12310.0	17210.0	11424.0	18390.0	19973.0	11228.0	14542.0	3592.0	8961.0	92248.0	10429.0	50157.0	10304.0	13027.0	13529.0																																																										
2021-02-19	4910.333333333333	21627.0	21461.333333333332	6480.333333333333	12059.666666666666	65869.0	2672.0	2760.0	39108.666666666664	11668.666666666666	16987.0	46465.333333333336	21146.666666666668	108990.66666666667	17187.0	10571.333333333334	38573.333333333336	11656.0	13770.666666666666	17371.666666666668	20960.333333333332	5788.333333333333	5630.666666666667	3729.3333333333335	4438.0	14400.0	16438.0	16537.666666666668	8752.333333333334	9056.666666666666	9178.666666666666	107965.33333333333	12628.333333333334	7240.0	18386.666666666668	13728.333333333334	14481.666666666666	14836.0	49886.666666666664	12250.0	17186.666666666668	11407.333333333334	18532.0	20077.666666666668	11202.0	14490.0	3590.0	8948.333333333334	91879.33333333333	10334.333333333334	50157.0	10271.333333333334	12964.333333333334	13343.666666666666																																																										
2021-02-22	4903.857142857143	21579.0	21492.571428571428	6464.142857142857	12127.857142857143	65694.71428571429	2662.8571428571427	2742.8571428571427	38919.142857142855	11577.42857142857	16968.14285714286	45985.142857142855	21054.85714285714	108733.14285714286	16859.571428571428	10592.285714285714	38571.42857142857	11684.57142857143	13704.0	17516.428571428572	20920.14285714286	5837.857142857143	5676.0	3701.1428571428573	4444.285714285715	14243.42857142857	16489.428571428572	16559.0	8796.142857142857	9027.142857142857	9121.142857142857	107837.14285714286	12695.0	7244.0	18400.0	13675.0	14628.714285714286	14629.714285714286	49677.142857142855	12104.285714285714	17109.14285714286	11394.0	18285.714285714286	19846.428571428572	11197.42857142857	14535.714285714286	3579.1428571428573	8961.285714285714	91234.0	10343.857142857143	50157.0	10254.0	12677.285714285714	12922.142857142857																																																										
2021-02-23	4923.666666666667	21496.333333333332	21432.0	6429.933333333333	12218.6	65074.6	2672.0	2778.6666666666665	38554.8	11470.533333333333	17010.2	45012.26666666667	21013.866666666665	108685.06666666667	16731.266666666666	10672.666666666666	38000.0	11712.0	13589.333333333334	17673.0	20781.933333333334	5969.666666666667	5665.866666666667	3707.4666666666667	4541.733333333334	13998.933333333332	16499.333333333332	16567.533333333333	8771.0	9215.333333333334	9166.4	107756.53333333334	13627.266666666666	7277.066666666667	18296.0	13643.0	14668.866666666667	14491.733333333334	49542.666666666664	12056.666666666666	16937.866666666665	11407.333333333334	17980.8	19593.4	11187.6	14608.4	3574.8	8973.933333333332	90891.6	10399.4	50157.0	10254.533333333333	12414.733333333334	12822.333333333334																																																										
2021-02-24	4930.548387096775	20917.58064516129	21059.354838709678	6338.096774193548	12249.774193548386	64211.83870967742	2611.0967741935483	2743.7419354838707	37876.709677419356	11254.516129032258	16688.032258064515	43786.32258064516	20582.451612903227	108910.58064516129	16438.483870967742	10733.225806451614	37212.903225806454	11662.451612903225	13411.09677419355	17725.645161290322	20378.870967741936	6067.903225806452	5600.387096774193	3647.3548387096776	4553.741935483871	13687.225806451614	16441.870967741936	16464.548387096773	8764.806451612903	9197.09677419355	9040.258064516129	107880.64516129032	13277.193548387097	7288.903225806452	17967.74193548387	13481.451612903225	14548.161290322581	14164.645161290322	48947.74193548387	12027.41935483871	16699.483870967742	11428.838709677419	17432.774193548386	19008.935483870966	11216.193548387097	14572.064516129032	3549.6129032258063	8986.870967741936	90461.87096774194	10397.645161290322	50157.0	10214.0	11930.741935483871	12533.645161290322																																																										
2021-02-25	4993.761904761905	20936.5873015873	21064.761904761905	6350.238095238095	12223.984126984127	64366.84126984127	2619.6825396825398	2769.777777777778	38317.23809523809	11359.396825396825	16722.555555555555	44386.53968253968	20599.492063492064	108870.15873015873	16532.714285714286	10864.666666666666	37191.11111111111	11699.809523809523	13425.269841269841	17951.349206349205	20496.777777777777	6226.428571428572	5645.9047619047615	3651.2380952380954	4622.952380952381	13843.047619047618	16417.04761904762	16564.84126984127	8772.015873015873	9353.492063492064	9094.47619047619	107884.38095238095	13240.015873015873	7339.238095238095	17915.555555555555	13645.79365079365	14741.603174603175	14119.111111111111	49558.4126984127	11909.36507936508	16757.14285714286	11386.253968253968	17393.777777777777	19011.0	11182.063492063493	14700.031746031746	3554.8888888888887	8971.698412698413	89769.11111111111	10427.79365079365	50159.53968253968	10271.904761904761	11825.730158730159	12406.333333333334																																																										
2021-02-26	4970.700787401574	20737.23622047244	20827.527559055117	6241.771653543307	12093.472440944883	63460.84251968504	2586.582677165354	2747.212598425197	37805.62204724409	11272.51968503937	16575.12598425197	44185.1968503937	20457.63779527559	108465.41732283465	16433.07874015748	10832.07874015748	36404.4094488189	11607.181102362205	13182.740157480315	17978.385826771653	20234.338582677166	6346.653543307087	5618.236220472441	3613.3228346456694	4634.566929133858	13697.889763779527	16307.16535433071	16514.023622047243	8708.007874015748	9392.047244094489	9044.346456692914	107727.46456692913	13090.842519685038	7324.0	17688.503937007874	13534.527559055117	14454.055118110236	14060.598425196851	49156.06299212598	11839.133858267716	16432.535433070865	11400.236220472441	17066.33070866142	18694.527559055117	11192.614173228347	14663.732283464567	3548.8976377952754	9027.787401574804	90106.18897637795	10374.984251968504	50160.779527559054	10230.125984251968	11534.590551181102	12259.015748031496																																																										
2021-03-02	4984.905882352941	20875.65882352941	20787.607843137255	6198.21568627451	11876.890196078431	64224.40392156863	2562.698039215686	2738.572549019608	37832.91764705882	11212.023529411765	16615.219607843137	44217.72549019608	20473.38039215686	108305.58431372549	16433.039215686276	10741.184313725491	36788.705882352944	11548.862745098038	13148.235294117647	18109.70588235294	20391.282352941176	6345.823529411765	5607.0745098039215	3597.098039215686	4623.7411764705885	13788.8	16558.06274509804	16596.835294117645	8773.760784313725	9195.254901960785	9018.070588235294	107620.3137254902	12849.478431372549	7332.533333333334	17784.62745098039	13562.372549019608	14564.960784313726	13967.93725490196	49240.86274509804	11872.196078431372	16573.819607843136	11434.75294117647	16979.827450980392	18659.62745098039	11210.376470588235	14698.0	3552.4627450980392	9055.501960784313	90799.30196078432	10315.760784313725	50161.39215686275	10291.803921568628	11600.050980392158	12221.360784313725																																																										
2021-03-03	5032.045009784736	21033.637964774953	20907.037181996086	6268.244618395303	11808.812133072406	64283.8180039139	2562.348336594912	2751.812133072407	38077.9373776908	11294.673189823874	16732.3385518591	44501.4168297456	20623.9843444227	108252.68884540118	16589.32485322896	10665.945205479453	36413.62035225049	11635.099804305284	13148.618395303327	18177.485322896282	20325.011741682974	6372.964774951076	5677.174168297456	3636.1252446183953	4647.416829745597	13889.09589041096	16707.82387475538	16634.49119373777	8828.487279843444	9087.416829745596	9080.156555772994	107594.10567514677	12844.729941291585	7348.297455968689	17737.221135029355	13651.360078277887	14592.534246575342	14035.099804305284	49561.05675146771	11873.600782778865	16574.41095890411	11444.39530332681	16981.416829745598	18695.88454011742	11216.70058708415	14697.499021526419	3569.7651663405086	9062.765166340509	90882.81409001957	10252.256360078278	50164.20156555773	10309.937377690801	11585.497064579256	12125.493150684932																																																										
2021-03-04	5075.565004887586	20922.71065493646	20741.35679374389	6266.620723362659	11725.324535679374	63145.29716520039	2562.1739980449656	2735.8905180840666	37704.10361681329	11308.349951124144	16706.143695014664	44482.69012707722	20596.96578690127	108149.74389051809	16569.142717497558	10567.876832844575	35478.39687194526	11645.560117302053	13106.267839687194	18243.80742913001	19862.554252199414	6444.051808406647	5674.584555229717	3672.097751710655	4692.2521994134895	13891.550342130988	16627.833822091885	16530.143695014664	8811.22678396872	9158.778103616813	9120.117302052786	107546.50635386119	12792.313782991203	7325.6265884652985	17468.34799608993	13603.13294232649	14424.102639296188	13903.921798631476	49390.36168132942	11836.76441837732	16241.880742913001	11449.202346041056	16892.621700879765	18689.435972629522	11209.843597262952	14638.191593352884	3579.3919843597264	9082.902248289345	90340.87781036168	10173.05083088954	50165.602150537634	10230.891495601172	11327.496578690127	11871.49853372434																																																										
