	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080
2024-11-21	8562.0	17659.0	17648.0	7344.0	16134.0	127153.0	2755.0	5464.0	26590.0	9488.0	14985.0	35800.0	29057.0	109624.0	7691.0	12920.0	28300.0	11701.0	9796.0	33555.0	22602.0	15675.0	6800.0	2398.0	3005.0	11930.0	19893.0	29441.0	9804.0	6196.0	113385.0	14658.0	8096.0	18190.0	11585.0	14011.0	12067.0	42105.0	7755.0	23883.0	12166.0	17422.0	14112.0	11396.0	26494.0	3843.0	12365.0	90377.0	12064.0	55226.0	20269.0	6726.0	5764.0	18499.0	19042.0	15732.0	76766.0	22820.0	10667.0	6993.0	9053.0	6405.0	6056.0	12456.0	7830.0	17190.0	10610.0	7851.0	13909.0	6169.0	6700.0	20952.0	25852.0	112420.0	13685.0	96798.0	111863.0	11283.0	23916.0	14079.0	16568.0	20405.0	11267.0	11618.0	11914.0	16923.0	16034.0	7752.0	12838.0	11401.0	9338.0	52518.0	56493.0	11445.0	12296.0	9599.0	1038946.0	12530.0	12661.0	14082.0	15317.0	50857.0	14986.0	10446.0	10423.0	8196.0	11720.0	9574.0	102350.0
2024-11-22	8587.0	17698.0	17370.0	7353.0	16284.0	128294.0	2780.0	5603.0	27072.0	9566.0	14860.0	34710.0	29321.0	109647.0	7735.0	12993.0	28570.0	11731.0	9751.0	34265.0	22891.0	15780.0	6922.0	2413.0	2995.0	11675.0	20068.0	29721.0	9839.0	6269.0	113454.0	14578.0	8137.0	18530.0	11685.0	14266.0	11879.0	42440.0	7755.0	24007.0	12191.0	17597.0	14231.0	11426.0	26900.0	3858.0	12390.0	90768.0	12164.0	55231.0	20466.0	6626.0	5580.0	18690.0	19206.0	15870.0	76945.0	23331.0	10711.0	6953.0	9227.0	6287.0	6066.0	12617.0	7785.0	17350.0	10535.0	7666.0	14298.0	6189.0	6645.0	20987.0	25368.0	112478.0	13788.0	96719.0	111923.0	11404.0	24386.0	14183.0	16663.0	21133.0	11352.0	11725.0	12091.0	17233.0	16146.0	7742.0	12992.0	11431.0	9343.0	52528.0	56598.0	11470.0	12423.0	9706.0	1039049.0	12575.0	12968.0	14294.0	15331.0	51029.0	14877.0	10473.0	10450.0	8228.0	11733.0	9579.0	102365.0
2024-11-25	8671.0	17562.0	17242.0	7291.0	16169.0	129296.0	2795.0	5693.0	27538.0	9615.0	14927.0	36090.0	29344.0	110123.0	7815.0	13067.0	29405.0	11886.0	9900.0	34670.0	23323.0	15715.0	7011.0	2443.0	3039.0	12174.0	20257.0	29979.0	10093.0	6274.0	113735.0	14692.0	8202.0	18575.0	11825.0	14655.0	11632.0	42980.0	7860.0	24205.0	12245.0	18101.0	14643.0	11470.0	27313.0	3838.0	12404.0	91584.0	12308.0	55231.0	20613.0	6497.0	5536.0	18829.0	19365.0	16325.0	77554.0	23371.0	10865.0	6993.0	9381.0	6173.0	6154.0	12845.0	7710.0	17225.0	10585.0	7386.0	14323.0	6374.0	6640.0	21246.0	26002.0	112649.0	13881.0	97210.0	112084.0	11612.0	24534.0	14287.0	16792.0	20505.0	11573.0	11886.0	12091.0	17469.0	16450.0	7824.0	13426.0	11441.0	9348.0	52533.0	56563.0	11475.0	12650.0	9873.0	1039127.0	12619.0	12963.0	14354.0	15345.0	51597.0	14877.0	10514.0	10423.0	8288.0	11756.0	9680.0	102380.0
2024-11-26	8496.0	17736.0	17199.0	7253.0	15896.0	128591.0	2824.0	5524.0	27563.0	9660.0	15019.0	35065.0	28657.0	110245.0	7900.0	13184.0	29475.0	11671.0	9811.0	34785.0	23452.0	15435.0	6785.0	2423.0	3103.0	11940.0	20327.0	29954.0	10043.0	6299.0	113784.0	14498.0	8256.0	18850.0	11780.0	14670.0	11719.0	42825.0	7935.0	24146.0	12265.0	17911.0	14554.0	11475.0	27477.0	3843.0	12365.0	91947.0	12429.0	55241.0	20558.0	6522.0	5570.0	18774.0	19255.0	16231.0	77948.0	23172.0	10766.0	6858.0	9316.0	6139.0	6243.0	12802.0	7755.0	16910.0	10461.0	7401.0	14219.0	6548.0	6390.0	20987.0	25348.0	112917.0	13848.0	97406.0	112143.0	11587.0	24222.0	14272.0	16742.0	18779.0	11568.0	11919.0	12155.0	17459.0	16547.0	7897.0	13357.0	11406.0	9409.0	52538.0	56498.0	11470.0	12631.0	9869.0	1039222.0	12575.0	12923.0	14259.0	15365.0	51885.0	14777.0	10483.0	10559.0	8320.0	11661.0	9775.0	102380.0
2024-11-27	8689.0	17399.0	17370.0	7382.0	16035.0	128938.0	2809.0	5484.0	26628.0	9807.0	14869.0	35485.0	29032.0	110478.0	8093.0	13217.0	29860.0	11836.0	9756.0	34750.0	23388.0	15390.0	6687.0	2443.0	3143.0	11905.0	20157.0	29999.0	9993.0	6333.0	113991.0	14498.0	8256.0	18685.0	11705.0	14620.0	11691.0	42525.0	7930.0	24215.0	12240.0	17462.0	14171.0	11470.0	27398.0	3830.0	12346.0	91810.0	12475.0	55246.0	20648.0	6606.0	5590.0	18862.0	19310.0	16028.0	78309.0	22815.0	10697.0	6803.0	8909.0	6193.0	6164.0	12782.0	7730.0	16945.0	10456.0	7546.0	14483.0	6444.0	6370.0	20977.0	24968.0	112961.0	13868.0	97372.0	112247.0	11573.0	23757.0	14351.0	16792.0	18779.0	11561.0	11963.0	12200.0	17474.0	16562.0	7907.0	13302.0	11416.0	9382.0	52538.0	56518.0	11465.0	12607.0	9842.0	1039320.0	12580.0	13108.0	14319.0	15415.0	51865.0	14872.0	10470.0	10438.0	8308.0	11743.0	9775.0	102385.0
2024-11-28	8666.0	17519.0	17295.0	7353.0	15975.0	128141.0	2814.0	5439.0	26181.0	10024.0	14913.0	36325.0	29238.0	111291.0	8113.0	13347.0	30235.0	11946.0	9746.0	34695.0	23760.0	15400.0	6741.0	2438.0	3128.0	11935.0	20252.0	29979.0	9934.0	6348.0	114592.0	14682.0	8277.0	18485.0	11665.0	14670.0	11772.0	42390.0	7965.0	24091.0	12235.0	17726.0	14395.0	11470.0	27323.0	3839.0	12365.0	92128.0	12571.0	55261.0	20578.0	6671.0	5610.0	18799.0	19191.0	16097.0	79916.0	22566.0	10687.0	6808.0	8750.0	6223.0	6110.0	12782.0	7735.0	16895.0	10401.0	7806.0	14563.0	6439.0	6395.0	20877.0	25018.0	113737.0	13881.0	97544.0	112571.0	11578.0	23411.0	14326.0	16713.0	18999.0	11569.0	12002.0	12273.0	17518.0	16509.0	7942.0	13203.0	11416.0	9406.0	52558.0	56478.0	11450.0	12593.0	9821.0	1039595.0	12624.0	13147.0	14057.0	15395.0	52150.0	14802.0	10484.0	10489.0	8334.0	11684.0	9809.0	102420.0
2024-11-29	8572.0	17176.0	17256.0	7344.0	16149.0	128384.0	2765.0	5395.0	25481.0	9861.0	14720.0	35415.0	29091.0	111659.0	8213.0	13367.0	30290.0	11996.0	9736.0	34720.0	23770.0	15385.0	6564.0	2353.0	3123.0	11601.0	20267.0	30035.0	9834.0	6269.0	114952.0	14498.0	8291.0	18540.0	11450.0	14784.0	11884.0	41640.0	8020.0	24116.0	12265.0	16702.0	13650.0	11500.0	27348.0	3801.0	12360.0	92500.0	12581.0	55266.0	20593.0	6671.0	5630.0	18804.0	19221.0	15697.0	81416.0	22695.0	10786.0	6833.0	8602.0	6292.0	6150.0	12797.0	7750.0	17125.0	10436.0	7891.0	14248.0	6469.0	6445.0	20897.0	25093.0	113995.0	13891.0	97730.0	112812.0	11578.0	23411.0	14336.0	16747.0	18450.0	11574.0	11967.0	12278.0	17533.0	16485.0	7980.0	13193.0	11406.0	9406.0	52577.0	56443.0	11455.0	12622.0	9842.0	1039685.0	12669.0	13123.0	14142.0	15445.0	52379.0	14852.0	10503.0	10450.0	8338.0	11729.0	9853.0	102440.0
2024-12-02	8689.0	17287.0	17581.0	7468.0	15906.0	129321.0	2760.0	5191.0	25417.0	9871.0	14778.0	35530.0	29267.0	112140.0	8362.0	13237.0	30160.0	11946.0	9741.0	34870.0	23685.0	15575.0	6559.0	2363.0	3084.0	11641.0	20402.0	30149.0	9774.0	6230.0	115291.0	14687.0	8301.0	18620.0	11460.0	14665.0	11989.0	41730.0	8030.0	24195.0	12345.0	16897.0	13725.0	11554.0	27418.0	3776.0	12424.0	93341.0	12461.0	55271.0	20723.0	6771.0	5739.0	18925.0	19365.0	15638.0	81937.0	22910.0	10855.0	6878.0	8443.0	6321.0	6159.0	12826.0	7730.0	16955.0	10685.0	7915.0	14358.0	6429.0	6520.0	21101.0	25293.0	114419.0	13985.0	97864.0	113023.0	11608.0	23559.0	14351.0	16787.0	18425.0	11557.0	12007.0	12313.0	17543.0	16711.0	7999.0	13292.0	11461.0	9438.0	52572.0	56703.0	11505.0	12651.0	9855.0	1039783.0	12649.0	13152.0	14181.0	15524.0	52649.0	14986.0	10540.0	10534.0	8372.0	11827.0	9972.0	102445.0
2024-12-03	8984.0	17417.0	17734.0	7793.0	16055.0	131161.0	2809.0	5315.0	25761.0	9985.0	14932.0	36390.0	30180.0	111851.0	8387.0	13076.0	30125.0	12070.0	9711.0	34795.0	23820.0	15405.0	6721.0	2567.0	3118.0	11895.0	20452.0	30297.0	9794.0	6480.0	115139.0	14513.0	8267.0	18645.0	11635.0	14675.0	11994.0	42300.0	8060.0	24523.0	12355.0	16962.0	13759.0	11564.0	27591.0	3747.0	12429.0	93500.0	12332.0	55276.0	20835.0	6824.0	5754.0	19025.0	19647.0	16087.0	82248.0	23594.0	11004.0	6913.0	8660.0	6371.0	6278.0	12797.0	7630.0	17035.0	10829.0	7901.0	14468.0	6553.0	6525.0	21266.0	25663.0	114132.0	14054.0	97884.0	113009.0	11573.0	24257.0	14425.0	17017.0	19148.0	11522.0	12032.0	12356.0	17356.0	16910.0	8031.0	13426.0	11456.0	9433.0	52582.0	56788.0	11515.0	12622.0	9829.0	1039870.0	12728.0	12908.0	14379.0	15708.0	52893.0	15234.0	10545.0	10460.0	8407.0	11956.0	9977.0	102435.0
2024-12-04	8632.0	17162.0	17887.0	7583.0	16055.0	132620.0	2682.0	5216.0	25585.0	9792.0	14623.0	35800.0	29511.0	111450.0	8451.0	12989.0	29890.0	12115.0	9950.0	34690.0	23666.0	15415.0	6599.0	2522.0	3025.0	11720.0	20497.0	30632.0	9953.0	6456.0	115016.0	14792.0	8272.0	18915.0	11465.0	14545.0	11999.0	41735.0	8005.0	24637.0	12424.0	16637.0	13521.0	11603.0	27665.0	3707.0	12506.0	94001.0	12266.0	55281.0	20969.0	6839.0	5774.0	19156.0	19864.0	15895.0	82083.0	23897.0	10994.0	6838.0	8665.0	6287.0	6292.0	12811.0	7595.0	17160.0	10864.0	7886.0	14588.0	6563.0	6405.0	21511.0	26022.0	114142.0	14117.0	97965.0	112907.0	11593.0	24837.0	14430.0	17117.0	18749.0	11468.0	12114.0	12415.0	17420.0	16998.0	7980.0	13530.0	11530.0	9424.0	52587.0	57088.0	11575.0	12637.0	9846.0	1039965.0	12758.0	12836.0	14583.0	15941.0	52913.0	15492.0	10622.0	10565.0	8443.0	12120.0	9977.0	102460.0
