	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2025-12-24	12713.0	24524.0	23849.0	15300.0	25986.0	164455.0	4655.0	13580.0	53230.0	12345.0	21395.0	46650.0	50990.0	109380.0	9290.0	12235.0	39055.0	14950.0	12260.0	39285.0	30715.0	15035.0	10285.0	3270.0	3445.0	15550.0	31266.0	36945.0	8804.0	13550.0	8185.0	114670.0	17464.0	7545.0	23415.0	21045.0	14695.0	15360.0	76365.0	7650.0	28660.0	13225.0	17970.0	14600.0	12348.0	30750.0	4352.0	13450.0	97721.0	11427.0	56880.0	24839.0	8850.0	8564.0	22679.0	24635.0	29305.0	69832.0	35971.0	14559.0	10530.0	18885.0	7692.0	9020.0	12903.0	6330.0	30180.0	13199.0	11354.0	13745.0	8985.0	10770.0	27649.0	35134.0	114056.0	16251.0	100408.0	115775.0	19149.0	11664.0	45479.0	16225.0	20415.0	51505.0	10929.0	11898.0	13619.0	19706.0	19079.0	7624.0	14176.0	12407.0	9690.0	54280.0	61380.0	12455.0	12872.0	9712.0	1068032.0	14814.0	14315.0	18475.0	19534.0	53157.0	19978.0	11423.0	11627.0	9058.0	15611.0	9939.0	105445.0	12806.0
2025-12-26	12635.0	24304.0	23700.0	15175.0	26195.0	163781.0	4585.0	13185.0	54260.0	12280.0	20945.0	46975.0	50425.0	109090.0	9155.0	12335.0	39185.0	14995.0	12270.0	39315.0	30795.0	14925.0	10155.0	3195.0	3385.0	15670.0	30050.0	36785.0	8655.0	13535.0	8105.0	114510.0	17255.0	7540.0	23130.0	21255.0	14700.0	15355.0	77045.0	7640.0	28760.0	13130.0	17710.0	14355.0	12270.0	30715.0	4357.0	13370.0	97153.0	11491.0	56885.0	24774.0	8800.0	8530.0	22614.0	24540.0	28570.0	69317.0	35986.0	14555.0	10590.0	19420.0	7875.0	9070.0	12853.0	6315.0	30040.0	13080.0	11295.0	13770.0	8930.0	10890.0	27645.0	35030.0	113720.0	16196.0	100418.0	115610.0	19242.0	11719.0	45709.0	16275.0	20260.0	50375.0	10934.0	11854.0	13604.0	19686.0	19034.0	7629.0	13982.0	12308.0	9700.0	54285.0	60980.0	12365.0	12710.0	9679.0	1068117.0	14800.0	14235.0	18475.0	19459.0	52834.0	19785.0	11349.0	11548.0	9020.0	15602.0	9949.0	105465.0	12891.0
2025-12-29	12699.0	24554.0	23495.0	15530.0	25955.0	162642.0	4630.0	13555.0	55899.0	12335.0	21145.0	47850.0	51840.0	109430.0	9380.0	12340.0	38630.0	14890.0	12340.0	38915.0	30390.0	14735.0	10420.0	3255.0	3390.0	15890.0	30360.0	36646.0	8690.0	13310.0	8110.0	114780.0	17270.0	7520.0	23015.0	21815.0	14670.0	15201.0	79120.0	7635.0	28685.0	13055.0	17660.0	14335.0	12210.0	30486.0	4366.0	13290.0	96582.0	11496.0	56895.0	24590.0	8735.0	8400.0	22445.0	24340.0	29065.0	69940.0	35677.0	14400.0	10475.0	19940.0	7710.0	8910.0	12763.0	6325.0	29645.0	12895.0	11240.0	13680.0	8800.0	10580.0	27430.0	34355.0	113870.0	16126.0	100566.0	115820.0	19564.0	11560.0	46523.0	16265.0	20235.0	52790.0	10954.0	11819.0	13544.0	19516.0	18840.0	7624.0	13807.0	12214.0	9690.0	54300.0	60545.0	12280.0	12610.0	9600.0	1068376.0	14710.0	14190.0	18240.0	19274.0	52446.0	19590.0	11264.0	11435.0	8950.0	15430.0	9799.0	105485.0	13117.0
2025-12-30	12575.0	24808.0	23789.0	15235.0	25235.0	162802.0	4625.0	13300.0	56508.0	12280.0	21380.0	47975.0	51535.0	109180.0	9355.0	12380.0	38415.0	14965.0	12365.0	38990.0	30385.0	14960.0	10220.0	3250.0	3420.0	15740.0	30435.0	36666.0	8570.0	13455.0	8030.0	114575.0	17160.0	7550.0	23315.0	21890.0	14565.0	15370.0	79495.0	7645.0	28575.0	13150.0	17060.0	13845.0	12260.0	30571.0	4381.0	13365.0	97301.0	11501.0	56910.0	24685.0	8905.0	8310.0	22515.0	24385.0	28585.0	69509.0	35797.0	14390.0	10375.0	20110.0	7715.0	8920.0	12808.0	6345.0	29005.0	12855.0	11445.0	13505.0	8770.0	10775.0	27340.0	34140.0	113810.0	16156.0	100611.0	115570.0	19608.0	11610.0	46618.0	16200.0	20135.0	52115.0	10959.0	11938.0	13619.0	19581.0	18745.0	7639.0	13812.0	12278.0	9695.0	54315.0	60970.0	12345.0	12690.0	9610.0	1068624.0	14690.0	14280.0	18270.0	19404.0	52889.0	19545.0	11369.0	11509.0	9020.0	15494.0	9869.0	105495.0	13169.0
2026-01-02	12545.0	24898.0	24307.0	15585.0	25310.0	162632.0	4565.0	13405.0	58982.0	12470.0	21265.0	48990.0	52650.0	109165.0	9650.0	12290.0	38330.0	15020.0	12620.0	38925.0	30295.0	15140.0	10240.0	3435.0	3430.0	16145.0	31335.0	36646.0	8605.0	13410.0	8125.0	114645.0	17495.0	7550.0	23350.0	22555.0	14430.0	15973.0	81690.0	7580.0	28485.0	13115.0	16600.0	13495.0	12260.0	30571.0	4426.0	13380.0	96587.0	11427.0	56920.0	24620.0	9145.0	8440.0	22490.0	24360.0	28920.0	69592.0	35951.0	14400.0	10265.0	21645.0	7750.0	8900.0	12808.0	6360.0	29290.0	12970.0	11410.0	13530.0	8556.0	10785.0	27400.0	34255.0	113570.0	16166.0	100293.0	115690.0	20034.0	11595.0	47527.0	16140.0	20080.0	53000.0	10929.0	11884.0	13644.0	19486.0	18690.0	7560.0	14012.0	12308.0	9690.0	54325.0	61090.0	12390.0	12645.0	9620.0	1068704.0	14700.0	14359.0	18295.0	19534.0	52386.0	19705.0	11344.0	11523.0	8950.0	15542.0	9784.0	105510.0	13467.0
2026-01-05	12704.0	24928.0	24337.0	15765.0	25525.0	161928.0	4740.0	14015.0	61416.0	12690.0	21400.0	50140.0	53585.0	108920.0	9655.0	12355.0	38105.0	14930.0	12855.0	39540.0	30115.0	15955.0	10630.0	3400.0	3380.0	16310.0	31520.0	36755.0	8640.0	13220.0	8135.0	114590.0	17685.0	7525.0	23670.0	23370.0	14475.0	15734.0	84795.0	7580.0	28290.0	13135.0	17055.0	13850.0	12280.0	30486.0	4436.0	13400.0	96880.0	11447.0	56920.0	24595.0	9150.0	8700.0	22460.0	24266.0	30030.0	69156.0	37235.0	14650.0	10465.0	22850.0	7815.0	9115.0	12973.0	6415.0	29625.0	13055.0	11810.0	13260.0	8790.0	11005.0	27580.0	35125.0	113500.0	16251.0	100298.0	115730.0	20480.0	11729.0	49504.0	16105.0	19960.0	55410.0	11059.0	11893.0	13669.0	19432.0	18485.0	7560.0	14061.0	12338.0	9695.0	54335.0	61190.0	12395.0	12794.0	9797.0	1068789.0	14720.0	14513.0	18205.0	19409.0	52586.0	19910.0	11379.0	11553.0	8980.0	15435.0	9809.0	105530.0	13832.0
2026-01-06	12794.0	24843.0	24655.0	16690.0	25760.0	163222.0	4815.0	14235.0	62685.0	12700.0	21205.0	50275.0	54475.0	108985.0	9810.0	12335.0	37555.0	15225.0	12885.0	39790.0	29700.0	15890.0	10805.0	3330.0	3330.0	16370.0	31530.0	37005.0	8785.0	13470.0	8055.0	114685.0	17730.0	7545.0	23955.0	23805.0	14720.0	15938.0	86225.0	7575.0	28500.0	13165.0	17290.0	14030.0	12295.0	30915.0	4451.0	13400.0	96726.0	11471.0	56925.0	24774.0	9349.0	8785.0	22639.0	24455.0	30100.0	69622.0	37589.0	14975.0	10810.0	23640.0	7955.0	9150.0	12982.0	6360.0	29605.0	13325.0	12035.0	13385.0	9025.0	11225.0	27735.0	35380.0	113590.0	16350.0	100258.0	115725.0	21025.0	11748.0	50817.0	16210.0	20120.0	57630.0	11054.0	11854.0	13629.0	19930.0	18795.0	7540.0	13997.0	12348.0	9715.0	54340.0	61270.0	12415.0	12814.0	9772.0	1068878.0	14720.0	14305.0	18270.0	19509.0	52506.0	19880.0	11384.0	11588.0	8965.0	15494.0	9789.0	105535.0	14075.0
2026-01-07	12610.0	26240.0	24292.0	16320.0	25705.0	164051.0	4785.0	14145.0	62950.0	12640.0	22550.0	50525.0	54115.0	109450.0	9545.0	12414.0	38030.0	15245.0	12905.0	40545.0	30445.0	15430.0	10775.0	3320.0	3270.0	16225.0	31905.0	37209.0	8830.0	13085.0	7920.0	114960.0	17635.0	7580.0	24405.0	23965.0	14940.0	15874.0	86910.0	7610.0	28675.0	13185.0	17000.0	13795.0	12315.0	31209.0	4456.0	13405.0	97227.0	11536.0	56930.0	24894.0	9130.0	8985.0	22749.0	24585.0	29435.0	70151.0	38168.0	15150.0	10910.0	23650.0	8105.0	9250.0	13076.0	6330.0	29315.0	13375.0	12180.0	13500.0	9115.0	11230.0	27920.0	36040.0	114055.0	16420.0	100418.0	116065.0	20956.0	11818.0	51297.0	16285.0	20210.0	57345.0	11139.0	11879.0	13868.0	20040.0	18864.0	7570.0	13977.0	12358.0	9720.0	54350.0	61295.0	12415.0	12908.0	9807.0	1068973.0	14750.0	14354.0	18420.0	19464.0	52779.0	19845.0	11409.0	11598.0	9010.0	15353.0	9829.0	105545.0	14177.0
2026-01-08	12352.0	25846.0	23933.0	16025.0	25550.0	163861.0	4785.0	14585.0	63230.0	12710.0	21980.0	51235.0	54480.0	109625.0	9430.0	12355.0	39270.0	15145.0	12925.0	39815.0	31245.0	15295.0	11025.0	3335.0	3290.0	16225.0	32490.0	37015.0	8795.0	13025.0	7900.0	115005.0	17605.0	7545.0	24235.0	24060.0	14790.0	15784.0	86830.0	7640.0	28520.0	13245.0	16930.0	13680.0	12370.0	30910.0	4451.0	13430.0	97812.0	11382.0	56940.0	24789.0	9030.0	9120.0	22654.0	24545.0	29105.0	70205.0	37694.0	14960.0	10840.0	23670.0	8180.0	9195.0	12997.0	6365.0	29040.0	13260.0	12370.0	13780.0	9040.0	11060.0	27795.0	35800.0	114150.0	16345.0	100646.0	116100.0	20906.0	11763.0	51307.0	16160.0	20105.0	60410.0	11049.0	11744.0	14007.0	19736.0	18849.0	7610.0	13927.0	12393.0	9720.0	54360.0	61490.0	12450.0	12863.0	9767.0	1069207.0	14730.0	14081.0	18345.0	19374.0	53218.0	19865.0	11454.0	11623.0	9078.0	15415.0	9909.0	105560.0	14204.0
2026-01-09	12456.0	27009.0	24282.0	16115.0	25805.0	164790.0	4845.0	14920.0	62605.0	12875.0	23035.0	51745.0	55170.0	109150.0	9480.0	12459.0	38885.0	15080.0	12925.0	40140.0	30860.0	15860.0	11465.0	3425.0	3320.0	16235.0	32365.0	37299.0	8845.0	13510.0	7990.0	114805.0	17515.0	7624.0	24420.0	24095.0	15040.0	15948.0	87580.0	7600.0	28550.0	13270.0	16710.0	13555.0	12400.0	31528.0	4446.0	13510.0	98001.0	11491.0	56955.0	25014.0	9170.0	9165.0	22858.0	24690.0	29290.0	69685.0	37749.0	15190.0	10840.0	23310.0	8225.0	9325.0	13290.0	6365.0	29425.0	13315.0	12555.0	13660.0	9115.0	11300.0	27895.0	35855.0	113715.0	16455.0	100383.0	115975.0	20881.0	12028.0	50822.0	16230.0	20115.0	64780.0	11238.0	12102.0	13998.0	20040.0	19294.0	7600.0	13887.0	12462.0	9725.0	54375.0	61820.0	12525.0	13113.0	9998.0	1069291.0	14800.0	14305.0	18255.0	19569.0	53243.0	19950.0	11494.0	11697.0	9088.0	15509.0	9919.0	105580.0	14301.0
