	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-03-08	5296.0	20656.0	20280.0	6144.0	11562.0	62054.0	2510.0	2716.0	36295.0	11032.0	16567.0	42722.0	20261.0	107824.0	15818.0	10406.0	34125.0	11306.0	12764.0	18645.0	19222.0	7040.0	5680.0	3630.0	4618.0	13584.0	16787.0	16454.0	8659.0	10095.0	8987.0	107233.0	12964.0	7277.0	16565.0	13350.0	14221.0	13354.0	48510.0	11670.0	15826.0	11424.0	16055.0	17865.0	11198.0	14805.0	3589.0	9160.0	88651.0	10067.0	50167.0	10281.0	10253.0	10923.0																																																										
2021-03-09	5418.0	20536.0	20167.0	6120.0	11458.0	61718.0	2524.0	2775.0	35967.0	10984.0	16628.0	42308.0	19887.0	107618.0	15559.0	10572.0	33425.0	11446.0	12549.0	18910.0	19455.0	7100.0	5553.0	3616.0	4642.0	13460.0	16892.0	16743.0	8625.0	9745.0	8941.0	107154.0	12974.0	7399.0	16765.0	13265.0	14340.0	13187.0	48170.0	11735.0	15637.0	11499.0	15662.0	17242.0	11263.0	15084.0	3579.0	9216.0	89749.0	10089.0	50172.0	10396.0	10174.0	10903.0																																																										
2021-03-10	5357.0	20104.0	20226.0	6095.0	11587.0	63566.0	2492.0	2745.0	35543.0	10962.0	16314.0	42208.0	19637.0	107645.0	15789.0	10629.0	35325.0	11496.0	12714.0	18910.0	19777.0	6870.0	5572.0	3581.0	4583.0	13450.0	16887.0	16851.0	8580.0	9490.0	8955.0	107056.0	12845.0	7355.0	17000.0	13195.0	14525.0	13226.0	47915.0	11820.0	16054.0	11554.0	15771.0	17335.0	11292.0	15035.0	3583.0	9250.0	90384.0	10172.0	50177.0	10469.0	10391.0	11012.0																																																										
2021-03-11	5405.0	20581.0	20576.0	6276.0	11751.0	63715.0	2554.0	2760.0	36765.0	11098.0	16532.0	42996.0	20108.0	107842.0	16083.0	10811.0	35100.0	11596.0	12919.0	19105.0	19961.0	7120.0	5719.0	3586.0	4603.0	13731.0	17051.0	17032.0	8659.0	9735.0	9010.0	107174.0	12964.0	7473.0	17140.0	13485.0	14939.0	13301.0	48920.0	11810.0	16208.0	11519.0	16471.0	18269.0	11213.0	15229.0	3604.0	9197.0	90055.0	10246.0	50172.0	10544.0	10724.0	11176.0																																																										
2021-03-12	5371.0	20960.0	20715.0	6367.0	11617.0	64314.0	2619.0	2849.0	37490.0	11252.0	16756.0	44016.0	20418.0	107162.0	16213.0	10850.0	36460.0	11681.0	13119.0	19025.0	20195.0	6995.0	5804.0	3640.0	4632.0	13969.0	17001.0	17100.0	8769.0	9845.0	9088.0	106913.0	13234.0	7469.0	17445.0	13580.0	15223.0	13433.0	49330.0	11635.0	16396.0	11444.0	16709.0	18476.0	11198.0	15170.0	3620.0	9173.0	89701.0	10442.0	50177.0	10582.0	10898.0	11394.0																																																										
2021-03-15	5414.0	20892.0	20261.0	6358.0	11672.0	64039.0	2661.0	2898.0	36995.0	11215.0	16800.0	43603.0	20318.0	106893.0	16223.0	11065.0	36815.0	11661.0	12864.0	19480.0	20115.0	7150.0	5799.0	3645.0	4742.0	13889.0	17046.0	17140.0	8739.0	9905.0	9156.0	106608.0	13269.0	7527.0	17535.0	13515.0	15188.0	13080.0	49085.0	11500.0	16262.0	11449.0	16599.0	18309.0	11198.0	15327.0	3650.0	9187.0	88460.0	10605.0	50172.0	10624.0	10362.0	10933.0																																																										
2021-03-16	5428.0	21161.0	20448.0	6375.0	11766.0	64796.0	2656.0	2903.0	37672.0	11411.0	16946.0	44774.0	20466.0	107426.0	16374.0	11248.0	36440.0	11691.0	12974.0	19610.0	20299.0	7000.0	5887.0	3685.0	4824.0	14230.0	16857.0	17199.0	8714.0	9730.0	9206.0	106948.0	13154.0	7553.0	17670.0	13630.0	15213.0	13187.0	49515.0	11595.0	16540.0	11409.0	16318.0	17728.0	11164.0	15282.0	3664.0	9145.0	88365.0	10762.0	50177.0	10643.0	10575.0	11146.0																																																										
2021-03-17	5405.0	20928.0	20581.0	6362.0	11781.0	64952.0	2623.0	2878.0	37046.0	11363.0	16823.0	44859.0	20452.0	107089.0	16374.0	11170.0	36145.0	11691.0	12934.0	19120.0	20269.0	6840.0	5874.0	3731.0	4838.0	14240.0	16952.0	17208.0	8615.0	9800.0	9234.0	106731.0	12949.0	7542.0	17415.0	13525.0	15014.0	13292.0	49115.0	11515.0	16570.0	11399.0	15951.0	17227.0	11154.0	15229.0	3664.0	9150.0	88155.0	10732.0	50177.0	10639.0	10705.0	11151.0																																																										
2021-03-18	5408.0	21174.0	20762.0	6432.0	11861.0	64869.0	2628.0	2864.0	37331.0	11358.0	16954.0	44659.0	20677.0	106812.0	16735.0	11125.0	36285.0	11876.0	13034.0	19220.0	20379.0	6795.0	5935.0	3717.0	4824.0	14270.0	17036.0	17170.0	8659.0	9640.0	9274.0	106618.0	12984.0	7553.0	17430.0	13620.0	15188.0	13259.0	49490.0	11350.0	16669.0	11330.0	16055.0	17350.0	11085.0	15151.0	3673.0	9098.0	87354.0	10732.0	50187.0	10611.0	10903.0	11325.0																																																										
2021-03-19	5428.0	21169.0	20331.0	6435.0	11826.0	63096.0	2638.0	2830.0	36896.0	11267.0	16849.0	44624.0	20596.0	107269.0	16604.0	11013.0	34865.0	11766.0	12794.0	19325.0	19826.0	6510.0	6002.0	3708.0	4805.0	14260.0	17151.0	17009.0	8615.0	8955.0	9206.0	106948.0	12880.0	7498.0	17300.0	13485.0	14709.0	12981.0	48960.0	11420.0	16079.0	11350.0	16045.0	17242.0	11139.0	15156.0	3689.0	9140.0	87170.0	10638.0	50182.0	10512.0	10555.0	11032.0																																																										
2021-03-22	5460.0	21169.0	20497.0	6411.0	11756.0	63739.0	2670.0	2864.0	36742.0	11247.0	16792.0	44724.0	20672.0	107685.0	16604.0	10834.0	35820.0	11711.0	12879.0	19110.0	20180.0	6500.0	6076.0	3761.0	4790.0	14295.0	17126.0	16989.0	8699.0	9185.0	9193.0	107223.0	12825.0	7491.0	17250.0	13505.0	14784.0	13112.0	49020.0	11480.0	16292.0	11355.0	15726.0	16887.0	11115.0	15209.0	3694.0	9131.0	87743.0	10545.0	50182.0	10478.0	10675.0	11240.0																																																										
2021-03-23	5408.0	20777.0	20066.0	6353.0	11781.0	64231.0	2670.0	2830.0	35781.0	11205.0	16505.0	44529.0	20437.0	107891.0	16458.0	10891.0	36375.0	11676.0	12764.0	19130.0	20195.0	6440.0	6063.0	3756.0	4718.0	14250.0	16887.0	17039.0	8570.0	9145.0	9169.0	107292.0	12730.0	7494.0	17145.0	13380.0	14620.0	12878.0	48575.0	11520.0	16406.0	11350.0	15318.0	16439.0	11110.0	15238.0	3694.0	9140.0	88092.0	10605.0	50187.0	10544.0	10283.0	10972.0																																																										
2021-03-24	5353.0	20357.0	19717.0	6319.0	11736.0	64557.0	2665.0	2888.0	35823.0	11239.0	16302.0	44799.0	20247.0	108267.0	16511.0	10847.0	34425.0	11531.0	12624.0	18880.0	19817.0	6320.0	6053.0	3756.0	4680.0	14394.0	16692.0	16970.0	8540.0	8745.0	9229.0	107420.0	12445.0	7450.0	16985.0	13315.0	14211.0	12853.0	48355.0	11650.0	16451.0	11449.0	15577.0	16630.0	11208.0	15136.0	3685.0	9164.0	89019.0	10567.0	50187.0	10517.0	10050.0	10967.0																																																										
2021-03-25	5408.0	20215.0	19540.0	6367.0	11761.0	63506.0	2675.0	2903.0	35896.0	11363.0	16359.0	44714.0	20310.0	108535.0	16242.0	10837.0	32650.0	11581.0	12429.0	18975.0	19242.0	6490.0	6076.0	3800.0	4680.0	14364.0	16682.0	16901.0	8475.0	8985.0	9269.0	107558.0	12575.0	7450.0	16700.0	13355.0	13922.0	12815.0	48550.0	11635.0	16163.0	11439.0	15906.0	16857.0	11194.0	15121.0	3709.0	9178.0	89034.0	10511.0	50187.0	10492.0	9932.0	10903.0																																																										
