	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-03-16	5428.0	21161.0	20448.0	6375.0	11766.0	64796.0	2656.0	2903.0	37672.0	11411.0	16946.0	44774.0	20466.0	107426.0	16374.0	11248.0	36440.0	11691.0	12974.0	19610.0	20299.0	7000.0	5887.0	3685.0	4824.0	14230.0	16857.0	17199.0	8714.0	9730.0	9206.0	106948.0	13154.0	7553.0	17670.0	13630.0	15213.0	13187.0	49515.0	11595.0	16540.0	11409.0	16318.0	17728.0	11164.0	15282.0	3664.0	9145.0	88365.0	10762.0	50177.0	10643.0	10575.0	11146.0																																																										
2021-04-16	5519.663812498082	21383.710281414405	19683.029722036703	7149.286944406446	11869.35136612364	67984.63734821304	2919.529100747651	3224.047391596281	38487.144042440894	11842.852020016433	17191.2877478175	47000.942510661036	21775.099485224455	108123.6005501509	17527.647483208624	11353.661717037065	32407.299799758184	11985.505046993794	12870.169851790062	19765.30373426102	19449.08110774047	6431.294429975416	6124.953994509816	3905.211415303434	4405.26694496077	14897.50249955073	18059.120853192857	17577.652996578992	8088.443479802816	9418.581508909554	9353.11760968671	107455.13071162287	13087.10958260951	7574.04635280647	17328.971149264045	14113.146378585481	14592.58842382362	12736.867430679049	51234.32296629685	11706.479304521043	17548.220272554176	11272.228569938456	18276.29923846121	19317.150917241033	11050.673181931566	15689.025896133537	3911.21879978292	9033.701087397401	90147.13952911732	11213.53881451719	50213.67784909474	11000.934052821043	10132.328610022581	11297.825588096714	9984.539682539682	10131.984126984127																																																								
2021-05-14	6145.810727431965	20572.58064024016	18957.071975764615	7341.4260068644635	12385.100020125192	65022.4335396522	3046.84254365751	3428.109394163902	35457.16293171665	11721.124156669643	17001.98033578441	43376.12775410136	22945.76748676215	107048.38781852814	15938.0684235523	11480.646613429499	30416.66134319245	11902.443615923008	12557.525202121416	20436.801891906307	18995.16004768578	6873.585026348984	6857.864723117901	3935.943813727221	4815.950949224414	13729.527127270565	19578.741268388643	17695.176715188987	8117.082672965015	9675.918614543009	9540.317716822854	106959.70385576379	13863.103319377191	7845.658168881167	16298.712528173615	13770.870424549787	14103.732739617146	13229.452892050667	50021.02214684085	11553.091786345092	16619.409214439806	11376.315329033996	17214.263998602248	18389.77303915188	11152.207240435006	15933.483717014144	4202.24549525989	9116.232039835153	89701.84795406247	11261.353430822024	50238.78587279864	11023.94298159419	9548.261643082762	12465.253884936634	10024.13738662414	9689.448175562864																																																								
2021-06-16	6131.004407360727	22226.336795706902	19351.56758763122	7180.059113842489	12624.400333905225	68549.76585040892	3148.064645014416	3861.175046470021	36323.268165627225	12007.48210170845	17939.722716326793	43600.59300974077	23191.102214757797	107841.47127518363	18100.72966863356	12560.26064411321	32748.38265935453	12500.858036862282	13204.835197812366	20240.982121658777	20529.558466949475	7191.625457664734	7255.75562235468	4116.403884159044	5539.508394706476	14100.807626134665	21232.633140740698	18233.726161045244	8222.189572115582	10740.64884088483	9713.255284861974	107176.24109761807	14027.697293783025	7902.82674757437	17098.456867626315	14200.349703042608	15041.991398032365	13533.592817891335	51587.93054843477	11982.111043475099	17673.99246678572	11387.705793932755	17558.51692945099	18088.771013444195	11182.61371593648	16372.74883019536	4290.881287156461	9030.03537994195	91445.65042349052	12238.983651245459	50266.86178083083	11274.111879096741	9777.006542029772	12772.065178454848	10251.182663235042	10221.829725849198	10154.694524341769	86370.80451667048																																																						
2021-07-16	5884.717064620116	21552.415367922018	19022.656852857494	7061.342507138041	12316.36911997803	74157.54344672343	3271.655864969407	3749.9437838018052	37410.10022956566	11815.01478802731	17430.984445982627	44307.130290888075	23624.918956780963	108555.2954703501	19320.330518181247	12608.010881009255	31862.420956702867	12225.682720150478	12897.413680990981	20661.35017060807	20852.751832856768	6859.335184484829	7077.39497012034	3856.79352650735	5151.021338107203	14883.752176238924	20965.921498926436	18754.19819086222	7761.424243495362	10901.320341980181	9541.817555488416	107579.06046825435	13381.465503858875	7734.305326897323	17566.483080019203	14236.722792470384	14332.957710264061	13681.01199211903	51730.61641286148	12504.177125003587	18692.00430750667	11744.358078409623	19775.536101702914	20246.370282833817	11497.342348960332	16678.169534623346	4286.654348583528	9233.324187287182	96903.6944905878	12471.746927257454	50303.986623969504	11862.876440790147	9666.162090779912	13055.915175691885	10767.135910792986	11050.287201363975	10506.837614940932	88782.54105301888	9746.945305823465																																																					
2021-08-13	5967.256646840157	20720.044703879707	17893.365699440816	6950.446939795024	11819.316327447052	76599.75490335793	3085.412533431878	3532.6072024762952	36088.37890825293	11739.706236853397	16832.800805077022	45503.85169709234	23106.624094885785	109293.3673136668	18441.08645089199	12688.130973826295	32053.510630055385	12390.687772448273	12353.316418088609	21249.0160764219	22426.274382354575	6711.071733794388	6849.298637766809	3562.350864213492	5104.639643689477	14817.333013298203	21955.68541233206	19432.76960296458	7929.026440071339	10400.457550354331	8953.005075280718	108113.4518652539	13410.388929811004	7846.926346116377	18304.927278979376	13796.28429100303	14538.133262593947	13457.178442966453	50124.98067437783	12477.351764847874	18960.213760380084	11969.99163757141	21048.820833717444	21963.10141217259	11682.597595541334	17251.3555423446	4267.81526341853	9387.606707882107	97175.45257443856	12575.824268099715	50329.19584177649	12316.963807941858	8538.43076339921	12195.144164004494	11171.558883796606	11420.179495131684	11111.138149106613	91537.85718969445	10132.752080910112	10787.870599499893	11408.087160276718	8791.0	9866.933333333332																																																	
2021-09-16	5860.802648813325	20052.871333962048	17154.73653046676	6949.371103936069	12068.313439168493	79250.37747988163	3230.465607573096	3454.6949376591683	34817.72241477715	11438.37332054451	16459.830588078596	44152.1484628739	23837.089710071574	108493.19662539569	16370.94246436196	12729.665068045972	33181.12476569541	12506.168045483562	12261.981407799294	20812.0792065878	22718.136157783792	6700.192718037573	6816.249843156175	3326.008691471918	5443.766790108639	15172.889975468279	21705.6870520932	19697.92719432945	8316.784114244752	10883.460925275987	8611.05299162925	107706.76121013783	13078.01365237104	7856.919010511201	19180.7482415351	13467.215711627518	14468.3128402392	13409.725498101525	48940.23911833533	12774.26485864541	19479.025621201246	12090.95300626655	22256.00485465775	22266.048925769497	11782.053621005725	17271.723330659333	4332.235450245769	9462.93352074703	100385.1310897413	12699.125475385697	50357.59054460476	12464.850835438228	8166.415107182355	11312.265574591656	11324.989274806843	11805.07417490238	12078.535917536992	89507.20278940882	10649.452200383195	10643.017673357763	11270.108011494505	8725.757824888511	10335.663919237732																																																	
2021-10-15	5909.857266275769	19943.92910570273	17322.11707666825	6604.557775437987	12011.954274191881	77494.22871974914	3075.4706034180845	3258.490962141993	32202.446239050518	10593.280401204232	16283.865811623964	38032.60838544407	23159.557267604217	105690.1267730198	16011.088652686529	12713.095972672547	32693.06077766061	12021.457171143273	12185.73330660107	21000.362809436134	21394.24255578854	7886.634905894745	6237.085132596483	3160.966858042778	5511.027035015718	14330.539396514518	23014.78507518085	19673.463728747472	9583.446148439243	12414.910178541952	8341.817276809565	106192.73698060929	13797.570526331365	7770.413618759316	18116.197444888938	12788.564181758295	14690.176503186649	13748.96912728116	46530.518649888894	12315.27853797697	18799.78640786165	12035.960784195042	23169.786193921733	23062.469773085417	11699.516190393388	17525.1557727559	4339.990237967686	9588.473448692639	98766.53370866532	12585.4401569439	50393.097878884044	12453.092008221976	8206.639029161182	11304.165516137307	11316.84741194572	11545.78416556053	12113.252998900109	84209.37034916366	10127.671179995734	10697.39704921987	11221.475526550468	7962.789882779223	10327.553812620836																																																	
2021-11-16	6021.210990394894	19139.562851650502	17597.18972542693	6844.284219636387	12516.932267893379	83518.0854814598	2971.729380481387	3386.425573227635	34241.515686141545	10460.995256013966	15632.345479217962	37321.004687931156	22082.38313330585	106224.66483429116	17692.138814947284	13416.737513326638	32297.757777705378	12487.843072761814	12303.215195830657	22066.015795555784	20851.051323948515	7954.2740658843295	5837.860389968188	2995.300338975634	5017.880471712836	15231.790486464357	23081.465087362547	20422.907628885205	9267.106902944124	12454.29784057383	8049.983064369506	106120.40139263558	13955.529179709083	7956.396289208798	19818.67205529152	12885.486017123265	15614.903124851346	13691.748930208476	46867.59604347197	12535.471535987504	20372.057187506296	11915.315812578388	24042.24531788497	23991.947354190295	11565.974761132285	17933.58886722464	4440.703257319984	9522.999406689036	100432.4641438803	13066.05366765026	50427.75892355391	13134.765715382578	8589.322514924772	11137.739169875505	11936.746938192227	12438.305401989022	12301.286929190874	84123.67112812289	11769.106197278781	11982.6229268067	12502.280659312135	8582.332628676864	10785.990851534321	10399.879192121873	8819.178562504887																																															
2021-12-16	6016.853867342708	18806.56839908668	16240.894283578331	6838.881684847884	11969.267844422404	84070.61327316414	2903.6347157309965	3113.0262309135373	35052.645953301355	10162.112248419584	15327.643364035004	37525.69974088781	22123.3495703657	107687.72537128086	16780.16521481009	13567.282259401683	28865.17020887322	12013.734513960617	11668.330662778662	21526.135584358166	20347.94358755382	7663.17786080219	5784.06573244581	2810.4269905806395	4559.161661357992	14929.543779323216	22858.7651799834	20291.60863278094	9155.50528505013	11127.812434267482	7876.976432319418	106897.11394128832	13603.049566871923	7986.443192814896	19287.140968721404	13015.720559474472	14285.817176080494	14150.930568873628	47353.06043686772	12761.2140287093	20428.30022026472	12064.447801188424	22718.539657174424	22071.785992848243	11684.308479064646	17508.133872887818	4416.775060821356	9555.248677492	100374.17797338107	13334.192013038079	50480.23362130139	13253.361693326406	7586.138473587636	10194.157969889442	12035.923159062133	12523.006920410491	11543.30884868787	86191.0297485998	12057.412043358374	11393.265254646045	11742.851876564182	9486.76241095844	10581.987124202455	9149.299018353655	8855.667082113894	10030.396825396825	9970.0																																													
