	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-03-31	5573.989255189255	20583.117216117214	19976.813186813186	6469.158241758242	11533.113553113553	63806.55824175824	2752.1557997557998	3162.1008547008546	36424.49426129426	11612.817826617827	16482.442002442003	45132.0673992674	20932.285714285714	107794.77313797314	16221.772405372405	11042.316971916973	32409.980463980464	11621.58363858364	12625.653235653235	19659.069597069596	19200.156532356534	6577.020757020757	6151.56800976801	3811.93431013431	4592.452258852259	14259.082295482296	16948.74358974359	17036.54188034188	8348.556776556776	9119.787545787545	9273.70989010989	107149.32014652014	12722.761416361416	7653.880586080586	16940.7326007326	13557.431013431013	14178.082783882784	13072.0778998779	49266.3894993895	11489.178266178265	16239.916971916971	11363.244688644689	16243.18437118437	17208.64224664225	11119.369963369963	15378.994871794872	3819.181440781441	9161.685225885225	88690.15555555555	10789.88083028083	50194.4652014652	10634.790964590964	10214.006593406593	11344.620268620269																																																										
2021-04-30	5830.092445147462	19846.287802919705	19511.851591515464	7342.115514605371	12018.210304077145	67767.97230208525	3016.3823526430865	3464.0098119198233	37532.42103904837	11464.568214841278	16350.931921579813	43970.410099931665	22805.953222213542	107351.56308642981	16614.032858817143	11676.06607591431	33490.60771471126	12065.13135258959	12993.903486190591	19862.56865599615	19855.94441516796	6485.53349065743	6480.738236343473	3845.232628331766	4576.886002885928	14211.889162557309	18345.529414912366	17666.478176759643	8029.328558082304	9590.330646014792	9274.671013286143	107064.37415106282	13432.899521096895	7678.982467147521	17370.81442495289	13905.65736949826	14857.16268402304	13211.880729940422	50523.33918254289	11702.994608695619	17565.517793235922	11196.448465395919	18140.167284404637	19216.796045811778	10990.107102713204	15813.663111233947	4067.693573055771	8982.8043955902	89331.15247996141	11494.956580889933	50221.366872899955	11056.80657622671	10349.961258420894	12456.989087555849	10048.34232089723	10088.471976806286																																																								
2021-05-31	6139.052549538508	20953.515215468986	19471.838937476332	7228.130298834829	12867.767675800904	66629.92327494107	3103.7859790465404	3560.990341205238	35559.406409113006	11868.688597809249	17411.246074546667	43322.96789819736	22786.67164793629	107050.34315216653	16873.722723069877	11871.598287708428	31110.37271615546	12254.518987906175	13074.970239455197	20617.770314347566	19383.48062504657	6772.874594752294	7280.02916476867	4069.309515443093	5371.384717723852	14029.036647585226	20598.34447389491	17942.35564132343	8024.487385422817	9982.652264272016	9648.646794645336	106866.53584360915	13783.11533527283	7883.358064618048	16864.329797390797	13947.383662523975	14645.766340566033	13937.182082902395	50678.52638881528	11726.834074010103	17222.143954310977	11294.931948563511	17200.343031248634	18243.07106742105	11095.780475820737	15988.208480192397	4235.7521928664655	9014.916242226403	89970.13461714264	11699.035501397288	50260.85428307891	11122.256780255464	9914.796153948324	13131.97095105951	10110.18861073163	9928.557078303407	10015.41935483871	83237.46666666666																																																						
2021-06-30	6144.096683991564	22371.347008589557	19700.469304284794	7223.909237415862	11947.91543001358	71504.95777915079	3221.422914692397	3793.7384521938184	37054.540300942994	11938.57175986495	17936.290744840164	44493.671477548574	23824.0469748191	107747.24655397967	18922.802470379524	12265.568613910267	33696.238654940775	12246.421736364124	13176.437339060363	20210.29881066568	21091.50738131538	7106.915649861001	7149.797612912456	3947.284574105624	5178.400887104206	14544.913874634898	21951.459602676507	18333.789771641645	7758.701357004019	11018.120750821177	9713.707280551624	106930.67796982189	13537.70380595096	7765.618971433178	17524.695758659793	14356.557958694379	14969.781241599641	13730.119719548722	52189.82708061371	12149.504014690894	18246.643547330845	11480.689165814387	18312.872575126417	18837.67848731782	11250.261341519468	16396.413817216988	4319.211798131989	9139.871128300725	93888.6334476792	12145.414046534419	50279.21177908284	11498.901476444431	10220.923834513702	13263.559633963334	10439.690608069566	10666.376786841649	10170.87079555445	85335.1531139784	9817.0																																																					
2021-07-31	5887.806364320918	20800.776772820238	17381.476227395367	6920.666350104627	12280.919305781228	75074.02103852219	3198.434234243134	3691.775335726369	36698.00205100543	11443.186537878933	16982.02439887303	42971.137822549696	23578.07316304373	109628.12919479527	18831.525713396662	12717.117198125987	31509.88517671553	12234.278987031397	12274.012122735343	20897.462256025985	21403.967531086775	6712.455405453598	7007.805073213009	3665.28495461573	5155.995138025495	14648.00561735961	20915.862228026293	18983.073435733262	7763.074633050288	11003.531562833965	9090.197087456532	108081.71001998853	13346.264126468612	7695.5784231707985	17625.53367488283	13970.113987102022	14380.46089620143	12943.725597648554	50820.21056290319	12668.207204223636	18793.89062920655	11917.436873123446	20063.53372666182	20655.846064729332	11634.937834325156	16915.075360873656	4262.829740574789	9294.268871276647	98581.43622508846	12534.05053410865	50310.54197912497	12018.939332461709	8524.101720791778	12007.623940601261	10908.297007725385	11190.803014845082	10613.46468517084	91806.7622471221	9813.130813852646	10385.708414872799	10662.796477495107																																																			
2021-08-31	5948.64953937834	20262.983908546816	17150.82879184543	7040.041722138572	12214.84683414426	79028.15759516766	3078.12861940109	3424.464651954334	35099.01092720129	11789.120950310964	16461.088769924354	45849.10393149272	22939.452453171332	109430.37762075863	18103.33402658735	12795.118716295814	32942.04028839358	12419.314300670141	12303.84634590727	21361.430183631066	22627.70228241326	6644.373081901267	6979.357567694222	3453.6002689766665	5317.77228498227	14998.339518072898	21407.16537373649	19736.78797343895	8149.731946503941	10435.949930444509	8913.053713415664	108180.91672454358	13043.920111782134	7907.267053879939	18429.79732777294	13605.554826313966	14682.393619757126	13124.640223849105	49544.428701501165	12693.86101160393	19555.944440312684	12017.513667791784	20118.88467814146	21177.399951861415	11698.631639450949	17481.76238063591	4275.404206671591	9410.700979837833	99253.94358035861	12713.947179818408	50340.87070109462	12497.021954984346	8261.279018927442	11182.79352742383	11368.06960882998	11780.820400144108	11003.118231518118	91339.62541854965	10496.212769570779	10670.3900734255	11217.415081443653	8678.049287392803	10478.417554246651																																																	
2021-09-30	6061.920333193854	19242.70211979658	16935.943254144273	6678.581024249501	11693.588386243504	77374.10451156157	3172.948950059165	3284.3726167004625	33794.47439386544	11148.565416566755	15819.295551469364	42195.4933473662	23904.321013359935	106880.90778613591	15831.390175502827	12450.138008344109	32927.118162232	12094.07162535534	12021.452979748432	20825.758431301467	22082.188563732685	7317.071818109669	6637.587889399658	3156.031317902124	5638.841928047724	14769.171015433345	21907.95849259448	19509.4291187057	8380.428000892538	11394.011413478718	8338.445726497102	106843.3340719542	13063.109481659149	7771.772804769618	18458.091783136995	13209.86106024709	14620.369631564368	13501.19316795392	47980.548743112	12327.611444208167	18829.640825165636	12035.921507861458	23466.531287927013	23303.523819732574	11712.289481414107	17240.755651020776	4343.001839455045	9565.405730630835	99133.2588366386	12293.36035527645	50369.113988629724	12392.108209651862	8033.182930524862	11588.744262301498	11255.874916209428	11528.492766991425	12281.535436855758	85682.61877179226	10297.644157815494	10522.289200573106	10911.469593839802	8368.41998298614	10332.552061868864																																																	
2021-10-31	6158.216657486597	19613.440360454788	17388.115348707684	6757.163630640076	12092.569291283391	79893.13205929662	3010.5424517611505	3398.147940392717	33136.25043578033	10403.5686332043	16095.082876769164	37397.20176600141	22621.314020769147	104499.16125661429	16812.586024074888	13154.854585910813	31955.857481228184	12350.226032393693	12201.442122369728	21245.69859649359	21206.22289312089	7941.573862212788	5947.157309699802	3144.1884441973075	5363.4121357763825	14510.83255800441	22747.99783698748	19928.647913797606	9266.874459129336	12673.954990408733	8153.631657496884	105187.10423533263	13911.52008840462	7885.20059923707	18630.738474067275	12880.726136896248	14820.199391116394	13648.61813391336	46788.394061181534	12441.411404822244	19637.240025788928	11814.568321078315	22508.822056830002	22359.362763450277	11456.62159784218	17358.000152121833	4451.541982654266	9444.56979828974	98771.13333369987	13050.822695465766	50405.55087683485	12724.37020703928	8325.021131864414	10901.639810074354	11558.458835363228	11899.92654703668	11647.261965819238	80257.94079135661	10446.984053886714	11067.50820024338	11940.580542506397	8258.447060432403	11039.527884582638	10230.850393700788	8581.535433070867																																															
2021-11-30	5811.440635732808	17844.162659034817	16493.98553684124	6375.381136933239	12076.090754167864	84909.966880353	2786.7956341606264	2932.4418218488554	33895.824722349746	9907.769526617201	14428.21908738205	36056.13867645306	21201.84021790362	106875.12076643974	16827.719862123973	13353.134509290358	30557.17554470479	11897.569182688243	11697.394741402179	21601.353531050347	20908.934620433545	7716.517845767465	5353.2400980370785	2663.953418299781	4296.164922335657	14678.320107896938	23545.177211999377	20176.959870731334	9244.647565334906	11109.730759609934	7505.466780336298	106386.703516985	13497.02590740206	7815.317769813681	19219.407882866493	12471.411607438597	14598.153225707862	13700.610106377157	45345.5494101987	12707.661593296863	20533.702204284673	12118.193667785721	23759.435786443246	23129.426706400576	11719.530248790168	17431.34334850315	4382.649124274727	9613.583007233094	98836.9789688905	12985.485403972314	50456.91285051128	13136.495864956429	7956.187814955982	11119.044667158081	11928.259518494327	12636.34600136913	11627.044225516787	84387.85026477356	12100.72959589578	11737.48303020196	12566.28640689386	8885.835285770192	10508.260733253452	10000.779178155175	8722.368338259623																																															
2021-12-31	6045.745951042327	19244.424383202233	15793.853412386306	6885.3397282078595	12112.036394379318	85691.96544264958	2852.1490573395813	3066.9951428036265	36172.24281831377	10078.649523680098	15692.13832359769	36719.38544896571	22480.15463825231	107321.57688024538	16584.78824728009	13980.973908456446	29648.1984084071	12356.88255323629	11707.97688541287	21902.8868511566	20581.28803084722	7796.4825955671895	5875.964907941841	2750.603932607989	4632.2843375599205	15224.191937284495	23061.89918474608	20748.14512561795	9185.652837192432	11848.03497308034	7749.090797297187	106726.78819720828	14101.662157780149	8047.004339055484	19834.054825164767	13114.356172421361	14498.778141773517	13950.245049383666	47656.42388714538	12569.88399807491	20741.495410371354	12091.486765430847	22879.22513638396	21905.80838475864	11710.047176249087	17941.722786985243	4473.075952207833	9594.604735036613	100703.76189255214	13758.092960950233	50504.3957359583	13551.057970403639	7188.337049290612	9843.550935517469	12306.225510897522	12772.346686445713	11664.080379735047	84323.83889623887	12339.321691448593	11595.40162622524	11383.622902223207	10006.61304922945	10121.50584680098	8965.13505763511	9114.061198322377	9863.342565041581	10106.68376068376																																													
