	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-03-22	5460.0	21169.0	20497.0	6411.0	11756.0	63739.0	2670.0	2864.0	36742.0	11247.0	16792.0	44724.0	20672.0	107685.0	16604.0	10834.0	35820.0	11711.0	12879.0	19110.0	20180.0	6500.0	6076.0	3761.0	4790.0	14295.0	17126.0	16989.0	8699.0	9185.0	9193.0	107223.0	12825.0	7491.0	17250.0	13505.0	14784.0	13112.0	49020.0	11480.0	16292.0	11355.0	15726.0	16887.0	11115.0	15209.0	3694.0	9131.0	87743.0	10545.0	50182.0	10478.0	10675.0	11240.0																																																										
2021-04-22	5558.0	20892.0	19567.0	7211.0	12134.0	68063.0	3009.0	3249.0	37995.0	11738.0	16841.0	46522.0	22542.0	108389.0	17111.0	11665.0	32325.0	12015.0	12774.0	19780.0	19762.0	6315.0	6275.0	3889.0	4420.0	14932.0	18437.0	17652.0	8057.0	9160.0	9264.0	107613.0	13174.0	7644.0	17170.0	13990.0	14495.0	13155.0	50785.0	11855.0	17562.0	11325.0	18415.0	19279.0	11110.0	15835.0	4026.0	9031.0	90332.0	11523.0	50217.0	11053.0	10243.0	11841.0	10046.0	10140.0																																																								
2021-05-21	5991.0	20634.0	19430.0	7121.0	12696.0	66543.0	3044.0	3391.0	35939.0	11596.0	17031.0	43369.0	22190.0	107313.0	16539.0	11668.0	31220.0	12210.0	12809.0	20420.0	19630.0	6810.0	6946.0	3869.0	4930.0	13918.0	20482.0	17998.0	7893.0	9335.0	9376.0	107076.0	13739.0	7870.0	16670.0	13820.0	14326.0	13480.0	50200.0	11635.0	17011.0	11399.0	17560.0	18820.0	11184.0	16113.0	4115.0	9113.0	89820.0	11541.0	50257.0	11139.0	10000.0	12745.0	10130.0	9916.0																																																								
2021-06-22	6038.0	22648.0	19345.0	7141.0	12030.0	70009.0	3205.0	3925.0	36427.0	11945.0	18104.0	44061.0	23549.0	108132.0	18475.0	12439.0	33355.0	12245.0	13049.0	20205.0	20776.0	7165.0	7140.0	4060.0	5363.0	14448.0	21499.0	18157.0	7983.0	10995.0	9807.0	107297.0	13399.0	7772.0	17085.0	14180.0	14804.0	13475.0	51510.0	12155.0	17800.0	11534.0	17938.0	18434.0	11287.0	16404.0	4280.0	9155.0	94431.0	12226.0	50272.0	11386.0	9832.0	12948.0	10337.0	10437.0	10117.0	86777.0																																																						
2021-07-22	5889.0	21431.0	18844.0	7002.0	12154.0	74681.0	3224.0	3701.0	37128.0	11716.0	17344.0	43718.0	23540.0	109238.0	18749.0	12692.0	32660.0	12045.0	12724.0	20760.0	21455.0	6680.0	7045.0	3775.0	5132.0	14992.0	20985.0	18831.0	7838.0	10635.0	9460.0	107834.0	13044.0	7698.0	17560.0	14120.0	14485.0	13805.0	51335.0	12580.0	18698.0	11892.0	19952.0	20415.0	11623.0	16808.0	4274.0	9295.0	97431.0	12528.0	50312.0	11940.0	9491.0	12929.0	10837.0	11130.0	10665.0	90819.0	9802.0	10350.0	10709.0																																																			
2021-08-20	5641.0	19111.0	16913.0	6553.0	12055.0	76938.0	2838.0	3204.0	34504.0	11298.0	15525.0	43453.0	21515.0	109884.0	18070.0	12564.0	30560.0	12145.0	11695.0	21130.0	21945.0	6290.0	6464.0	3221.0	4747.0	14018.0	22047.0	19392.0	8102.0	9715.0	8622.0	108425.0	12505.0	7806.0	17885.0	13160.0	13782.0	13066.0	47800.0	12795.0	18802.0	12210.0	20324.0	21289.0	11894.0	17311.0	4176.0	9536.0	99992.0	12598.0	50327.0	12323.0	7677.0	11126.0	11205.0	11482.0	10275.0	92641.0	9954.0	10221.0	10749.0	8372.0	9487.0																																																	
2021-09-17	5855.0	19993.0	17086.0	6981.0	11871.0	79819.0	3267.0	3361.0	34711.0	11470.0	16402.0	44619.0	23964.0	108209.0	16233.0	12772.0	33600.0	12495.0	12304.0	20875.0	22908.0	6805.0	6861.0	3316.0	5464.0	15325.0	21833.0	19777.0	8306.0	10990.0	8584.0	107598.0	13014.0	7850.0	19395.0	13435.0	14465.0	13339.0	48920.0	12750.0	19561.0	12101.0	22228.0	22157.0	11801.0	17325.0	4358.0	9495.0	100636.0	12729.0	50357.0	12519.0	8351.0	11767.0	11363.0	11898.0	12050.0	88876.0	10763.0	10632.0	11194.0	8834.0	10207.0																																																	
2021-10-22	6153.0	19638.0	17992.0	6818.0	12030.0	79387.0	3024.0	3219.0	32777.0	10689.0	16145.0	38191.0	22914.0	105334.0	16873.0	12985.0	32010.0	12250.0	12394.0	21415.0	21266.0	7915.0	6085.0	3177.0	5344.0	14468.0	22775.0	20007.0	9501.0	12570.0	8404.0	105943.0	13918.0	7839.0	18660.0	12925.0	14924.0	13881.0	46960.0	12170.0	19403.0	11822.0	22715.0	22509.0	11504.0	17585.0	4414.0	9514.0	98014.0	12953.0	50397.0	12740.0	8777.0	11350.0	11570.0	11828.0	11737.0	83316.0	10439.0	10974.0	11668.0	8044.0	10685.0	9941.0	8644.0																																															
2021-11-22	5987.0	19353.0	17350.0	6750.0	12423.0	86224.0	2894.0	3219.0	35866.0	10342.0	15680.0	37014.0	22063.0	105777.0	17831.0	13470.0	31590.0	12330.0	12120.0	21875.0	20960.0	7560.0	5742.0	2927.0	4709.0	15310.0	23124.0	20629.0	9351.0	11810.0	7899.0	105775.0	13579.0	7923.0	20055.0	13100.0	15313.0	13810.0	47670.0	12595.0	20941.0	11977.0	24104.0	23629.0	11633.0	17725.0	4448.0	9570.0	100001.0	13017.0	50457.0	13304.0	8361.0	11027.0	12089.0	12850.0	12085.0	83117.0	12436.0	12123.0	12787.0	9491.0	11065.0	10360.0	8794.0																																															
2021-12-22	6042.0	18696.0	15943.0	6851.0	12000.0	83329.0	2863.0	3024.0	35008.0	10064.0	15307.0	36397.0	22118.0	107909.0	16483.0	13599.0	30200.0	11926.0	11570.0	21250.0	20885.0	7670.0	5826.0	2717.0	4583.0	14755.0	22895.0	20327.0	9147.0	11160.0	7764.0	107140.0	13754.0	7913.0	19305.0	12995.0	14316.0	13951.0	47265.0	12705.0	20102.0	12131.0	21856.0	20938.0	11781.0	17565.0	4436.0	9627.0	101053.0	13414.0	50487.0	13206.0	7424.0	10004.0	12006.0	12413.0	11507.0	86736.0	11888.0	11187.0	11169.0	9731.0	10044.0	8961.0	8916.0	10165.0	10030.0																																													
