	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080
2020-12-31	4879.0	17393.0	18685.0	6058.0	12861.0	61264.0	2304.0	2805.0	33998.0	12133.0	14696.0	54034.0	18957.0	109696.0	14280.0	10085.0	34195.0	11371.0	12274.0	16700.0	19077.0	4880.0	4901.0	3414.0	4136.0	15338.0	14588.0	15584.0	8669.0	8693.0	108263.0	11391.0	7064.0	15785.0	12690.0	12775.0	12757.0	46075.0	13260.0	16272.0	11409.0	14399.0	15380.0	11223.0	13273.0	3551.0	8781.0	96587.0	9900.0	50112.0	9649.0	9987.0	11146.0																																																								
2021-01-31	4598.0	21018.0	20416.0	6115.0	12557.0	63554.0	2444.0	2583.0	37285.0	11531.0	16602.0	47812.0	19726.0	109647.0	15666.0	10268.0	36740.0	11236.0	12904.0	17060.0	20140.0	5225.0	5280.0	3498.0	4238.0	14300.0	14857.0	15883.0	8530.0	8726.0	108194.0	11756.0	7060.0	17380.0	13220.0	13503.0	13713.0	48085.0	12915.0	16411.0	11688.0	17092.0	18722.0	11445.0	13625.0	3526.0	9046.0	96347.0	10168.0	50137.0	9947.0	11550.0	12268.0																																																								
2021-02-28	4980.0	20584.0	20690.0	6135.0	11965.0	62655.0	2554.0	2725.0	37323.0	11187.0	16430.0	43987.0	20318.0	108067.0	16335.0	10844.0	35630.0	11516.0	12944.0	18005.0	19976.0	6465.0	5591.0	3576.0	4646.0	13555.0	16199.0	16507.0	8645.0	8995.0	107573.0	12944.0	7309.0	17465.0	13425.0	14171.0	14053.0	48760.0	11770.0	16113.0	11414.0	16744.0	18383.0	11203.0	14676.0	3591.0	9083.0	91120.0	10376.0	50162.0	10216.0	11261.0	12114.0																																																								
2021-03-31	5695.0	20633.0	20037.0	6526.0	11423.0	63874.0	2764.0	3189.0	36496.0	11632.0	16487.0	45018.0	21017.0	107645.0	16302.0	11149.0	32075.0	11636.0	12634.0	19775.0	19117.0	6550.0	6120.0	3800.0	4588.0	14205.0	17046.0	17028.0	8192.0	9264.0	107031.0	12735.0	7793.0	16995.0	13575.0	14191.0	13092.0	49360.0	11500.0	16223.0	11345.0	16332.0	17335.0	11105.0	15420.0	3926.0	9160.0	89535.0	10886.0	50202.0	10667.0	10275.0	11394.0																																																								
2021-04-30	5952.0	19557.0	19430.0	7360.0	11995.0	67738.0	2980.0	3504.0	37135.0	11385.0	16180.0	43403.0	22652.0	107193.0	16349.0	11799.0	33440.0	12045.0	12944.0	19935.0	19689.0	6575.0	6488.0	3845.0	4623.0	14071.0	18387.0	17757.0	8037.0	9260.0	106933.0	13474.0	7810.0	17250.0	13835.0	14829.0	13273.0	50235.0	11705.0	17508.0	11200.0	18038.0	19126.0	10991.0	15852.0	4164.0	8985.0	90168.0	11605.0	50222.0	11093.0	10270.0	12566.0	10113.0	10097.0																																																						
2021-05-31	6258.0	21277.0	19530.0	7230.0	12915.0	66629.0	3115.0	3613.0	35454.0	11932.0	17605.0	43438.0	22846.0	106803.0	16951.0	12013.0	31130.0	12220.0	13159.0	20695.0	19381.0	6740.0	7238.0	4114.0	5494.0	14071.0	20571.0	17963.0	8082.0	9715.0	106800.0	13833.0	8017.0	16895.0	14000.0	14685.0	14006.0	50865.0	11720.0	17250.0	11265.0	16993.0	17956.0	11070.0	16021.0	4359.0	8989.0	90899.0	11806.0	50262.0	11132.0	9893.0	13271.0	10142.0	9943.0	10005.0	84398.0																																																				
2021-06-30	6195.0	22396.0	19704.0	7208.0	11881.0	71908.0	3219.0	3784.0	37229.0	11927.0	17934.0	44584.0	23850.0	107824.0	19086.0	12354.0	33475.0	12235.0	13144.0	20100.0	21162.0	7040.0	7158.0	3948.0	5166.0	14626.0	22062.0	18357.0	7719.0	9719.0	106948.0	13519.0	7876.0	17585.0	14385.0	14924.0	13788.0	52320.0	12180.0	18351.0	11464.0	18410.0	18992.0	11243.0	16414.0	4409.0	9131.0	95071.0	12224.0	50277.0	11535.0	10211.0	13241.0	10497.0	10743.0	10191.0	86983.0	9832.0																																																			
2021-07-31	5908.0	20663.0	17340.0	6869.0	12343.0	74815.0	3185.0	3676.0	36415.0	11338.0	16843.0	42576.0	23472.0	109654.0	18715.0	12789.0	31370.0	12255.0	12260.0	20930.0	21365.0	6710.0	6955.0	3629.0	5151.0	14513.0	21055.0	19021.0	7764.0	9014.0	108056.0	13484.0	7811.0	17615.0	13885.0	14410.0	12933.0	50540.0	12680.0	18698.0	11927.0	20037.0	20631.0	11638.0	16918.0	4339.0	9291.0	99680.0	12585.0	50312.0	12028.0	8499.0	12005.0	10942.0	11165.0	10547.0	93686.0	9870.0	10464.0	10839.0																																																	
2021-08-31	6014.0	20514.0	17298.0	7079.0	12254.0	79583.0	3134.0	3441.0	35559.0	11888.0	16598.0	46255.0	23109.0	109498.0	18222.0	13005.0	33005.0	12475.0	12394.0	21335.0	22561.0	6655.0	7054.0	3472.0	5344.0	15095.0	21429.0	19828.0	8182.0	8964.0	108233.0	13089.0	8061.0	18480.0	13735.0	14769.0	13132.0	50110.0	12725.0	19740.0	11987.0	20359.0	21481.0	11667.0	17539.0	4371.0	9377.0	100326.0	12913.0	50337.0	12548.0	8371.0	11096.0	11445.0	11880.0	11145.0	93408.0	10583.0	10711.0	11244.0	8739.0	10542.0																																															
2021-09-30	6175.0	19183.0	17021.0	6680.0	11642.0	77121.0	3167.0	3284.0	33693.0	11108.0	15751.0	41710.0	23778.0	106767.0	15891.0	12568.0	32505.0	12015.0	12025.0	20880.0	21836.0	7400.0	6558.0	3138.0	5652.0	14731.0	21977.0	19533.0	8445.0	8311.0	106765.0	13074.0	7909.0	18225.0	13180.0	14595.0	13548.0	47855.0	12285.0	18713.0	12051.0	23556.0	23515.0	11717.0	17284.0	4437.0	9589.0	99970.0	12375.0	50372.0	12418.0	8003.0	11618.0	11302.0	11503.0	12270.0	86861.0	10167.0	10474.0	10939.0	8319.0	10330.0																																															
2021-10-31	6162.0	19430.0	17323.0	6713.0	12085.0	80133.0	2990.0	3396.0	32960.0	10246.0	15922.0	36602.0	22375.0	103794.0	16735.0	13313.0	32375.0	12375.0	12120.0	21210.0	21221.0	7945.0	5874.0	3098.0	5311.0	14403.0	22835.0	19966.0	9252.0	8055.0	104963.0	13848.0	8000.0	18615.0	12775.0	14864.0	13704.0	46385.0	12465.0	19676.0	11802.0	22407.0	22276.0	11426.0	17381.0	4542.0	9437.0	100046.0	13206.0	50407.0	12764.0	8262.0	10828.0	11619.0	11950.0	11609.0	81133.0	10504.0	11152.0	11998.0	8251.0	11114.0	10433.0	8629.0																																													
2021-11-30	5734.0	17502.0	16268.0	6221.0	12055.0	85014.0	2729.0	2824.0	33405.0	9719.0	14108.0	35749.0	20771.0	107215.0	16619.0	13363.0	30065.0	11761.0	11585.0	21420.0	20845.0	7555.0	5245.0	2564.0	4179.0	14503.0	23433.0	20046.0	9227.0	7333.0	106613.0	13434.0	7878.0	19010.0	12275.0	14360.0	13716.0	44645.0	12785.0	20559.0	12126.0	23432.0	22825.0	11746.0	17284.0	4420.0	9602.0	100122.0	13010.0	50457.0	13088.0	7814.0	11027.0	11909.0	12660.0	11462.0	86775.0	12117.0	11583.0	12523.0	8762.0	10493.0	9926.0	8694.0																																													
2021-12-31	6105.0	19170.0	15834.0	6869.0	12075.0	85893.0	2848.0	3074.0	36367.0	10030.0	15627.0	36642.0	22493.0	107023.0	16549.0	14161.0	29470.0	12380.0	11660.0	22000.0	20552.0	7780.0	5897.0	2742.0	4637.0	15205.0	23179.0	20846.0	9192.0	7713.0	106627.0	14143.0	8210.0	19870.0	13080.0	14485.0	14040.0	47515.0	12470.0	20747.0	12091.0	23030.0	22009.0	11702.0	18081.0	4575.0	9598.0	101896.0	13897.0	50507.0	13624.0	7145.0	9835.0	12399.0	12825.0	11698.0	85433.0	12378.0	11588.0	11414.0	10113.0	10182.0	8937.0	9204.0	9870.0	10095.0																																											
2022-01-31	6153.0	17332.0	16340.0	6267.0	12060.0	74883.0	2590.0	2706.0	32753.0	8826.0	14447.0	29879.0	20977.0	104332.0	13246.0	12749.0	22670.0	11566.0	11350.0	21035.0	17511.0	9430.0	5343.0	2442.0	4209.0	12512.0	23513.0	19465.0	9386.0	7209.0	105071.0	14797.0	7953.0	17120.0	11910.0	12565.0	13306.0	43300.0	12145.0	17825.0	11937.0	18693.0	18311.0	11608.0	17304.0	4392.0	9726.0	97506.0	12466.0	50557.0	12568.0	7081.0	8371.0	11445.0	11170.0	9222.0	80428.0	10494.0	10489.0	10300.0	9245.0	9482.0	7671.0	8939.0	11365.0	10235.0		9543.0																																									
2022-02-28	6369.0	16510.0	15750.0	6549.0	12811.0	73058.0	2776.0	3069.0	32376.0	9256.0	14023.0	30296.0	21870.0	103911.0	13060.0	12847.0	23620.0	11106.0	11100.0	20340.0	17317.0	9770.0	5840.0	2883.0	4752.0	12532.0	23329.0	19236.0	9655.0	7602.0	104766.0	15556.0	7718.0	16665.0	12010.0	12830.0	13263.0	43810.0	11905.0	17463.0	11842.0	18648.0	18035.0	11529.0	17163.0	4554.0	9679.0	92751.0	12453.0	50612.0	12370.0	6719.0	8495.0	11258.0	10907.0	10057.0	78576.0	10509.0	10310.0	10290.0	8917.0	10005.0	8173.0	8850.0	11435.0	10675.0	10132.0	9508.0	10462.0																																								
2022-03-31	6616.0	16642.0	14939.0	6662.0	12935.0	80446.0	2985.0	3064.0	32552.0	9476.0	14117.0	31652.0	23444.0	101546.0	13960.0	13837.0	24150.0	11611.0	10890.0	22135.0	18676.0	11030.0	6209.0	2757.0	4988.0	13261.0	23094.0	20634.0	10217.0	7372.0	103382.0	16980.0	8110.0	17080.0	12180.0	13593.0	12307.0	44355.0	11240.0	19041.0	11544.0	20092.0	19453.0	11233.0	18124.0	4731.0	9764.0	90734.0	13364.0	50666.0	13414.0	6029.0	8266.0	12211.0	12005.0	10783.0	75025.0	11260.0	10929.0	10599.0	9147.0	9438.0	9306.0	9343.0	10430.0	10910.0	10316.0	8455.0	11440.0	10470.0	9740.0																																						
