	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-05-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																						
2021-06-30	0.32927847473256405	90.2718796637666	14.51304212619434	-0.2836754665178887	-58.819153113597714	310.65164369132833	7.487626097491739	14.78950917981092	95.43485330654076	4.387144572313991	33.31780774165527	74.93262945470633	66.15829777535983	44.55945890393341	130.38145417287015	24.974924214374916	164.9673091476463	-0.6203074083547108	6.278523560860776	-26.005472453520632	108.98923228468047	21.43081951010536	-8.502172633008012	-7.836939311931201	-12.501773457774835	32.87366565281409	85.99172417771479	24.97094790003903	-16.962397222727304	65.94642795261753	4.08172987861617	4.178852053475566	-15.623075005883583	-7.534700640930533	41.94697937954042	26.046079452695267	20.50618210355169	-13.368944103317336	96.19283688057912	26.889854052933515	65.13558946239645	11.919593943237851	71.08424314593431	38.131389773252884	9.908918604720384	26.09265829776705	5.289780024499487	8.042348873516312	250.0790374547476	28.326291218327242	1.1662532087764703	24.027344197283675	19.48364687176072	8.254625679265882	21.02199438378593	47.016961389147035	9.920547783569782	133.86944848940476	0.0																																																					
2021-07-31	-15.838197429808641	41.68447248025855	-125.1770606640249	-19.798213103153977	-71.21687134520587	716.138443752313	10.304061629599673	16.743240289258026	127.27776408870588	-24.71738634310779	-8.520797365939362	20.635530001827284	88.30864752618888	190.08455998693358	199.14497703312838	68.07934882504603	119.81379818471555	-1.750094647418591	-47.720329246089385	2.9704885842930535	191.28024403765565	8.517426570950628	-22.427725807962414	-30.316850677845796	-21.083667751437897	58.25909891370945	69.09644479394483	80.69208863184147	-26.387149267866334	102.74199737592221	-33.3741589369229	80.02566521726548	-36.77795326271851	-16.314974619837013	72.37923789514811	16.284563121758403	-5.371693675082351	-71.20288231048674	63.81708635262679	75.37542133144306	137.3223727527866	46.610770881048225	223.47320547856157	175.97679373631138	40.12676559163665	74.11950829934125	4.717784962198785	22.49651724074385	692.6279057515761	69.3330620626235	3.8328632488416043	70.96050281016184	-77.6573761272998	-67.17395184860419	62.95361777496611	107.38207055640407	43.84120055379055	623.4564280879545	-0.2469224208005471	0.0	0.0																																																			
2021-08-31	-21.223176375222508	-25.575781409910306	-220.63727729969042	-23.327664141746176	-79.17442725205275	1182.75204901521	3.8110187818378902	-0.04092009055071877	38.012687865678686	-19.54075346785155	-67.59916246248572	168.96866584539066	56.455429216550655	258.17748266776186	184.58256256689864	96.2933202909702	175.97933470117985	9.447443518024171	-77.06578085805842	50.63819229887019	310.24294758186534	-4.436048471660267	-31.72525215694154	-56.23982610334981	-14.956604541125008	93.26593954536051	85.88500285688554	159.2464810693151	-6.136774466861242	83.81263331787032	-66.33936876668815	129.50912169662536	-67.2849161767672	-7.39919021602263	138.72500355634884	-14.049223972139881	-2.075705329708464	-91.98119650718307	-41.6029168924708	103.21801424820791	223.54003561387	72.16437957283743	310.1338325059607	285.9469828875249	60.91396370472968	136.2725782624049	4.8916192401712175	37.737626250541595	974.4694919708281	102.65875615113444	7.227431921178242	126.95105013217724	-151.1127005643593	-163.43421434534352	115.0856301795714	176.8902304529861	87.54802550754707	866.0997659044206	43.20451286692056	18.16771838056884	35.39446361381124	0.0	0.0																																																	
2021-09-30	-16.173425563129456	-131.74694381015843	-281.8621113890573	-47.28561912416347	-112.80027827677333	1302.6208030722228	5.543500461155044	-19.570884213289656	-103.77634010220254	-56.059665329148245	-141.9448664614974	19.31556011705287	94.62588483736207	123.49826845664418	19.617093070849705	86.48201173361184	199.9552158848643	-4.801764814042999	-109.17060797933541	43.61261469197988	332.3381250936924	30.54942365222857	-57.55781007833055	-88.3146734096305	10.268321587341582	95.2731139867067	123.31573233334393	185.0215953840224	21.71274058009527	128.12022256923416	-119.97587943892987	67.88681473668012	-81.38149379111783	-9.998775454984784	174.26598134414854	-57.64208133495931	-3.8890214207269835	-75.74970574153338	-205.57027790698208	91.41682347370765	218.53932278363152	85.27477601185791	560.4540788370433	474.4288849824912	71.36850101061974	152.16580166006543	9.0241131834839	55.02946922210052	1087.9675857272355	90.86767988049489	10.750761729285959	148.18866288218035	-203.31105076985838	-188.78717420761555	134.11428267284305	194.3256849953617	191.616730353629	608.0644645529435	55.4040848067241	19.109650856138032	36.11819401645043	-19.75981885672227	-9.308794955164194																																																	
2021-10-31	-5.894513056308959	-167.6691155273733	-275.20688348621087	-54.60153987524458	-101.76717641997006	1462.2202043077123	-4.087488047355081	-23.552244164582028	-229.57086240501994	-123.33558038981397	-163.08115032285565	-382.35937691227736	31.0150264728438	-120.79225388906615	-23.407270641672056	120.14363781602054	141.01135864073046	2.8608139206131895	-111.56497672442248	63.560158446846096	270.7142108201206	90.60267425893795	-114.51955838032524	-104.12832057780773	8.05048188223546	74.41281250196064	193.09123433038513	217.20588003883813	94.66430300876496	229.9905833620724	-158.60785998027052	-80.63413576367974	-31.34894691850525	-3.7712842167610034	197.45103311531915	-102.88124964302092	7.910064786508695	-51.62183117028353	-373.44737354143183	85.81359699212302	254.0188437967382	74.40339235857368	624.1956631039677	505.2201444565257	57.448280718768075	160.7470403620249	18.013473738147326	54.99041955357318	1072.1135987371536	126.38963344017932	14.668491044599161	174.09228140477137	-205.8052388512471	-237.69371073863923	157.56140551151927	217.57306992557886	205.56345477828543	63.180899617079376	69.45250360474802	53.40791657151666	100.19090353982959	-38.082226525192965	30.4833771297129	0.0	0.0																																															
2021-11-30	-21.139308122942126	-293.86614735930664	-311.6452161314109	-80.35802056241835	-89.60278454429545	1794.4270703736227	-24.24128685416641	-54.50680232081896	-247.74217152585885	-190.17835426148963	-273.36256237622695	-699.4365313964745	-101.83548389793998	-117.07791325461221	-49.34437411064735	146.6952232624964	5.586530765887346	-21.385607618907198	-138.6112227325861	95.1208492145526	196.16004633200794	108.79651962167304	-181.5861802556545	-138.5751484137265	-61.80197563629415	67.31877072541323	276.30674890913855	240.31822383439683	133.85554392000606	180.56762147890117	-215.0186061741734	-93.39963478750613	-24.26847857394104	-4.027468082765575	237.7757982127699	-151.66316976921294	0.6814488525995639	-29.782133363266098	-550.1219063971159	93.9222956905526	318.1027633517261	82.40391262327884	707.1592615725962	543.8061712135243	61.94356222331936	161.12737227429488	18.21137106186113	62.4629099483212	1000.8838801558718	136.90714016432577	19.547100114625138	206.26247217777825	-218.7085126581945	-240.53398828903946	186.47930557082213	266.04123391762744	201.01143898212234	-23.32245491176809	179.77265992143003	114.65521216950225	174.63800320750323	-7.399738875985552	19.873861072655068	-14.68260748781031	8.95571828755492																																															
2021-12-31	-14.4512770933292	-267.0878737453263	-360.09281837483206	-59.23050472897076	-73.81718812901852	1943.0588996149459	-31.42913108729478	-62.313562324311576	-100.13868276773579	-210.26627711896379	-246.07850547534446	-817.3631960296137	-98.72117792524269	-80.98319584602433	-79.5685165770714	194.4776291274561	-139.43681108450002	-6.112383814321569	-146.53260188498783	128.63525733165164	115.02521872076443	119.01769273324844	-179.7952412087942	-146.401981649596	-80.68428112635627	93.21920287650312	281.2383492139877	276.5901493399366	147.18047858870247	185.43820536318032	-222.21363897871785	-75.04639551307685	20.613125246621436	10.920569603283758	287.8453991102174	-132.61000105889627	-10.267397485666272	2.1594986861101404	-482.2415070402445	84.20211487957005	352.0817152906384	80.5447285574807	660.2257643108339	456.7834750248994	60.22108805719168	183.87098716183647	23.014478228847054	62.11222508713425	1011.3300989804886	184.36464251834315	24.480119106921425	240.3593889673072	-262.4254692674333	-309.07700975433477	217.4063256035884	288.852827418744	188.29905944848974	-85.58039885061635	253.92938617919484	137.49809900761323	135.88098586204882	83.89347424947758	-12.593149717723241	-89.17461855106404	39.044121791946814	0.0	0.0																																													
2022-01-31	-8.638057441210847	-367.3251281834313	-330.65986273079113	-80.45074001006338	-55.18224454836189	1205.2697794528913	-52.65513408780518	-87.06239690935112	-220.89414572148354	-291.6337807317696	-301.2761516093984	-1286.131885073388	-185.86477929779772	-248.72909695808545	-301.416610146638	135.8109159749223	-632.775035865309	-45.12983917183911	-160.80030158747508	86.63924821687755	-139.82872841268977	211.63333249331248	-203.54539847184049	-162.96525672479936	-117.35556860933966	-69.53551029266883	281.8594901385766	193.38973404252653	156.3553031481053	285.93336715978114	-250.82192864644782	-161.90045593748263	89.8364015384121	3.9561920623226836	132.59780179438496	-191.76951607234668	-131.86397048596857	-15.982761442248659	-696.8883381755052	42.7716422732758	164.4742883995379	62.92161617030044	350.84100054006467	169.034833337053	47.39193215964235	135.69559798843898	13.970077444445586	64.86281752412053	693.4420241689807	118.64744023486551	28.97444554114593	178.74889890096284	-275.1078034360778	-416.0867725167796	161.68228920330915	178.80762845684887	23.457275843677593	-445.35696751201215	173.53556330598587	76.60523801664999	38.78612277592396	82.37085020920568	-71.05028100621912	-212.39501415951986	38.55324216842116	97.38448687338678	10.387697614495119		0.0																																											
2022-02-28	13.403821270086102	-447.9122022073136	-328.0892026015126	-72.60575164245932	3.9770148059857604	522.8683095611609	-51.17760621502873	-78.32014072163207	-314.0882456076748	-302.1860155135721	-335.9536022883568	-1497.1667065257789	-186.41817953044705	-368.77332123927124	-447.54934120602405	80.21901289480763	-898.6081877015549	-92.33507361137738	-175.70932595963416	5.4600021187681165	-314.9752438804984	277.4590679745331	-175.21883625657782	-134.50454130483948	-97.37128138281338	-174.51477055132938	266.42147156411943	113.29294774368321	170.8585286443261	436.24272965372484	-225.75061982277805	-230.14530671867112	171.7233369380642	-14.737564534584887	-13.91395201698208	-211.07824873345646	-193.94483907409574	-36.79965887064776	-762.2481631810582	-4.789419150982411	5.59658061843885	40.74033876914888	84.15832176263712	-78.99630818512537	30.050763181236192	85.63984025799016	16.79387811829521	60.34296832384382	114.86368425590945	54.638832927094086	33.63936104435446	114.12647613757093	-291.43743792697046	-463.05367703726404	102.78219533832771	77.70173066141007	-54.887123027642815	-789.0151450443807	105.027626145657	17.13167435105916	-38.27279184010264	62.30274412994972	-81.90878566111948	-261.2429209498938	26.450155720301748	161.81064649036998	42.350535952275386	0.0	-11.690464114563657	0.0																																										
