	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-05-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																						
2021-06-30	0.3179374590745283	112.63546940250671	18.114043997004046	-0.4225616054218335	-73.6338437197901	388.25494314485695	9.321486121992166	18.378629411474776	119.53407946989319	5.3105678212778	41.40464341498591	93.6971235242745	82.3196704495058	55.866455224662786	162.7610715343326	31.088094753757105	206.27798147326394	-0.8045971276387718	7.677812550555245	-32.63206710998929	136.39248546736417	26.81315098306004	-10.84108937417659	-9.923484425321021	-15.908507834754346	41.021303257241016	107.41241580769201	31.248820134180278	-21.286248250162316	82.02166211107215	4.928849304751566	5.357026994985063	-19.556391625836113	-9.427039975817934	52.308747096085426	32.47629189521467	25.42857660581285	-17.0021622377335	119.9355575169684	33.55334353289618	81.28337297171674	14.966024010776891	89.08385239881318	48.03133235794303	12.442500196111723	32.695246034863885	6.53541414951178	10.115708876071949	312.50384063160163	35.30621727441212	1.4553239483502693	30.04468895800892	24.40797929537075	10.071867109072627	26.289975795891223	58.76256759957505	12.400684729462228	167.33681061175594	0.0																																																					
2021-07-31	-19.881401306883163	74.3113822802843	-152.89136985997902	-24.939128689224162	-103.92063304073963	972.7303285969829	14.684562102186646	24.43458744464442	183.3821262046331	-30.10715971459831	-2.7514802769364906	44.58310084147524	126.25517990293156	249.04173516345327	281.1442650358331	91.11155334984323	191.13107355036482	-2.394462697813651	-58.38264015824461	-3.0101687757887703	266.6239600787485	16.04812833871074	-30.538315458669786	-40.08090216846949	-29.978498204032803	80.91686426686647	107.73161241455819	107.17011019691563	-37.37206456266904	144.18511798767395	-41.004390790332764	101.31329973974789	-49.927027320458365	-22.29274702816656	100.7393226457134	26.723140450185383	-1.9498435630466702	-92.86148245976437	103.27821672538266	100.83723340965298	187.69565851157677	61.36126134516962	297.51757363706565	230.15436148553636	52.735546764246465	99.31329408648344	7.083561169833956	30.242472146392174	928.1363710106962	93.56777414614226	5.078225340141216	94.72608678345568	-92.10614272208477	-82.34045048732514	83.96964131464847	145.96652805201848	57.28163763813063	812.7878972322942	-0.3086530260006839	0.0	0.0																																																			
2021-08-31	-30.626938782106663	0.5376794672083633	-303.52684429481815	-34.3402369978794	-131.7360567926862	1734.997090052886	9.122027716339744	7.57689788261041	103.76085236053041	-29.9170824650555	-78.8714965297404	235.17672593910538	108.29467991333877	381.7767521705391	312.6013417369977	143.3225146298446	291.3316979207011	11.147855253404487	-107.09413783765376	57.24386167990815	463.23858319828287	2.000040589377022	-47.89191678609768	-80.13827387384163	-27.755060152596343	139.19880455333805	145.94625827528216	225.55666684142489	-18.70456157402623	145.96837778029476	-90.6557809217611	183.25207333917206	-97.27132680182513	-15.23182620602256	201.69326357588216	-7.170494054798837	0.7078489935774996	-136.80523629909112	-12.721138556225924	154.44984705386014	329.7187428431607	104.99486667933161	461.8452935441892	411.8259409836719	88.7841854044218	195.58094819244434	8.435388054790565	54.95469166338626	1453.5398078134604	152.49872321456132	10.27819456103316	182.46054115809238	-203.3084066426345	-219.60334822529694	164.88036007057053	259.6921969995583	122.87546896877393	1271.9561765248654	53.94391047845056	22.70964797571105	44.24307951726405	0.0	0.0																																																	
2021-09-30	-29.660935430892096	-138.65835778769178	-435.22896152568137	-70.14890758985439	-193.60937259278944	2180.4953370591393	12.223976979737927	-16.89247308091717	-63.868539804636384	-80.5256732666312	-188.80804524809355	90.36602406602469	169.95850745889766	278.044180372337	152.44710497205233	155.07540486013932	365.3260722159539	-4.314392305694128	-166.56507676339243	61.0674339402176	568.4855430331081	44.633488795677295	-88.20594439335127	-134.34669197517815	-0.08436012243146251	164.99373414495858	214.1726112856013	297.60233201903975	14.537236406183183	222.12861839798097	-174.3610025632861	138.65902540177922	-131.72515783775816	-20.33484171649252	280.7468403613166	-65.20893554346912	-2.1657624374747684	-139.63665773978755	-228.21281087279203	165.47742960901815	379.29416163431597	139.4526487936564	852.3776208213349	719.0733737427727	117.10514967621566	249.54987314157734	14.79078565900818	86.03097263980817	1838.9888478856737	163.38073180083484	16.48813988434995	240.7498514688723	-306.31148193281297	-292.2593679075362	217.4429664073832	325.70534926252185	274.8483564032631	1165.9369913116243	79.99450361993513	28.42899316531475	53.99635842401585	-24.699773570902835	-11.635993693955243																																																	
2021-10-31	-20.88432077703328	-216.56036939885234	-497.3837984049169	-91.13601814112826	-208.05170596469725	2705.631541945346	1.5594703904816924	-26.795031654316517	-246.98215664961754	-178.68854993761488	-250.78888173857922	-406.889165078057	113.98563780832774	3.6067536127957283	103.50488340444645	218.73297570275463	341.65612798296934	4.054447829761557	-196.90283147600712	96.86668539664242	574.5879162676247	127.34494616444317	-173.86289609140658	-176.23138905125188	-0.3756827287343185	162.71497030765386	332.1972787377381	384.09884158696514	111.1293911912644	381.37070344160566	-252.69799935295123	-29.97960625005362	-89.53828010173856	-15.05282363508195	353.2563947789713	-136.1933045492642	11.54834916841537	-128.50331078356794	-489.54526026771055	181.3095503538243	478.2367289804206	147.20247858378934	1072.2380796453035	876.2820373834475	117.56424892414725	298.3421833959219	28.260002776108195	99.75874264666709	2091.134194170678	230.4689795481936	24.072228984397952	310.1797570427643	-360.240627629566	-400.6647599398584	280.2842616019698	403.34335871133044	340.1859445224909	636.84865128003	111.40604831914607	76.07923802357254	143.1167938323524	-52.54273787067177	35.777022673350075	0.0	0.0																																															
2021-11-30	-41.43310224764991	-416.26574647928646	-611.7390111696732	-136.99590746542344	-218.310491983646	3486.432981163307	-24.66243298963809	-71.39843564376315	-327.039809019494	-293.11137577581576	-429.46056439034146	-898.8190421768159	-44.40110915855257	-21.914195384961204	65.1875529220124	281.9316592740797	207.64201573608807	-25.544351446082146	-258.63672859041435	152.1819719394298	549.1056636726789	172.74295907408396	-286.3697110747562	-245.3480467858558	-85.73617549841674	172.43614255979628	484.47368026115146	467.2979286495756	183.76748798581684	377.00549578024766	-362.89885029381367	-66.06771278276574	-88.53056662669405	-16.31764687418945	452.99954387332036	-222.9076495156769	4.448333964732228	-114.16867008533518	-803.8127610370866	212.8867591307353	621.8184956531768	175.81758680532403	1332.0382457056476	1050.8947005010014	137.55694842280536	339.0206052906142	32.9950303016667	122.85980142647531	2270.1060210567957	275.19247826760875	33.83710319954116	393.91771552233695	-427.81010178775796	-463.68894162300967	355.82454154434527	518.320064936077	385.8867884718584	544.5146830232407	266.6693696161856	165.9903366639337	261.22339430190186	-23.71018494046075	30.135971884456012	-18.353259359762887	11.194647859443648																																															
2021-12-31	-38.369380500535044	-456.28451409898844	-750.2131620254186	-130.68435583758856	-220.99267506443175	4120.822222202041	-39.712227429990435	-94.79686689102573	-204.4414855968207	-365.7871355611169	-463.725897318076	-1221.0826615588594	-66.01349437078534	-6.04477375044371	15.04481414712427	378.31745563211007	27.767916741293448	-11.80280734274129	-303.21215525651314	217.83983198069473	496.7462715737711	212.72157647649783	-329.55375836475287	-289.79099347885494	-124.82405921177724	221.6326924798832	559.7053923261155	572.7217017676521	233.87732923530348	428.185164974484	-425.6685543754593	-66.45969967482961	-38.4990609778888	1.359470321003755	575.0151627046725	-237.01695563585963	-9.092406397187005	-81.72286018066734	-856.5302149200579	224.2098722672381	743.8011783392794	194.10274677046436	1450.1892271361648	1078.1129071943033	150.89665935525227	407.741710354363	43.542334092119745	138.0448736123435	2533.373115563867	368.7286715158989	44.88984618781251	488.1057687198154	-537.1268722293025	-609.5314449914167	441.1046743228799	613.343806059167	420.2491738003482	460.8616393717384	404.3084424187491	223.207748253948	256.43662342195967	88.55639674737176	-5.479326335353107	-115.13892506078264	51.04408181182225	0.0	0.0																																													
2022-01-31	-34.72102551657554	-648.3647257042139	-803.4467292029258	-172.0211587109252	-216.15957070885997	3684.3471415449167	-74.10418733815868	-141.3174848276708	-380.40674585614033	-520.0729876098394	-594.2564406729725	-2011.3825318017844	-199.64489513675653	-235.9634018223005	-282.1697563680391	353.59601327482596	-623.76013432127	-62.104391260621924	-357.68966103692946	197.49648143613376	206.9440505773091	358.2469561333146	-404.2024540817374	-347.10285525698964	-190.85030742450908	41.49005853100243	630.7869935054005	537.8707270544255	282.1362238817255	600.1401691151441	-516.992226610002	-193.78125015190744	53.18174204744355	-4.616354138022871	452.9098765816889	-344.1234943126492	-163.66663403005623	-103.87743284482349	-1245.4165814794542	193.46894136517585	597.3045481067638	192.21383899930333	1228.527769174667	832.6439439203932	149.9187055656912	393.49475767132753	37.986064891640126	157.01475628584376	2388.8401224077534	332.6675227732849	56.62764162084204	471.1831036757085	-618.583105636646	-820.5769771944542	425.8019232908391	548.0000209781465	261.2717091564555	-10.254171167660388	367.2985103720366	181.46619676714727	169.0382910298158	107.6264852594013	-81.69902787540377	-291.4580742091184	60.19151273040188	121.73060859173347	12.984622018118898		0.0																																											
2022-02-28	-9.32867051615085	-840.930895596608	-882.8985091406757	-182.32795587326382	-156.0066197418637	3132.6624441186286	-85.42125560937939	-152.15581750427418	-552.1216770513856	-606.1726129370581	-712.9235327920069	-2596.7088696236606	-246.80477457795132	-448.2001016228314	-540.1909261825058	318.0581956618971	-1114.2449809961363	-132.39354351245493	-416.5268881153661	117.68159539864064	-46.94547829212388	493.4375845583145	-419.68169223103905	-352.26892629206077	-195.21027920801862	-107.1182563688617	681.9539477686958	486.0973573878546	339.3536557494317	859.5081100428597	-548.3594591540495	-319.56174502082285	177.9993707898102	-26.994546180592806	302.9189955635884	-416.20220500828873	-274.23475652210254	-133.8957332203172	-1501.3400097178019	144.71022352625369	439.8252893157878	180.2179865653652	982.8858397421063	564.865602859023	140.09051559389627	364.8493662125511	45.00794224425954	167.58097021755748	1838.977217870939	282.3181038201001	69.70238463674468	435.0923536904338	-707.7718263910847	-983.3085612675441	392.59744210114513	466.31951168241903	169.20552952822436	-551.166134961124	325.047479748122	126.27555168932122	82.41117845376357	103.13406521263278	-113.03472894558399	-405.6167112369658	54.700965212357914	226.60942983130917	55.53509434396801	0.0	-14.61308014320457	0.0																																										
