	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A261220	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A441800	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080	A498400
2021-05-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																						
2021-06-30	-5.0256410256406525	89.02564102563701	13.800569800569065	-1.7549857549856824	-82.48433048433071	420.4786324786255	8.296296296296532	13.641025641025408	141.5156695156693	-0.39886039886005165	26.245014245014318	91.41880341879732	80.09116809116676	81.44729344728694	170.3133903133894	26.962962962963502	187.06552706552975	1.196581196580155	-1.196581196581974	-47.46438746438798	142.074074074073	23.931623931623108	-6.381766381767193	-13.242165242165356	-26.1652421652434	44.27350427350393	118.94017094017181	31.350427350429527	-28.95726495726376	79.77207977207945	0.3190883190891327	11.806267806256074	-25.048433048432344	-11.088319088319622	55.04273504273806	30.71225071225126	19.065527065526112	-17.310541310544068	116.06837606838235	36.695156695155674	87.82905982906232	15.874643874645699	113.0370370370365	82.64387464387255	13.800569800570884	31.27065527065679	3.829059829059588	11.327635327636017	329.13960113961366	33.10541310541157	1.196581196585612	32.06837606837689	25.28774928774874	-2.393162393162129	28.159544159543657	63.658119658119176	14.837606837607382	202.222222222219	0.0																																																					
2021-07-31	-31.56110745854312	19.834611732039775	-163.24799311694005	-30.15270979943398	-109.31411271012439	976.7797988652601	11.989448137596355	15.557600993498	185.84258244656667	-47.69256743046026	-40.52308016980169	1.819076143852726	111.77409274275124	290.31400719148223	272.2134722932424	82.16228764377047	163.57480864603713	3.7158789295535826	-72.63895585263344	-17.899854708968633	267.9603249973661	16.083960357463184	-27.50273130900041	-48.91346661147236	-47.56347756917785	69.44193634791918	130.4409866803071	108.36457496287039	-47.72483989577904	143.75565133399687	-55.67386628355234	109.30911275070684	-47.17984431944569	-24.75479906818964	99.93327976234286	14.538518356182976	-7.217214145988692	-98.6414720659759	63.68811941462627	104.91278479882203	183.32101200477337	65.06560823370091	330.09982061833944	277.19797728914637	55.96568209673751	95.45967971039136	1.3608980446588248	32.83700619313095	946.8627689710411	87.22383746885134	4.9124601261428325	96.07558380207956	-91.59834741601117	-102.8391652665141	85.23998993514579	146.39131175883267	54.69228334185573	882.9351060462213	3.0313390313367563	0.0	0.0																																																			
2021-08-31	-43.535491615847604	-46.486959500623925	-303.37153394271445	-35.30588151745542	-136.18856758548827	1781.291769124131	10.677935213969704	-1.8645419752883754	150.24865289161244	-40.32789268392844	-111.91662331338011	225.08061088691466	106.36585316501805	438.2031532054243	309.61993569861806	141.62429658008477	273.7336496718344	23.197199045933303	-117.09507325150298	37.7749200106191	458.94288255837455	5.364748607254114	-35.839638516273226	-88.82786550068477	-48.39043148885048	134.79678271564626	167.79984816696015	231.6848948875704	-28.54017821061916	148.77120567642487	-102.89713423395733	198.57420080972952	-95.49157857087084	-15.556117581555554	202.96794266502548	-10.264702359894727	0.9113186842587311	-145.44329562574785	-12.378328042475914	160.75380072279222	339.1700228318441	107.65037394824503	522.0880434171559	494.2737217857066	90.6766312507516	194.0412837049389	1.8845787201889834	56.17526534765784	1471.0178119276243	154.556234477599	9.762080824497389	186.5305119831628	-192.34274400823597	-252.877040278212	168.95555297944702	266.4199800798033	132.99788706066283	1384.417449714063	62.16949537747132	19.703703703704377	32.30769230769329	0.0	0.0																																																	
2021-09-30	-39.817012062558206	-203.855860500571	-431.71480343364965	-70.76998036755776	-204.51255852674876	2195.1482498782425	12.161189359687341	-28.01733727020246	-28.125493088948133	-96.32049346446729	-234.14328391517483	34.871492968952225	154.28400331733792	331.2193997610011	149.44984365783603	151.97630589964683	317.03492227413517	1.500829347416584	-180.02684530758052	44.66797803866211	545.5082153191834	56.33556847695036	-81.52992606024691	-145.7314217187204	-23.917071380458765	155.4275394685319	238.87246217311258	302.2101040036432	7.795840810069421	222.80024448400764	-190.81397226650915	149.1428686530271	-133.45101049354525	-20.137707669446172	261.03820057835037	-73.85395275158044	-6.610899966508441	-147.34850444749827	-251.71952387875353	167.57221717920402	375.48283732220807	144.89313484769627	921.5877844314164	820.9709720689316	120.82707139989907	248.8041781883585	7.378806272582551	90.73173317131659	1836.837087042586	162.9499217696084	16.242415208398597	244.90368349844903	-298.3579522328164	-325.90526668021994	221.211842510118	327.4291079087161	282.5763755918015	1249.2435884884326	74.68891137085302	16.01055186240228	32.921323690556164	-33.50427350427344	-16.911680911680378																																																	
2021-10-31	-37.48695529502311	-305.20350817288636	-503.41719630052467	-95.11626886416161	-220.37309207301587	2734.333261866457	-0.934964108593249	-39.25366022467779	-226.02973289607326	-207.85520355218796	-313.5955874189749	-522.0259241231252	78.14826337037448	6.463246495302883	89.58495851297266	217.38626982922324	336.97711679418353	13.20309434889532	-219.7024291656744	75.88427161574873	558.0536103275736	139.10375420418313	-170.9621464886004	-191.84410625742385	-31.67250637951929	143.65474160291706	360.27838525858533	388.48244614297073	100.55145866605017	377.97626925366603	-277.94182004396134	-35.03430461681273	-99.92690717947335	-16.318295827542897	334.67115819616083	-155.14064234334	9.029651232651304	-134.79733182126256	-553.6339135068556	185.3636008168014	476.4745542326382	152.55748444301753	1132.4256124690146	968.7369548028655	119.85858922159605	296.6120963370395	19.895607844712686	104.64655288305767	2108.497919830159	233.48115914346636	23.926524310219975	315.3680921386476	-357.3572412722151	-442.4270364632157	284.840424421498	407.07524386688056	343.81791075902584	680.8624312491156	110.44983374320691	67.02007048403357	117.5055497176927	-64.79674677965158	32.57246288585338	0.0	0.0																																															
2021-11-30	-68.8980281376098	-534.610314660622	-637.6180203836811	-152.35491348270716	-232.68122414404752	3514.500057448502	-32.0053411665499	-93.23934162519618	-343.0084993216369	-334.91111369439204	-516.9773569741556	-1020.4381349602336	-110.34723958944232	24.85129454646085	32.407798259726405	270.1446601463631	164.48764393331658	-26.758984004351078	-290.9616196053139	116.2288404112951	531.5287362136078	171.25428428444593	-289.2584770636504	-268.38431088168	-127.68975594995754	140.77115647626306	498.9949530861377	457.9495809114742	170.0830514743975	334.5047642241534	-400.63239229075043	-47.309476784139406	-105.54845692281378	-22.71256522972726	420.0568525326671	-256.9448505153068	-19.024385876071392	-122.47037512753195	-922.6707268792161	222.71737887113886	620.6079557524026	182.66992376193775	1366.4731915586563	1117.263158314603	143.26096256655546	322.9503558969809	19.902838616670124	127.51831701182346	2303.3718153779337	270.60413817832887	33.662774753982376	392.7476932996142	-435.2472000207781	-512.8024739118482	354.4201917375758	521.3156609980142	376.1545219497675	669.2491322012065	265.7217833654995	140.60279794560847	224.31648977066106	-47.81168456771593	21.432433520551058	-40.44444444444525	5.185185185184309																																															
2021-12-31	-63.52609913236938	-575.43205404947	-769.9563524102705	-143.7714593977189	-238.07726808409825	4155.6506801130745	-46.49061844937569	-114.53023911420405	-194.62424510438723	-405.8305747608574	-549.2567791957481	-1328.0666404883377	-119.4038616851467	23.658439947816078	-18.342487388941663	371.5007248091206	-19.992571486833185	-8.384441585903915	-337.4927617491285	192.78109413531638	481.316612777151	212.4405482016382	-326.6329984308413	-311.0937668023171	-164.92617933477413	192.9077076565045	581.7273643118715	570.8147197652979	219.82907944134422	400.3375763608692	-461.8784828853495	-55.27082846187113	-52.19156903599833	-1.378017721697688	550.7714922261366	-269.5613116128261	-30.81573248972927	-85.65044751702771	-972.3414983033872	224.31686448212895	741.4576810940744	201.38855942477312	1502.203081824795	1155.803481199131	156.4535802862083	403.24442984397683	31.807046901061767	143.66550181912498	2569.8015419138974	366.8047156195644	44.89587382241734	491.57504243371113	-544.5997637124347	-657.184341156084	443.82405283435946	618.0417352631684	416.02902334479586	547.5435659135255	405.08616801697644	197.04963230501016	216.97672497146777	73.81264263044068	-12.348870780135258	-150.5653687875929	49.55323414582563	0.0	0.0																																													
2022-01-31	-54.84409094726834	-747.1592623564065	-824.6606712070534	-183.43090181662774	-240.78838777406236	3733.5248069287773	-77.89087138094146	-159.26207915129862	-364.2875872976583	-552.814989274344	-662.4186424269574	-2093.450037805349	-246.07325094319822	-192.21241126133827	-321.3822554910148	334.9164367265639	-706.7506596765561	-58.82735631121432	-394.8320581666576	173.5809385728171	193.90464583660287	373.91194530825214	-396.3864496623355	-364.94198706147927	-226.36296484327886	16.730843679128157	666.5607079865986	542.8906579582908	271.774496458851	584.5617160536149	-544.8048674493766	-185.00384383944038	42.377976391404445	-4.829548674419129	427.5334293965061	-369.7074129101675	-192.86518373986473	-114.14024272228016	-1336.4158463046188	197.08777925447612	594.5968370615483	201.47423056318075	1245.453530531031	877.8301902260537	157.50815450774462	399.81392447659164	26.412257985402903	164.89004260183538	2402.807150545632	324.71907440549694	57.17370501480036	479.40188243981356	-629.173997217722	-879.6010822601893	433.10828528529237	555.0773577186246	245.0129885591923	54.269477615045616	359.6071398320437	151.35926455462868	119.88743089835043	99.01902271298059	-94.51543260226572	-336.11805459732386	62.68998778569221	119.25925925925912	11.168091168090541		0.0																																											
2022-02-28	-30.186174666095212	-938.68161345322	-904.9485486551675	-189.9170073947862	-180.25962527732008	3214.9073871185246	-86.76695705232851	-163.53617514444977	-523.0575837476863	-627.3718383743781	-777.3526533069416	-2635.987456924893	-271.2749291260807	-392.7355862968834	-569.9817062206621	310.1747131664215	-1160.971376524045	-134.37291791866483	-455.1995176599721	101.11835585492736	-48.96119317193734	523.2822769979548	-406.87264137176953	-367.7923933948805	-228.60132426056043	-119.8946861456443	710.7513822846158	496.5582373635334	330.8340169545172	858.6454526669768	-572.2166517380083	-308.8686981228384	176.5349937332012	-25.98582450718459	289.81091943715	-435.97906021822564	-296.4895095484899	-138.59076326517425	-1565.745710450261	154.3631366487134	443.88139701257023	191.66700161961853	1026.5135284572207	628.0239914269041	150.23742884646708	381.3220593086771	34.56833780378474	175.8905797666157	1869.4205800941854	287.00845437275893	70.5290006212017	448.6063652657922	-717.1432799102677	-1033.943530905739	404.85965503704574	478.5203398963331	174.84358251851518	-477.68337763435557	321.0739167261054	99.55787370114194	41.656360830829726	91.47394702023485	-116.09304733353929	-437.6181012619563	65.24795730085134	216.92096655059686	54.89046355143182	0.0	-2.7920227920221805	0.0																																										
